analyte,PopRI,PerRI,Cohen_m4,Gaussian_eb,NORMA
AST,1.51,1.5,1.2,1.46,1.56
BUN,3.69,3.44,3.64,3.76,3.64
CA,1.8,1.78,1.92,1.81,1.83
CL,1.53,1.63,1.49,1.56,1.58
CO2,1.62,1.5,1.61,1.65,1.64
CRE,3.21,3.31,3.12,3.18,3.15
DBIL,1.69,2.16,1.11,2.84,1.82
PLT,2.31,1.53,2.19,1.92,2.36
RDW,1.62,1.68,1.55,1.66,1.61
TBIL,1.5,1.17,1.32,1.42,1.45
