analyte,PopRI,PerRI,Cohen_m4,Gaussian_eb,NORMA
ALP,1.35,1.18,1.36,1.22,1.39
AST,1.36,1.13,1.2,1.33,1.43
BUN,1.31,1.28,1.33,1.37,1.39
CA,1.68,1.8,1.79,1.74,1.64
CL,1.5,1.45,1.32,1.43,1.45
CO2,1.47,1.42,1.52,1.46,1.48
PLT,1.81,1.49,1.92,1.56,1.88
RBC,1.5,1.72,1.59,1.83,1.4
RDW,1.46,1.27,1.8,1.42,1.43
WBC,1.9,1.96,2.06,1.83,1.81
