state,PopRI,PerRI,Cohen_m4,Gaussian_eb,NORMA
all,0.515,0.676,0.495,0.547,0.556
high,0.0,0.521,0.211,0.0696,0.152
low,0.0,0.684,0.204,0.155,0.204
normal,1.0,0.689,0.77,0.917,0.911
