outcome,PopRI,PerRI,Cohen_m4,Gaussian_eb,NORMA
aki,1.12,0.849,1.09,0.814,1.0
mortality,1.1,1.07,1.15,1.09,1.04
sepsis,0.853,1.24,1.04,1.32,1.15
