Model,Split,Metric,n_samples,point_estimate,mean,std,ci_lower,ci_upper,Code
ARIMA,Test,MAE,870,3.0313940104763675,3.030925101124404,0.10306398214437032,2.845778967079225,3.224558537825569,0
ARIMA,Test,MAPE,870,8.747978239595355,8.728423569360592,0.27973470611237644,8.158362737527234,9.29148068100484,0
ARIMA,Test,R2,870,0.6019975793358591,0.6078098781905951,0.033310939233703867,0.5482425743614946,0.6718470432320542,0
ARIMA,Test,MSE,870,18.498751677127427,18.193041821821488,1.3785624051641208,15.519917033573734,20.974334467715494,0
ARIMA,Test,MAE,851,0.952211116206939,0.9499819467989158,0.03748695140927967,0.8798718422269867,1.0166184198830677,1
ARIMA,Test,MAPE,851,8.455716371453272,8.467330784279472,0.32860275923414245,7.937771919900549,9.134450084174105,1
ARIMA,Test,R2,851,0.626537087118148,0.6239974358585986,0.03370434640521143,0.558143326971648,0.6888888253233201,1
ARIMA,Test,MSE,851,1.9894257944167704,1.9974294724188706,0.1631012781930121,1.7108138902337964,2.329904348380841,1
ARIMA,Test,MAE,834,0.648343119967726,0.6528173017539973,0.030595317914689578,0.5963907589836981,0.7158850599899654,2
ARIMA,Test,MAPE,834,2.1750201306338948,2.1746582588615326,0.09362004550195221,1.9943468032537652,2.343153351559727,2
ARIMA,Test,R2,834,0.8294556265373401,0.8290162565396215,0.026161328184342452,0.776368983718937,0.8743843042852385,2
ARIMA,Test,MSE,834,1.1394326469524612,1.137236943925727,0.15259168057421646,0.8776113877641171,1.433774944962101,2
ARIMA,Test,MAE,837,0.6346665740597007,0.6369526202435136,0.020608291955437,0.6011218743940171,0.6848932913206295,3
ARIMA,Test,MAPE,837,1.9343595971225067,1.9278298835346297,0.06509288623393904,1.8112010196662498,2.0582450478241716,3
ARIMA,Test,R2,837,0.5753809392772544,0.5729502078176061,0.03277083203662176,0.5126054867921828,0.6266386271853384,3
ARIMA,Test,MSE,837,0.6999927122146149,0.7021471779632965,0.05057795108573272,0.6247099677240664,0.8278250170851874,3
ARIMA,Test,MAE,36,0.9460194561249102,0.9541023124782917,0.19381741158038085,0.5879405220932251,1.3380215753362978,4
ARIMA,Test,MAPE,36,9.88766408436034,9.603829828202324,1.675167586591159,6.407213765755869,12.61721603420645,4
ARIMA,Test,R2,36,0.20667283740158393,0.14432398409805805,0.36693924364514496,-0.8250255707690893,0.6309211707941771,4
ARIMA,Test,MSE,36,1.9577551423678696,1.970378318716144,0.6852970453699663,0.8943311354899485,3.461852005460011,4
ARIMA,Test,MAE,840,36.581952715217874,36.68471907634495,1.6237941182734426,33.52120222061224,39.832219518025326,5
ARIMA,Test,MAPE,840,18.138637935419755,18.139226763263753,0.7507010399576225,16.784468897809784,19.556581769861435,5
ARIMA,Test,R2,840,0.6761517908198154,0.6784215315391527,0.04127923017068067,0.594286205678993,0.7489608218465285,5
ARIMA,Test,MSE,840,3373.8455597035,3334.351469641024,370.17369000962606,2718.1289425516943,4014.671391820162,5
ARIMA,Test,MAE,838,0.32927326223986114,0.3299077011087422,0.010030944534373212,0.31085772873270523,0.35142367044811207,6
ARIMA,Test,MAPE,838,8.50091250199609,8.50464632377909,0.35600009367444985,7.86411653079875,9.228910624681987,6
ARIMA,Test,R2,838,0.6439899241913654,0.6472854184030417,0.029619421100442994,0.5910423364013406,0.6992140604782134,6
ARIMA,Test,MSE,838,0.22757637156740468,0.22829379995881158,0.017447331706081197,0.1989925210809945,0.2657638366467984,6
ARIMA,Test,MAE,837,0.71096693931,0.7139077832937484,0.03253818167241323,0.6491267149396838,0.771725030063519,7
ARIMA,Test,MAPE,837,4.599678850520639,4.601024706916852,0.2096783948529766,4.187334442802289,4.984656883139276,7
ARIMA,Test,R2,837,0.8056614018913295,0.8063624406426029,0.03121732553832073,0.7297869521087971,0.8588534474399676,7
ARIMA,Test,MSE,837,1.4653550781952758,1.471043425763319,0.1790335414233343,1.1719775484384438,1.8204526676784911,7
ARIMA,Test,MAE,842,2.118711090544232,2.1141101316164765,0.09851718255909699,1.932581387175987,2.2834266648971635,8
ARIMA,Test,MAPE,842,26.009501257576183,25.90440630223007,1.2285253411458208,24.022880451614398,28.491028018302888,8
ARIMA,Test,R2,842,0.6878398813520795,0.6807994987363117,0.07138828204169549,0.5513240621504684,0.7996630346200609,8
