analyte,method,outcome,subset,n_patients,n_events,anchor,sensitivity,specificity,ppv,n_flagged
GLU,PerRI,mortality,pop_normal,15536.0,554.0,native,0.3898916967509025,0.5697503671071953,0.0324226958871209,6662.0
GLU,PerRI,mortality,pop_normal,15536.0,554.0,rate_of:PerRI,0.3898916967509025,0.5697503671071953,0.0324226958871209,6662.0
GLU,NORMA_q_age_set,mortality,pop_normal,15536.0,554.0,native,0.1389891696750902,0.8845281003871313,0.042612064194798,1807.0
GLU,NORMA_q_age_set,mortality,pop_normal,15536.0,554.0,rate_of:PerRI,0.5342960288808665,0.5750901081297557,0.0444311017712398,6662.0
HCT,PerRI,mortality,pop_normal,13327.0,187.0,native,0.679144385026738,0.4483257229832572,0.0172180043383947,7376.0
HCT,PerRI,mortality,pop_normal,13327.0,187.0,rate_of:PerRI,0.679144385026738,0.4483257229832572,0.0172180043383947,7376.0
HCT,NORMA_q_age_set,mortality,pop_normal,13327.0,187.0,native,0.106951871657754,0.9213850837138507,0.0189933523266856,1053.0
HCT,NORMA_q_age_set,mortality,pop_normal,13327.0,187.0,rate_of:PerRI,0.5775401069518716,0.4468797564687976,0.014642082429501,7376.0
HGB,PerRI,mortality,pop_normal,11072.0,141.0,native,0.7092198581560284,0.4925441405177934,0.0177085177970603,5647.0
HGB,PerRI,mortality,pop_normal,11072.0,141.0,rate_of:PerRI,0.7092198581560284,0.4925441405177934,0.0177085177970603,5647.0
HGB,NORMA_q_age_set,mortality,pop_normal,11072.0,141.0,native,0.0992907801418439,0.8878419174823895,0.0112903225806451,1240.0
HGB,NORMA_q_age_set,mortality,pop_normal,11072.0,141.0,rate_of:PerRI,0.5106382978723404,0.4899826182416979,0.0127501328138834,5647.0
K,PerRI,mortality,pop_normal,33649.0,860.0,native,0.5197674418604651,0.5267925218823386,0.0280022552151851,15963.0
K,PerRI,mortality,pop_normal,33649.0,860.0,rate_of:PerRI,0.5197674418604651,0.5267925218823386,0.0280022552151851,15963.0
K,NORMA_q_age_set,mortality,pop_normal,33649.0,860.0,native,0.6360465116279069,0.7390893287382964,0.0600966820479015,9102.0
K,NORMA_q_age_set,mortality,pop_normal,33649.0,860.0,rate_of:PerRI,0.8023255813953488,0.5342035438714203,0.0432249577147152,15963.0
NA,PerRI,mortality,pop_normal,32291.0,788.0,native,0.6700507614213198,0.4411643335555344,0.0291181823195279,18133.0
NA,PerRI,mortality,pop_normal,32291.0,788.0,rate_of:PerRI,0.6700507614213198,0.4411643335555344,0.0291181823195279,18133.0
NA,NORMA_q_age_set,mortality,pop_normal,32291.0,788.0,native,0.4847715736040609,0.8283338094784624,0.0659758203799654,5790.0
NA,NORMA_q_age_set,mortality,pop_normal,32291.0,788.0,rate_of:PerRI,0.8045685279187818,0.444529092467384,0.0349638780124634,18133.0
PLT,PerRI,mortality,pop_normal,27231.0,482.0,native,0.6244813278008299,0.2339152865527683,0.0144760255855335,20793.0
PLT,PerRI,mortality,pop_normal,27231.0,482.0,rate_of:PerRI,0.6244813278008299,0.2339152865527683,0.0144760255855335,20793.0
PLT,NORMA_q_age_set,mortality,pop_normal,27231.0,482.0,native,0.6120331950207469,0.4910837788328536,0.021210813920046,13908.0
PLT,NORMA_q_age_set,mortality,pop_normal,27231.0,482.0,rate_of:PerRI,0.8298755186721992,0.2376163594900744,0.0192372433030346,20793.0
TBIL,PerRI,mortality,pop_normal,22942.0,603.0,native,0.572139303482587,0.5746900040288285,0.0350396099939061,9846.0
TBIL,PerRI,mortality,pop_normal,22942.0,603.0,rate_of:PerRI,0.572139303482587,0.5746452392676485,0.0350360515893165,9847.0
TBIL,NORMA_q_age_set,mortality,pop_normal,22942.0,603.0,native,0.4013266998341625,0.7621648238506648,0.0435643564356435,5555.0
TBIL,NORMA_q_age_set,mortality,pop_normal,22942.0,603.0,rate_of:PerRI,0.6301824212271974,0.5762567706701285,0.0385943530367662,9846.0
TP,PerRI,mortality,pop_normal,21697.0,458.0,native,0.4410480349344978,0.5255426338339847,0.0196517170931024,10279.0
