subset,analyte,method,outcome,exposure,encoding,n,n_events,level,HR,HR_lower,HR_upper,p_value,p_fdr
pop_normal,HCT,Cohen_m4,unplanned_icu,first,z,2099,9,z,1.921,0.311,11.862,0.48217,0.8679051039432472
pop_normal,HGB,PerRI,unplanned_icu,first,z,1239,6,z,0.715,0.311,1.645,0.42986,0.8550311150758455
pop_normal,HCT,Cohen_m3,unplanned_icu,first,z,2099,9,z,1.155,0.225,5.932,0.86269,0.9760737003969572
pop_normal,HCT,PerRI,unplanned_icu,first,category,2099,9,high,1.823,0.484,6.858,0.37462,0.6287090183500323
pop_normal,HCT,PerRI,unplanned_icu,first,z,2099,9,z,0.954,0.751,1.212,0.70054,0.9444882956960874
pop_normal,HCT,PerRI,unplanned_icu,first,binary,2099,9,abnormal,1.737,0.466,6.479,0.41117,0.7723333831469678
pop_normal,GLU,NORMA_q_age_set_co,unplanned_icu,first,category,2493,85,high,3.149,0.986,10.061,0.05286,0.221803084560568
pop_normal,GLU,NORMA_q_age_set_co,unplanned_icu,first,category,2493,85,low,2.383,1.148,4.949,0.01985,0.1305880412824664
pop_normal,GLU,NORMA_q_age_set_co,unplanned_icu,first,z,2493,85,z,1.33,0.984,1.797,0.06328,0.3668611063533047
pop_normal,GLU,NORMA_q_age_set_co,unplanned_icu,first,binary,2493,85,abnormal,2.551,1.351,4.816,0.00387,0.0606444269866415
pop_normal,GLU,NORMA_q_age,unplanned_icu,first,category,2493,85,high,1.482,0.598,3.672,0.39576,0.6543377387987698
pop_normal,HCT,Cohen_m2,unplanned_icu,first,z,2099,9,z,1.846,0.197,17.291,0.59137,0.9081607651891408
pop_normal,NA,Gaussian_mle,unplanned_icu,first,z,12873,81,z,1.163,0.78,1.735,0.45844,0.8679051039432472
pop_normal,HGB,Cohen_m2,unplanned_icu,first,z,1239,6,z,1.047,0.06,18.387,0.97495,0.9884528983858352
pop_normal,HGB,Cohen_m4,unplanned_icu,first,z,1239,6,z,2.391,0.131,43.585,0.55626,0.9081607651891408
pop_normal,K,Cohen_m3,unplanned_icu,first,category,14003,93,high,1.111,0.408,3.03,0.83661,0.950235974962784
pop_normal,K,Cohen_m3,unplanned_icu,first,z,14003,93,z,2.377,1.359,4.159,0.00241,0.0478163576678461
pop_normal,K,Cohen_m3,unplanned_icu,first,binary,14003,93,abnormal,1.04,0.454,2.383,0.92696,0.9998156588672964
pop_normal,K,Cohen_m2,unplanned_icu,first,category,14003,93,high,1.597,0.845,3.019,0.14924,0.3887986855014869
pop_normal,K,Cohen_m2,unplanned_icu,first,category,14003,93,low,1.836,0.882,3.822,0.10444,0.3359413336177884
pop_normal,K,Cohen_m2,unplanned_icu,first,z,14003,93,z,1.807,1.177,2.773,0.00681,0.0986795363063438
pop_normal,K,Cohen_m2,unplanned_icu,first,binary,14003,93,abnormal,1.69,1.019,2.802,0.04199,0.2036551994466254
pop_normal,K,PerRI,unplanned_icu,first,category,14002,93,high,0.672,0.373,1.213,0.18707,0.4247519503089802
pop_normal,HGB,Cohen_m3,unplanned_icu,first,z,1239,6,z,1.744,0.101,30.164,0.70221,0.9444882956960874
pop_normal,K,PerRI,unplanned_icu,first,category,14002,93,low,0.99,0.399,2.455,0.98266,0.9926511464126606
pop_normal,K,PerRI,unplanned_icu,first,binary,14002,93,abnormal,0.738,0.441,1.236,0.24803,0.6384459394711937
pop_normal,HGB,NORMA_q_age_set_co,unplanned_icu,first,z,1239,6,z,0.031,0.001,1.154,0.05975,0.3668611063533047
pop_normal,HGB,NORMA_q_age,unplanned_icu,first,z,1239,6,z,0.228,0.01,5.208,0.35457,0.8339891844181837
pop_normal,HGB,NORMA_334f7e21,unplanned_icu,first,z,1239,6,z,0.271,0.016,4.712,0.37044,0.8339891844181837
pop_normal,HGB,NORMA_q_age_set,unplanned_icu,first,z,1239,6,z,0.058,0.001,2.326,0.13052,0.6256028609927867
pop_normal,HGB,Gaussian_eb,unplanned_icu,first,z,1239,6,z,0.054,0.002,1.924,0.10948,0.5419422687044799
pop_normal,HGB,Gaussian_trunc,unplanned_icu,first,z,1239,6,z,0.727,0.177,2.988,0.65862,0.9444882956960874
pop_normal,HGB,Gaussian_mle,unplanned_icu,first,z,1239,6,z,0.043,0.001,1.634,0.09004,0.469171198049131
pop_normal,K,PerRI,unplanned_icu,first,z,14002,93,z,0.873,0.732,1.042,0.1327,0.6256028609927867
pop_normal,NA,Gaussian_mle,unplanned_icu,first,category,12873,81,low,1.257,0.458,3.451,0.65735,0.8572176826972926
pop_normal,NA,Gaussian_mle,unplanned_icu,first,category,12873,81,high,1.914,0.918,3.989,0.08315,0.2960101664401255
pop_normal,NA,Gaussian_trunc,unplanned_icu,first,binary,12873,81,abnormal,1.32,0.852,2.044,0.21437,0.5871189174143472
pop_normal,TBIL,Gaussian_trunc,unplanned_icu,first,category,5904,57,high,1.884,1.077,3.296,0.02632,0.1492922558503213
pop_normal,TBIL,Gaussian_trunc,unplanned_icu,first,category,5904,57,low,1.716,0.74,3.979,0.2082,0.4514953414180772
pop_normal,TBIL,Gaussian_trunc,unplanned_icu,first,z,5904,57,z,1.028,0.875,1.207,0.73962,0.9444882956960874
pop_normal,TBIL,Gaussian_trunc,unplanned_icu,first,binary,5904,57,abnormal,1.844,1.091,3.117,0.02237,0.1554187207522831
pop_normal,TBIL,Gaussian_mle,unplanned_icu,first,category,5904,57,high,4.076,2.106,7.887,3e-05,0.0029598466679589
pop_normal,TBIL,Gaussian_mle,unplanned_icu,first,z,5904,57,z,1.201,0.877,1.645,0.25398,0.8110855083999402
pop_normal,TBIL,Gaussian_mle,unplanned_icu,first,binary,5904,57,abnormal,3.063,1.645,5.703,0.00042,0.0193187931092978
pop_normal,TBIL,Cohen_m4,unplanned_icu,first,category,5904,57,high,2.681,1.313,5.474,0.00675,0.0543098639197565
pop_normal,TBIL,Gaussian_eb,unplanned_icu,first,binary,5904,57,abnormal,1.701,0.914,3.165,0.0934,0.3508869655424202
pop_normal,TBIL,Cohen_m4,unplanned_icu,first,z,5904,57,z,1.681,0.986,2.866,0.05616,0.3668611063533047
pop_normal,TBIL,Cohen_m3,unplanned_icu,first,category,5904,57,low,1.162,0.462,2.925,0.74992,0.91367765689702
pop_normal,TBIL,Cohen_m3,unplanned_icu,first,z,5904,57,z,2.312,1.246,4.291,0.0079,0.0986795363063438
pop_normal,TBIL,Cohen_m3,unplanned_icu,first,binary,5904,57,abnormal,1.079,0.462,2.522,0.85998,0.9961476935041722
pop_normal,TBIL,Cohen_m2,unplanned_icu,first,category,5904,57,high,6.409,2.286,17.969,0.00041,0.0199351333656784
pop_normal,TBIL,Cohen_m2,unplanned_icu,first,category,5904,57,low,1.48,0.719,3.048,0.28707,0.5431896580314922
pop_normal,TBIL,Cohen_m2,unplanned_icu,first,z,5904,57,z,1.409,0.865,2.295,0.1682,0.7195279441165678
pop_normal,TBIL,Cohen_m2,unplanned_icu,first,binary,5904,57,abnormal,1.948,1.044,3.634,0.03612,0.2008108795532439
pop_normal,TBIL,PerRI,unplanned_icu,first,category,5904,57,high,3.347,1.824,6.14,0.0001,0.00612856674851
pop_normal,TBIL,Cohen_m4,unplanned_icu,first,binary,5904,57,abnormal,1.167,0.602,2.261,0.64712,0.9493454280484742
pop_normal,TBIL,PerRI,unplanned_icu,first,category,5904,57,low,1.506,0.668,3.396,0.32389,0.5664069823668162
pop_normal,TBIL,Gaussian_eb,unplanned_icu,first,z,5904,57,z,0.979,0.784,1.224,0.85381,0.9760737003969572
pop_normal,TBIL,NORMA_q_age_set,unplanned_icu,first,binary,5904,57,abnormal,1.199,0.434,3.317,0.7263,0.9897618316900176
pop_normal,TP,Cohen_m3,unplanned_icu,first,binary,4578,39,abnormal,1.176,0.457,3.025,0.73699,0.9945761038825718
pop_normal,TP,Cohen_m2,unplanned_icu,first,category,4578,39,high,2.119,0.916,4.9,0.07909,0.2880076436254093
pop_normal,TP,Cohen_m2,unplanned_icu,first,z,4578,39,z,1.171,0.594,2.308,0.6492,0.943813709219071
pop_normal,TP,Cohen_m2,unplanned_icu,first,binary,4578,39,abnormal,1.689,0.768,3.711,0.1922,0.5542784635874562
pop_normal,TP,PerRI,unplanned_icu,first,category,4578,39,high,0.587,0.245,1.405,0.23178,0.4708837448265276
pop_normal,TP,PerRI,unplanned_icu,first,z,4578,39,z,0.84,0.624,1.129,0.24733,0.8046160448680902
pop_normal,TP,PerRI,unplanned_icu,first,binary,4578,39,abnormal,0.644,0.296,1.403,0.26786,0.6646349796279659
