method,state,analyte,n,coverage95,width_rel,inside_pop,n_analytes
PerRI,normal,CO2,37116,0.7552,1.2725,0.5569,
PerRI,normal,CRE,141775,0.8341,0.5626,0.8945,
PerRI,normal,GLU,54817,0.7071,2.5481,0.2161,
PerRI,normal,HCT,31085,0.5455,0.9372,0.3001,
PerRI,normal,HGB,25521,0.5811,0.7165,0.4205,
PerRI,normal,K,179723,0.7702,0.9147,0.7495,
PerRI,normal,NA,154253,0.68,0.7013,0.6746,
PerRI,normal,PLT,114816,0.5192,0.3469,0.9682,
PerRI,normal,TBIL,97116,0.7388,0.5996,0.8603,
PerRI,normal,TP,79846,0.6832,0.9437,0.5851,
PerRI,normal,WBC,104538,0.7505,0.8798,0.7286,
PerRI,all,A1C,752,0.617,0.627,0.0,
PerRI,all,ALB,127395,0.6851,0.5397,0.416,
PerRI,all,ALP,106449,0.5309,0.343,1.0,
PerRI,all,ALT,98969,0.593,0.4573,0.7865,
PerRI,all,AST,98961,0.623,0.4415,1.0,
PerRI,all,BUN,123775,0.623,0.8281,0.6496,
PerRI,all,CA,132262,0.7216,0.9997,0.4231,
PerRI,all,CL,147093,0.6656,1.077,0.5664,
PerRI,all,CO2,72521,0.6503,1.3423,0.5076,
PerRI,all,CRE,189703,0.8087,0.5663,0.813,
PerRI,all,GLU,299782,0.7455,3.2432,0.1351,
PerRI,all,HCT,207198,0.7004,1.1925,0.0,
PerRI,all,HGB,163521,0.6999,0.8301,0.0,
PerRI,all,K,212608,0.7588,0.9238,0.7317,
PerRI,all,NA,197596,0.6545,0.7309,0.6151,
PerRI,all,PLT,148098,0.5403,0.3355,0.8299,
PerRI,all,TBIL,110474,0.7061,0.6325,0.8387,
PerRI,all,TP,118553,0.6947,0.9511,0.5173,
PerRI,all,WBC,151713,0.7014,0.8833,0.6841,
Cohen_m2,high,A1C,648,0.3272,0.6146,0.1465,
Cohen_m2,high,ALP,9519,0.0,0.6929,1.0,
Cohen_m2,high,ALT,10982,0.1993,0.8699,0.8601,
Cohen_m2,high,AST,5199,0.0,0.5821,1.0,
Cohen_m2,high,BUN,31191,0.2584,0.8981,0.7751,
Cohen_m2,high,CL,26846,0.108,0.6058,0.8668,
Cohen_m2,high,CO2,13786,0.1148,0.8476,0.8275,
Cohen_m2,high,CRE,14630,0.7169,1.0975,0.699,
Cohen_m2,high,GLU,244965,0.0408,0.8699,0.9281,
Cohen_m2,high,K,4836,0.1148,0.7483,0.9352,
Cohen_m2,high,TBIL,13358,0.4317,1.0812,0.3487,
Cohen_m2,high,WBC,22773,0.3996,0.787,0.6865,
Cohen_m2,low,ALB,56437,0.6017,0.5157,0.4135,
Cohen_m2,low,ALT,18925,0.8649,0.8699,0.6837,
Cohen_m2,low,BUN,15111,0.6237,0.8981,0.6685,
Cohen_m2,low,CA,57160,0.5396,0.7434,0.5507,
Cohen_m2,low,CL,28764,0.1248,0.6058,0.951,
Cohen_m2,low,CO2,21619,0.2873,0.8476,0.7201,
Cohen_m2,low,CRE,33298,0.9333,1.0975,0.6579,
Cohen_m2,low,HCT,176113,0.2038,1.3659,0.5007,
Cohen_m2,low,HGB,138000,0.4851,0.9986,0.2358,
Cohen_m2,low,K,28049,0.279,0.7483,0.8754,
Cohen_m2,low,NA,43343,0.1302,0.6247,0.8323,
Cohen_m2,low,PLT,33282,0.5786,0.6252,0.6242,
Cohen_m2,low,TP,38707,0.2071,0.6773,0.7478,
Cohen_m2,low,WBC,24402,0.4974,0.787,0.8178,
Cohen_m2,normal,A1C,104,0.5769,0.6146,0.2144,
Cohen_m2,normal,ALB,70958,0.6413,0.5157,0.4182,
Cohen_m2,normal,ALP,96930,0.8719,0.6929,0.9867,
Cohen_m2,normal,ALT,69062,0.8562,0.8699,0.8235,
Cohen_m2,normal,AST,93762,0.758,0.5821,1.0,
Cohen_m2,normal,BUN,77473,0.8146,0.8981,0.8108,
Cohen_m2,normal,CA,75102,0.7563,0.7434,0.5803,
Cohen_m2,normal,CL,91483,0.6582,0.6058,1.0,
Cohen_m2,normal,CO2,37116,0.7118,0.8476,0.8262,
Cohen_m2,normal,CRE,141775,0.9797,1.0975,0.7339,
Cohen_m2,normal,GLU,54817,0.9259,0.8699,0.9075,
Cohen_m2,normal,HCT,31085,0.9534,1.0928,0.7103,
Cohen_m2,normal,HGB,25521,0.8849,0.9986,0.6069,
Cohen_m2,normal,K,179723,0.8031,0.7483,0.9547,
Cohen_m2,normal,NA,154253,0.7584,0.6247,0.914,
Cohen_m2,normal,PLT,114816,0.7925,0.6252,0.8446,
Cohen_m2,normal,TBIL,97116,0.8193,1.0812,0.7532,
Cohen_m2,normal,TP,79846,0.7517,0.6773,0.7993,
Cohen_m2,normal,WBC,104538,0.6843,0.787,0.8755,
Cohen_m2,all,A1C,752,0.3617,0.6146,0.1465,
Cohen_m2,all,ALB,127395,0.6238,0.5157,0.4173,
Cohen_m2,all,ALP,106449,0.794,0.6929,0.9884,
Cohen_m2,all,ALT,98969,0.785,0.8699,0.8074,
Cohen_m2,all,AST,98961,0.7182,0.5821,1.0,
Cohen_m2,all,BUN,123775,0.6511,0.8981,0.7907,
Cohen_m2,all,CA,132262,0.6626,0.7434,0.5507,
Cohen_m2,all,CL,147093,0.4535,0.6058,1.0,
Cohen_m2,all,CO2,72521,0.4718,0.8476,0.7919,
Cohen_m2,all,CRE,189703,0.9513,1.0975,0.7263,
Cohen_m2,all,GLU,299782,0.2027,0.8699,0.9281,
Cohen_m2,all,HCT,207198,0.3163,1.3659,0.5204,
Cohen_m2,all,HGB,163521,0.5475,0.9986,0.3669,
Cohen_m2,all,K,212608,0.7183,0.7483,0.9443,
Cohen_m2,all,NA,197596,0.6206,0.6247,0.8823,
Cohen_m2,all,PLT,148098,0.7444,0.6252,0.7814,
Cohen_m2,all,TBIL,110474,0.7725,1.0812,0.7492,
Cohen_m2,all,TP,118553,0.5739,0.6773,0.779,
Cohen_m2,all,WBC,151713,0.6115,0.787,0.8635,
Cohen_m3,high,A1C,648,0.2623,0.5211,0.105,
Cohen_m3,high,ALP,9519,0.1977,0.7405,0.8075,
Cohen_m3,high,ALT,10982,0.3952,0.8239,0.794,
Cohen_m3,high,AST,5199,0.011,0.6499,1.0,
Cohen_m3,high,BUN,31191,0.1342,0.7878,0.899,
Cohen_m3,high,CL,26846,0.0022,0.5042,1.0,
Cohen_m3,high,CO2,13786,0.1565,0.7375,0.8994,
Cohen_m3,high,CRE,14630,0.7679,1.065,0.7208,
Cohen_m3,high,GLU,244965,0.0599,0.5614,0.7996,
Cohen_m3,high,K,4836,0.0575,0.9294,0.9206,
Cohen_m3,high,TBIL,13358,0.2277,0.9237,0.8124,
Cohen_m3,high,WBC,22773,0.3315,0.909,0.7583,
Cohen_m3,low,ALB,56437,0.0,0.3985,0.9174,
Cohen_m3,low,ALT,18925,0.2268,0.8239,0.94,
Cohen_m3,low,BUN,15111,0.3738,0.7878,0.8645,
Cohen_m3,low,CA,57160,0.3751,0.8697,0.7309,
Cohen_m3,low,CL,28764,0.1075,0.5042,0.9676,
Cohen_m3,low,CO2,21619,0.0055,0.7375,1.0,
Cohen_m3,low,CRE,33298,0.8222,1.065,0.7336,
Cohen_m3,low,HCT,176113,0.1225,1.1983,0.551,
Cohen_m3,low,HGB,138000,0.5177,1.0624,0.2253,
Cohen_m3,low,K,28049,0.3049,0.9294,0.8975,
Cohen_m3,low,NA,43343,0.0087,0.6635,1.0,
Cohen_m3,low,PLT,33282,0.2512,0.6458,0.8612,
Cohen_m3,low,TP,38707,0.1096,0.6689,0.8484,
Cohen_m3,low,WBC,24402,0.6198,0.909,0.7267,
Cohen_m3,normal,A1C,104,0.4135,0.5211,0.1836,
Cohen_m3,normal,ALB,70958,0.822,0.3985,0.9481,
Cohen_m3,normal,ALP,96930,0.8624,0.7405,0.9063,
Cohen_m3,normal,ALT,69062,0.6861,0.8239,0.9183,
Cohen_m3,normal,AST,93762,0.6053,0.6499,1.0,
Cohen_m3,normal,BUN,77473,0.8097,0.7878,0.9045,
Cohen_m3,normal,CA,75102,0.8904,0.8697,0.7624,
Cohen_m3,normal,CL,91483,0.5695,0.5042,1.0,
Cohen_m3,normal,CO2,37116,0.7073,0.7375,1.0,
Cohen_m3,normal,CRE,141775,0.9778,1.065,0.8033,
Cohen_m3,normal,GLU,54817,0.5585,0.5614,0.7641,
Cohen_m3,normal,HCT,31085,0.8883,0.9586,0.8097,
Cohen_m3,normal,HGB,25521,0.8941,1.0624,0.5899,
Cohen_m3,normal,K,179723,0.9006,0.9294,0.9055,
Cohen_m3,normal,NA,154253,0.7179,0.6635,1.0,
Cohen_m3,normal,PLT,114816,0.8457,0.6458,0.9454,
Cohen_m3,normal,TBIL,97116,0.8518,0.9237,0.822,
Cohen_m3,normal,TP,79846,0.7827,0.6689,0.898,
Cohen_m3,normal,WBC,104538,0.8014,0.909,0.7982,
Cohen_m3,all,A1C,752,0.2832,0.5211,0.1106,
Cohen_m3,all,ALB,127395,0.4579,0.3985,0.9315,
Cohen_m3,all,ALP,106449,0.803,0.7405,0.8991,
Cohen_m3,all,ALT,98969,0.566,0.8239,0.9169,
Cohen_m3,all,AST,98961,0.5741,0.6499,1.0,
Cohen_m3,all,BUN,123775,0.5863,0.7878,0.8979,
Cohen_m3,all,CA,132262,0.6677,0.8697,0.7474,
Cohen_m3,all,CL,147093,0.3756,0.5042,1.0,
Cohen_m3,all,CO2,72521,0.3934,0.7375,1.0,
Cohen_m3,all,CRE,189703,0.9343,1.065,0.7867,
Cohen_m3,all,GLU,299782,0.1511,0.5614,0.7926,
Cohen_m3,all,HCT,207198,0.2374,1.1983,0.6082,
Cohen_m3,all,HGB,163521,0.5765,1.0624,0.314,
Cohen_m3,all,K,212608,0.8028,0.9294,0.905,
Cohen_m3,all,NA,197596,0.5623,0.6635,1.0,
Cohen_m3,all,PLT,148098,0.7121,0.6458,0.923,
Cohen_m3,all,TBIL,110474,0.7763,0.9237,0.8205,
Cohen_m3,all,TP,118553,0.5629,0.6689,0.8798,
Cohen_m3,all,WBC,151713,0.7017,0.909,0.7815,
Cohen_m4,high,A1C,648,0.1898,0.4623,0.2148,
Cohen_m4,high,ALP,9519,0.3224,0.7929,0.7635,
Cohen_m4,high,ALT,10982,0.4322,1.0449,0.7431,
Cohen_m4,high,AST,5199,0.0308,0.7062,0.9401,
Cohen_m4,high,BUN,31191,0.2389,0.8018,0.7466,
Cohen_m4,high,CL,26846,0.0105,0.6145,1.0,
Cohen_m4,high,CO2,13786,0.1601,0.7881,0.8745,
Cohen_m4,high,CRE,14630,0.3895,0.7265,0.8713,
Cohen_m4,high,GLU,244965,0.1454,0.6288,0.4466,
Cohen_m4,high,K,4836,0.0031,0.627,1.0,
Cohen_m4,high,TBIL,13358,0.0533,0.673,0.9104,
Cohen_m4,high,WBC,22773,0.2236,0.8736,0.8465,
Cohen_m4,low,ALB,56437,0.0,0.4027,0.875,
Cohen_m4,low,ALT,18925,0.7875,1.0449,0.7306,
Cohen_m4,low,BUN,15111,0.3636,0.8018,0.8595,
Cohen_m4,low,CA,57160,0.148,0.6672,0.8312,
Cohen_m4,low,CL,28764,0.1194,0.6145,0.9225,
Cohen_m4,low,CO2,21619,0.0085,0.7881,1.0,
Cohen_m4,low,CRE,33298,0.3333,0.7265,0.8077,
