subset,outcome,analyte,method,n,n_events,auc,auc_lo,auc_hi,auc_base,auc_adj,auc_gain,prevalence,ap,ap_lift,delta_vs_norma,p_vs_norma
all,periop_infection,WBC,Cohen_m4,29418,1674,0.6802,0.6666,0.6938,0.6189,0.7128,0.0938,0.0569,0.1275,2.24,-0.0096,0.053124
all,periop_infection,WBC,Gaussian_eb,29418,1674,0.6784,0.6649,0.692,0.6189,0.7096,0.0907,0.0569,0.1151,2.023,-0.0115,0.001309
all,periop_infection,WBC,Gaussian_mle,29128,1664,0.6504,0.6374,0.6635,0.631,0.6719,0.0409,0.0571,0.0876,1.533,-0.0395,0.0
all,periop_infection,WBC,Gaussian_trunc,29128,1664,0.5987,0.5856,0.6118,0.631,0.642,0.011,0.0571,0.0721,1.263,-0.0912,0.0
all,periop_infection,WBC,NORMA_334f7e21,29418,1674,0.6957,0.6824,0.709,0.6189,0.7229,0.104,0.0569,0.1283,2.255,0.0058,0.000262
all,periop_infection,WBC,NORMA_q_age,29418,1674,0.6951,0.6818,0.7085,0.6189,0.7213,0.1023,0.0569,0.1277,2.243,0.0052,0.000929
all,periop_infection,WBC,NORMA_q_age_set,29418,1674,0.6899,0.6766,0.7032,0.6189,0.7164,0.0975,0.0569,0.1248,2.193,,
all,periop_infection,WBC,NORMA_q_age_set_co,29418,1674,0.6946,0.6814,0.7079,0.6189,0.72,0.1011,0.0569,0.1246,2.189,0.0047,0.024018
all,periop_infection,WBC,PerRI,29410,1674,0.5446,0.5314,0.5577,0.6186,0.622,0.0034,0.0569,0.0634,1.114,-0.1453,0.0
all,periop_infection,WBC,PopRI,29418,1674,0.6779,0.6641,0.6916,0.6189,0.7152,0.0963,0.0569,0.1122,1.972,-0.012,0.002265
all,prolonged_los,A1C,Cohen_m2,269,182,0.4945,0.4179,0.5712,0.4679,0.4434,-0.0245,0.6766,0.6666,0.985,0.0218,0.560542
all,prolonged_los,A1C,Cohen_m3,269,182,0.4979,0.4214,0.5743,0.4679,0.4474,-0.0205,0.6766,0.6687,0.988,0.0251,0.504531
all,prolonged_los,A1C,Cohen_m4,269,182,0.4862,0.4101,0.5623,0.4679,0.4419,-0.026,0.6766,0.6642,0.982,0.0135,0.705119
all,prolonged_los,A1C,Gaussian_eb,269,182,0.49,0.4149,0.5651,0.4679,0.4325,-0.0354,0.6766,0.6638,0.981,0.0173,0.583634
all,prolonged_los,A1C,Gaussian_mle,264,179,0.4847,0.4088,0.5606,0.5247,0.5167,-0.008,0.678,0.6629,0.978,0.0045,0.887983
all,prolonged_los,A1C,Gaussian_trunc,264,179,0.4835,0.4084,0.5585,0.5247,0.4988,-0.0259,0.678,0.6647,0.98,0.0033,0.92275
all,prolonged_los,A1C,NORMA_334f7e21,269,182,0.4557,0.3805,0.5308,0.4679,0.4767,0.0088,0.6766,0.6402,0.946,-0.0171,0.195422
all,prolonged_los,A1C,NORMA_q_age,269,182,0.4682,0.3933,0.5431,0.4679,0.4748,0.0068,0.6766,0.6513,0.963,-0.0045,0.737195
all,prolonged_los,A1C,NORMA_q_age_set,269,182,0.4727,0.398,0.5474,0.4679,0.4489,-0.019,0.6766,0.6671,0.986,,
all,prolonged_los,A1C,NORMA_q_age_set_co,269,182,0.4544,0.3797,0.5291,0.4679,0.4744,0.0065,0.6766,0.6389,0.944,-0.0183,0.194452
all,prolonged_los,A1C,PerRI,266,181,0.4836,0.4066,0.5606,0.4502,0.4645,0.0143,0.6805,0.6569,0.965,0.0119,0.813062
all,prolonged_los,A1C,PopRI,269,182,0.4743,0.401,0.5476,0.4679,0.4307,-0.0372,0.6766,0.6639,0.981,0.0016,0.963282
all,prolonged_los,ALB,Cohen_m2,26021,20589,0.5871,0.5784,0.5959,0.5214,0.5874,0.066,0.7912,0.8244,1.042,-0.0046,0.300907
all,prolonged_los,ALB,Cohen_m3,26021,20589,0.5958,0.5871,0.6044,0.5214,0.588,0.0666,0.7912,0.8316,1.051,0.004,0.164937
all,prolonged_los,ALB,Cohen_m4,26021,20589,0.5957,0.587,0.6043,0.5214,0.5858,0.0644,0.7912,0.8293,1.048,0.0039,0.158617
all,prolonged_los,ALB,Gaussian_eb,26021,20589,0.595,0.5863,0.6037,0.5214,0.5861,0.0647,0.7912,0.828,1.047,0.0033,0.210955
all,prolonged_los,ALB,Gaussian_mle,25644,20257,0.58,0.5713,0.5888,0.5298,0.5769,0.0471,0.7899,0.8246,1.044,-0.0118,5.9e-05
all,prolonged_los,ALB,Gaussian_trunc,25644,20257,0.6032,0.5945,0.612,0.5298,0.602,0.0722,0.7899,0.8337,1.055,0.0114,0.005245
all,prolonged_los,ALB,NORMA_334f7e21,26021,20589,0.6016,0.5929,0.6104,0.5214,0.5979,0.0766,0.7912,0.8307,1.05,0.0099,0.0
all,prolonged_los,ALB,NORMA_q_age,26021,20589,0.5878,0.579,0.5967,0.5214,0.5825,0.0611,0.7912,0.8237,1.041,-0.0039,0.004706
all,prolonged_los,ALB,NORMA_q_age_set,26021,20589,0.5917,0.5829,0.6005,0.5214,0.589,0.0676,0.7912,0.8259,1.044,,
all,prolonged_los,ALB,NORMA_q_age_set_co,26021,20589,0.6023,0.5937,0.611,0.5214,0.5955,0.0741,0.7912,0.8329,1.053,0.0106,0.0
all,prolonged_los,ALB,PerRI,26013,20581,0.5459,0.5373,0.5544,0.5195,0.5406,0.0211,0.7912,0.8146,1.03,-0.046,0.0
all,prolonged_los,ALB,PopRI,26021,20589,0.6331,0.6245,0.6417,0.5214,0.626,0.1046,0.7912,0.8455,1.069,0.0414,0.0
all,prolonged_los,ALP,Cohen_m2,23442,18992,0.5835,0.5745,0.5925,0.522,0.5805,0.0586,0.8102,0.8523,1.052,0.0348,0.0
all,prolonged_los,ALP,Cohen_m3,23442,18992,0.5796,0.5704,0.5889,0.522,0.5774,0.0554,0.8102,0.8465,1.045,0.0309,0.0
all,prolonged_los,ALP,Cohen_m4,23442,18992,0.5785,0.5692,0.5878,0.522,0.5797,0.0577,0.8102,0.8443,1.042,0.0298,0.0
all,prolonged_los,ALP,Gaussian_eb,23442,18992,0.5675,0.5584,0.5766,0.522,0.5658,0.0438,0.8102,0.8447,1.043,0.0188,4e-06
all,prolonged_los,ALP,Gaussian_mle,23252,18843,0.5473,0.5381,0.5565,0.5224,0.5456,0.0233,0.8104,0.8358,1.031,-0.0015,0.71087
all,prolonged_los,ALP,Gaussian_trunc,23252,18843,0.5409,0.5316,0.5501,0.5224,0.5403,0.018,0.8104,0.8326,1.027,-0.008,0.076239
all,prolonged_los,ALP,NORMA_334f7e21,23442,18992,0.5408,0.5315,0.5501,0.522,0.5394,0.0174,0.8102,0.8295,1.024,-0.0079,1e-06
all,prolonged_los,ALP,NORMA_q_age,23442,18992,0.5352,0.5259,0.5446,0.522,0.5336,0.0116,0.8102,0.8263,1.02,-0.0135,0.0
all,prolonged_los,ALP,NORMA_q_age_set,23442,18992,0.5487,0.5395,0.558,0.522,0.5478,0.0259,0.8102,0.8336,1.029,,
all,prolonged_los,ALP,NORMA_q_age_set_co,23442,18992,0.535,0.5257,0.5444,0.522,0.5336,0.0116,0.8102,0.826,1.02,-0.0137,0.0
all,prolonged_los,ALP,PerRI,23326,18904,0.5227,0.5133,0.5321,0.5144,0.5236,0.0092,0.8104,0.8226,1.015,-0.0264,3e-06
all,prolonged_los,ALP,PopRI,23442,18992,0.5508,0.5417,0.5599,0.522,0.5574,0.0355,0.8102,0.8381,1.034,0.0021,0.680053
all,prolonged_los,ALT,Cohen_m2,21694,17448,0.567,0.5572,0.5768,0.5201,0.5565,0.0363,0.8043,0.8313,1.034,0.024,0.0
all,prolonged_los,ALT,Cohen_m3,21694,17448,0.5886,0.579,0.5982,0.5201,0.5813,0.0611,0.8043,0.8464,1.052,0.0455,0.0
all,prolonged_los,ALT,Cohen_m4,21694,17448,0.5824,0.5727,0.5921,0.5201,0.5733,0.0532,0.8043,0.8418,1.047,0.0393,0.0
all,prolonged_los,ALT,Gaussian_eb,21694,17448,0.5543,0.5445,0.5641,0.5201,0.5434,0.0232,0.8043,0.8249,1.026,0.0112,0.002844
all,prolonged_los,ALT,Gaussian_mle,21401,17221,0.5265,0.5166,0.5364,0.5268,0.5268,-0.0001,0.8047,0.8143,1.012,-0.0175,1.3e-05
all,prolonged_los,ALT,Gaussian_trunc,21401,17221,0.5213,0.5115,0.5311,0.5268,0.524,-0.0029,0.8047,0.8128,1.01,-0.0226,1e-06
all,prolonged_los,ALT,NORMA_334f7e21,21694,17448,0.5409,0.5313,0.5506,0.5201,0.534,0.0139,0.8043,0.8241,1.025,-0.0021,0.119185
all,prolonged_los,ALT,NORMA_q_age,21694,17448,0.538,0.5283,0.5476,0.5201,0.5322,0.012,0.8043,0.8213,1.021,-0.0051,0.000353
all,prolonged_los,ALT,NORMA_q_age_set,21694,17448,0.5431,0.5334,0.5527,0.5201,0.5359,0.0158,0.8043,0.8241,1.025,,
all,prolonged_los,ALT,NORMA_q_age_set_co,21694,17448,0.5465,0.5369,0.5562,0.5201,0.5376,0.0174,0.8043,0.8248,1.026,0.0035,0.057238
all,prolonged_los,ALT,PerRI,21635,17398,0.4896,0.4798,0.4995,0.5236,0.5233,-0.0002,0.8042,0.798,0.992,-0.0527,0.0
all,prolonged_los,ALT,PopRI,21694,17448,0.5496,0.54,0.5591,0.5201,0.548,0.0279,0.8043,0.8262,1.027,0.0065,0.12066
all,prolonged_los,AST,Cohen_m2,21748,17440,0.5705,0.5609,0.5802,0.5341,0.5844,0.0503,0.8019,0.8288,1.034,0.0411,0.0
all,prolonged_los,AST,Cohen_m3,21748,17440,0.616,0.6064,0.6255,0.5341,0.6352,0.1011,0.8019,0.8457,1.055,0.0865,0.0
all,prolonged_los,AST,Cohen_m4,21748,17440,0.5901,0.5805,0.5998,0.5341,0.6091,0.075,0.8019,0.8377,1.045,0.0607,0.0
all,prolonged_los,AST,Gaussian_eb,21748,17440,0.5421,0.5323,0.5518,0.5341,0.552,0.0179,0.8019,0.8154,1.017,0.0126,0.000563
all,prolonged_los,AST,Gaussian_mle,21668,17373,0.5066,0.4968,0.5165,0.527,0.5268,-0.0002,0.8018,0.7999,0.998,-0.0232,0.0
all,prolonged_los,AST,Gaussian_trunc,21668,17373,0.5101,0.5004,0.5198,0.527,0.5229,-0.0041,0.8018,0.8047,1.004,-0.0197,5e-06
all,prolonged_los,AST,NORMA_334f7e21,21748,17440,0.5259,0.5163,0.5356,0.5341,0.5429,0.0088,0.8019,0.8129,1.014,-0.0036,0.009211
all,prolonged_los,AST,NORMA_q_age,21748,17440,0.5211,0.5114,0.5307,0.5341,0.5377,0.0037,0.8019,0.8099,1.01,-0.0084,0.0
all,prolonged_los,AST,NORMA_q_age_set,21748,17440,0.5295,0.5198,0.5391,0.5341,0.5478,0.0137,0.8019,0.8161,1.018,,
all,prolonged_los,AST,NORMA_q_age_set_co,21748,17440,0.5311,0.5215,0.5407,0.5341,0.5452,0.0111,0.8019,0.8157,1.017,0.0016,0.352463
all,prolonged_los,AST,PerRI,21716,17416,0.4767,0.4669,0.4866,0.5204,0.5323,0.0119,0.802,0.79,0.985,-0.0534,0.0
all,prolonged_los,AST,PopRI,21748,17440,0.5599,0.5504,0.5694,0.5341,0.5778,0.0437,0.8019,0.8276,1.032,0.0304,0.0
all,prolonged_los,BUN,Cohen_m2,25387,20441,0.5342,0.5253,0.5431,0.5138,0.5336,0.0198,0.8052,0.8224,1.021,-0.0048,0.238577
all,prolonged_los,BUN,Cohen_m3,25387,20441,0.5378,0.5288,0.5469,0.5138,0.5401,0.0263,0.8052,0.8218,1.021,-0.0012,0.748906
all,prolonged_los,BUN,Cohen_m4,25387,20441,0.5385,0.5294,0.5475,0.5138,0.5397,0.0259,0.8052,0.8212,1.02,-0.0005,0.890235
all,prolonged_los,BUN,Gaussian_eb,25387,20441,0.5415,0.5324,0.5507,0.5138,0.5403,0.0265,0.8052,0.8208,1.019,0.0025,0.400639
all,prolonged_los,BUN,Gaussian_mle,24998,20121,0.5238,0.5146,0.5329,0.5019,0.5081,0.0062,0.8049,0.8136,1.011,-0.0164,0.0
all,prolonged_los,BUN,Gaussian_trunc,24998,20121,0.5204,0.5112,0.5295,0.5019,0.5056,0.0037,0.8049,0.8119,1.009,-0.0198,5e-06
all,prolonged_los,BUN,NORMA_334f7e21,25387,20441,0.5409,0.5318,0.55,0.5138,0.5406,0.0268,0.8052,0.8204,1.019,0.0019,0.066368
all,prolonged_los,BUN,NORMA_q_age,25387,20441,0.5366,0.5275,0.5458,0.5138,0.5359,0.0221,0.8052,0.8183,1.016,-0.0024,0.025664
all,prolonged_los,BUN,NORMA_q_age_set,25387,20441,0.539,0.5299,0.5481,0.5138,0.5402,0.0263,0.8052,0.8204,1.019,,
all,prolonged_los,BUN,NORMA_q_age_set_co,25387,20441,0.544,0.5349,0.5531,0.5138,0.5442,0.0304,0.8052,0.8216,1.02,0.005,0.000102
all,prolonged_los,BUN,PerRI,25324,20394,0.4909,0.4818,0.4999,0.5041,0.5122,0.0081,0.8053,0.8008,0.994,-0.0487,0.0
all,prolonged_los,BUN,PopRI,25387,20441,0.5467,0.5376,0.5557,0.5138,0.5487,0.0349,0.8052,0.8213,1.02,0.0077,0.013532
all,prolonged_los,CA,Cohen_m2,25179,19569,0.5323,0.5237,0.5409,0.5368,0.5435,0.0067,0.7772,0.7857,1.011,-0.0109,0.007004
all,prolonged_los,CA,Cohen_m3,25179,19569,0.5357,0.5271,0.5443,0.5368,0.5399,0.0031,0.7772,0.7922,1.019,-0.0075,0.016554
all,prolonged_los,CA,Cohen_m4,25179,19569,0.5382,0.5296,0.5468,0.5368,0.5417,0.0049,0.7772,0.7922,1.019,-0.005,0.082146
all,prolonged_los,CA,Gaussian_eb,25179,19569,0.5342,0.5255,0.5429,0.5368,0.5384,0.0016,0.7772,0.7876,1.013,-0.009,0.000293
all,prolonged_los,CA,Gaussian_mle,24724,19225,0.5312,0.5224,0.5401,0.5369,0.5385,0.0016,0.7776,0.7876,1.013,-0.0121,0.000206
all,prolonged_los,CA,Gaussian_trunc,24724,19225,0.5373,0.5284,0.5461,0.5369,0.5406,0.0037,0.7776,0.7892,1.015,-0.0061,0.183491
all,prolonged_los,CA,NORMA_334f7e21,25179,19569,0.5468,0.538,0.5555,0.5368,0.5485,0.0117,0.7772,0.7942,1.022,0.0036,0.000723
all,prolonged_los,CA,NORMA_q_age,25179,19569,0.537,0.5283,0.5458,0.5368,0.5417,0.0049,0.7772,0.7887,1.015,-0.0061,0.0
all,prolonged_los,CA,NORMA_q_age_set,25179,19569,0.5432,0.5345,0.5519,0.5368,0.546,0.0091,0.7772,0.7939,1.022,,
all,prolonged_los,CA,NORMA_q_age_set_co,25179,19569,0.5429,0.5342,0.5517,0.5368,0.5441,0.0073,0.7772,0.7925,1.02,-0.0003,0.81341
all,prolonged_los,CA,PerRI,25159,19560,0.5305,0.5218,0.5392,0.5507,0.5511,0.0004,0.7775,0.7866,1.012,-0.0126,0.022095
all,prolonged_los,CA,PopRI,25179,19569,0.5446,0.5359,0.5533,0.5368,0.5435,0.0066,0.7772,0.7948,1.023,0.0014,0.56939
all,prolonged_los,CL,Cohen_m2,26586,21335,0.5398,0.5312,0.5483,0.5116,0.5363,0.0247,0.8025,0.8269,1.03,0.0211,0.0
all,prolonged_los,CL,Cohen_m3,26586,21335,0.5286,0.52,0.5372,0.5116,0.5241,0.0125,0.8025,0.8202,1.022,0.0099,0.001809
all,prolonged_los,CL,Cohen_m4,26586,21335,0.5248,0.5162,0.5334,0.5116,0.5215,0.0099,0.8025,0.8185,1.02,0.0062,0.052454
all,prolonged_los,CL,Gaussian_eb,26586,21335,0.5166,0.508,0.5253,0.5116,0.5157,0.004,0.8025,0.8127,1.013,-0.002,0.375064
all,prolonged_los,CL,Gaussian_mle,26083,20944,0.5064,0.4976,0.5152,0.513,0.5141,0.0011,0.803,0.8051,1.003,-0.0141,1e-06
all,prolonged_los,CL,Gaussian_trunc,26083,20944,0.4847,0.4759,0.4936,0.513,0.5188,0.0059,0.803,0.7952,0.99,-0.0357,0.0
all,prolonged_los,CL,NORMA_334f7e21,26586,21335,0.5166,0.5081,0.5252,0.5116,0.516,0.0043,0.8025,0.8133,1.014,-0.002,0.012697
all,prolonged_los,CL,NORMA_q_age,26586,21335,0.5128,0.5042,0.5214,0.5116,0.5134,0.0017,0.8025,0.8109,1.01,-0.0058,0.0
all,prolonged_los,CL,NORMA_q_age_set,26586,21335,0.5186,0.51,0.5272,0.5116,0.517,0.0054,0.8025,0.8152,1.016,,
all,prolonged_los,CL,NORMA_q_age_set_co,26586,21335,0.5135,0.5049,0.5221,0.5116,0.5133,0.0017,0.8025,0.8118,1.012,-0.0051,8e-06
all,prolonged_los,CL,PerRI,26568,21327,0.4666,0.4577,0.4755,0.5023,0.5298,0.0275,0.8027,0.7805,0.972,-0.0522,0.0
all,prolonged_los,CL,PopRI,26586,21335,0.516,0.5074,0.5246,0.5116,0.5146,0.003,0.8025,0.8104,1.01,-0.0027,0.25758
all,prolonged_los,CO2,Cohen_m2,11015,9349,0.5473,0.5324,0.5621,0.5114,0.5468,0.0353,0.8488,0.8701,1.025,0.0063,0.32156
all,prolonged_los,CO2,Cohen_m3,11015,9349,0.5435,0.5283,0.5587,0.5114,0.5428,0.0314,0.8488,0.8645,1.019,0.0025,0.655339
all,prolonged_los,CO2,Cohen_m4,11015,9349,0.5409,0.5257,0.556,0.5114,0.5438,0.0324,0.8488,0.8643,1.018,-0.0002,0.975939
all,prolonged_los,CO2,Gaussian_eb,11015,9349,0.5346,0.5194,0.5498,0.5114,0.5381,0.0267,0.8488,0.8607,1.014,-0.0064,0.172606
all,prolonged_los,CO2,Gaussian_mle,10881,9245,0.5292,0.5136,0.5449,0.5126,0.5236,0.0109,0.8496,0.8535,1.005,-0.0115,0.023369
all,prolonged_los,CO2,Gaussian_trunc,10881,9245,0.505,0.4893,0.5207,0.5126,0.5118,-0.0009,0.8496,0.8459,0.996,-0.0358,2e-06
all,prolonged_los,CO2,NORMA_334f7e21,11015,9349,0.5454,0.5304,0.5604,0.5114,0.5444,0.033,0.8488,0.8653,1.019,0.0044,0.002332
all,prolonged_los,CO2,NORMA_q_age,11015,9349,0.5394,0.5244,0.5543,0.5114,0.5397,0.0283,0.8488,0.8638,1.018,-0.0016,0.240054
all,prolonged_los,CO2,NORMA_q_age_set,11015,9349,0.541,0.526,0.556,0.5114,0.5394,0.028,0.8488,0.8636,1.017,,
all,prolonged_los,CO2,NORMA_q_age_set_co,11015,9349,0.5436,0.5285,0.5587,0.5114,0.5403,0.0289,0.8488,0.8632,1.017,0.0026,0.139771
all,prolonged_los,CO2,PerRI,11000,9335,0.4911,0.475,0.5071,0.5034,0.5367,0.0333,0.8486,0.836,0.985,-0.05,0.0
all,prolonged_los,CO2,PopRI,11015,9349,0.5342,0.5189,0.5494,0.5114,0.5376,0.0261,0.8488,0.858,1.011,-0.0069,0.148447
all,prolonged_los,CRE,Cohen_m2,36501,26440,0.5778,0.5713,0.5844,0.5381,0.5855,0.0474,0.7244,0.7729,1.067,0.0127,1.9e-05
all,prolonged_los,CRE,Cohen_m3,36501,26440,0.5964,0.5899,0.6029,0.5381,0.6037,0.0656,0.7244,0.7843,1.083,0.0313,0.0
all,prolonged_los,CRE,Cohen_m4,36501,26440,0.5772,0.5707,0.5838,0.5381,0.5919,0.0538,0.7244,0.7731,1.067,0.0121,3.2e-05
all,prolonged_los,CRE,Gaussian_eb,36501,26440,0.5672,0.5606,0.5737,0.5381,0.5746,0.0365,0.7244,0.7646,1.056,0.002,0.353986
all,prolonged_los,CRE,Gaussian_mle,35747,25885,0.5452,0.5385,0.5519,0.532,0.5493,0.0174,0.7241,0.7511,1.037,-0.0208,0.0
all,prolonged_los,CRE,Gaussian_trunc,35747,25885,0.5407,0.534,0.5474,0.532,0.542,0.0101,0.7241,0.7427,1.026,-0.0252,0.0
all,prolonged_los,CRE,NORMA_334f7e21,36501,26440,0.5577,0.551,0.5643,0.5381,0.5642,0.0261,0.7244,0.7561,1.044,-0.0075,0.0
all,prolonged_los,CRE,NORMA_q_age,36501,26440,0.5559,0.5492,0.5625,0.5381,0.5626,0.0245,0.7244,0.7551,1.042,-0.0093,0.0
all,prolonged_los,CRE,NORMA_q_age_set,36501,26440,0.5651,0.5585,0.5718,0.5381,0.5696,0.0315,0.7244,0.7603,1.05,,
all,prolonged_los,CRE,NORMA_q_age_set_co,36501,26440,0.5618,0.5552,0.5684,0.5381,0.5686,0.0305,0.7244,0.7595,1.048,-0.0034,0.001533
all,prolonged_los,CRE,PerRI,36318,26323,0.5223,0.5156,0.5289,0.5353,0.5402,0.0049,0.7248,0.7377,1.018,-0.0428,0.0
all,prolonged_los,CRE,PopRI,36501,26440,0.5925,0.586,0.5989,0.5381,0.5956,0.0575,0.7244,0.78,1.077,0.0273,0.0
all,prolonged_los,GLU,Cohen_m2,30550,20398,0.4897,0.4829,0.4966,0.5136,0.5149,0.0013,0.6677,0.6653,0.996,-0.0489,0.0
all,prolonged_los,GLU,Cohen_m3,30550,20398,0.4843,0.4774,0.4913,0.5136,0.5175,0.0039,0.6677,0.655,0.981,-0.0543,0.0
all,prolonged_los,GLU,Cohen_m4,30550,20398,0.4778,0.4708,0.4847,0.5136,0.5302,0.0166,0.6677,0.6443,0.965,-0.0609,0.0
all,prolonged_los,GLU,Gaussian_eb,30550,20398,0.4971,0.4904,0.5039,0.5136,0.5137,0.0002,0.6677,0.6829,1.023,-0.0415,0.0
all,prolonged_los,GLU,Gaussian_mle,28673,19124,0.5049,0.4979,0.5119,0.5122,0.5139,0.0017,0.667,0.6792,1.018,-0.0373,0.0
all,prolonged_los,GLU,Gaussian_trunc,28673,19124,0.4941,0.4871,0.5012,0.5122,0.5139,0.0017,0.667,0.6697,1.004,-0.048,0.0
all,prolonged_los,GLU,NORMA_334f7e21,30550,20398,0.5287,0.5219,0.5355,0.5136,0.5348,0.0212,0.6677,0.689,1.032,-0.01,0.0
all,prolonged_los,GLU,NORMA_q_age,30550,20398,0.533,0.5262,0.5398,0.5136,0.5388,0.0252,0.6677,0.6946,1.04,-0.0057,0.0
all,prolonged_los,GLU,NORMA_q_age_set,30550,20398,0.5386,0.5319,0.5454,0.5136,0.5459,0.0323,0.6677,0.7033,1.053,,
all,prolonged_los,GLU,NORMA_q_age_set_co,30550,20398,0.5132,0.5064,0.52,0.5136,0.5227,0.0091,0.6677,0.6794,1.017,-0.0254,0.0
all,prolonged_los,GLU,PerRI,30534,20386,0.4709,0.4639,0.4779,0.5199,0.5447,0.0248,0.6676,0.6421,0.962,-0.0677,0.0
all,prolonged_los,GLU,PopRI,30550,20398,0.4891,0.4822,0.4959,0.5136,0.5148,0.0012,0.6677,0.6644,0.995,-0.0496,0.0
all,prolonged_los,HCT,Cohen_m2,37050,26434,0.6357,0.6294,0.642,0.5208,0.6279,0.1071,0.7135,0.7924,1.111,0.0764,0.0
all,prolonged_los,HCT,Cohen_m3,37050,26434,0.6206,0.6142,0.627,0.5208,0.6144,0.0936,0.7135,0.7757,1.087,0.0613,0.0
all,prolonged_los,HCT,Cohen_m4,37050,26434,0.61,0.6036,0.6163,0.5208,0.6017,0.0809,0.7135,0.7727,1.083,0.0506,0.0
all,prolonged_los,HCT,Gaussian_eb,37050,26434,0.6229,0.6166,0.6292,0.5208,0.6214,0.1006,0.7135,0.7876,1.104,0.0636,0.0
all,prolonged_los,HCT,Gaussian_mle,34365,24633,0.6045,0.5978,0.6112,0.5268,0.6168,0.09,0.7168,0.7762,1.083,0.0452,0.0
all,prolonged_los,HCT,Gaussian_trunc,34365,24633,0.5793,0.5726,0.5859,0.5268,0.5988,0.072,0.7168,0.7639,1.066,0.0199,0.0
all,prolonged_los,HCT,NORMA_334f7e21,37050,26434,0.5677,0.561,0.5744,0.5208,0.56,0.0392,0.7135,0.7384,1.035,0.0084,0.0
all,prolonged_los,HCT,NORMA_q_age,37050,26434,0.5481,0.5414,0.5548,0.5208,0.5408,0.02,0.7135,0.7261,1.018,-0.0112,0.0
all,prolonged_los,HCT,NORMA_q_age_set,37050,26434,0.5593,0.5526,0.566,0.5208,0.5525,0.0317,0.7135,0.7353,1.031,,
all,prolonged_los,HCT,NORMA_q_age_set_co,37050,26434,0.5562,0.5495,0.5629,0.5208,0.5485,0.0277,0.7135,0.7323,1.026,-0.0031,0.000926
all,prolonged_los,HCT,PerRI,36993,26417,0.4692,0.4624,0.4759,0.5254,0.5496,0.0242,0.7141,0.678,0.949,-0.0906,0.0
all,prolonged_los,HCT,PopRI,37050,26434,0.6215,0.6152,0.6278,0.5208,0.6238,0.103,0.7135,0.7868,1.103,0.0622,0.0
all,prolonged_los,HGB,Cohen_m2,31437,23596,0.5853,0.578,0.5926,0.5269,0.5935,0.0665,0.7506,0.7939,1.058,0.0491,0.0
all,prolonged_los,HGB,Cohen_m3,31437,23596,0.596,0.5888,0.6033,0.5269,0.6035,0.0766,0.7506,0.8008,1.067,0.0599,0.0
all,prolonged_los,HGB,Cohen_m4,31437,23596,0.5944,0.5871,0.6017,0.5269,0.6015,0.0745,0.7506,0.7976,1.063,0.0582,0.0
all,prolonged_los,HGB,Gaussian_eb,31437,23596,0.5964,0.589,0.6038,0.5269,0.6015,0.0746,0.7506,0.7969,1.062,0.0602,0.0
all,prolonged_los,HGB,Gaussian_mle,29417,22178,0.578,0.5702,0.5858,0.5309,0.5664,0.0355,0.7539,0.7873,1.044,0.0381,0.0
all,prolonged_los,HGB,Gaussian_trunc,29417,22178,0.5757,0.5679,0.5835,0.5309,0.5606,0.0297,0.7539,0.7854,1.042,0.0357,0.0
all,prolonged_los,HGB,NORMA_334f7e21,31437,23596,0.5367,0.529,0.5445,0.5269,0.543,0.016,0.7506,0.7568,1.008,0.0006,0.596622
all,prolonged_los,HGB,NORMA_q_age,31437,23596,0.5267,0.5189,0.5344,0.5269,0.5339,0.007,0.7506,0.7514,1.001,-0.0095,0.0
all,prolonged_los,HGB,NORMA_q_age_set,31437,23596,0.5361,0.5284,0.5439,0.5269,0.5416,0.0147,0.7506,0.7578,1.01,,
all,prolonged_los,HGB,NORMA_q_age_set_co,31437,23596,0.5281,0.5203,0.5359,0.5269,0.5355,0.0085,0.7506,0.7519,1.002,-0.008,0.0
all,prolonged_los,HGB,PerRI,31390,23578,0.4929,0.4853,0.5004,0.5324,0.5387,0.0063,0.7511,0.7353,0.979,-0.0424,0.0
all,prolonged_los,HGB,PopRI,31437,23596,0.6068,0.5995,0.6141,0.5269,0.6148,0.0879,0.7506,0.8049,1.072,0.0706,0.0
all,prolonged_los,K,Cohen_m2,34278,25327,0.5811,0.5742,0.5879,0.5119,0.5794,0.0675,0.7389,0.7865,1.064,0.0114,0.000159
all,prolonged_los,K,Cohen_m3,34278,25327,0.5833,0.5765,0.5901,0.5119,0.5802,0.0683,0.7389,0.7888,1.068,0.0136,3e-06
all,prolonged_los,K,Cohen_m4,34278,25327,0.5804,0.5736,0.5873,0.5119,0.5776,0.0657,0.7389,0.7869,1.065,0.0108,5.6e-05
all,prolonged_los,K,Gaussian_eb,34278,25327,0.575,0.5682,0.5819,0.5119,0.5717,0.0598,0.7389,0.7843,1.061,0.0053,0.019484
all,prolonged_los,K,Gaussian_mle,34063,25193,0.5522,0.5451,0.5593,0.516,0.5426,0.0266,0.7396,0.7583,1.025,-0.0191,0.0
all,prolonged_los,K,Gaussian_trunc,34063,25193,0.5171,0.51,0.5242,0.516,0.5221,0.0061,0.7396,0.7477,1.011,-0.0542,0.0
all,prolonged_los,K,NORMA_334f7e21,34278,25327,0.5688,0.5619,0.5756,0.5119,0.5689,0.057,0.7389,0.7783,1.053,-0.0009,0.221588
