design,n,n_events,n_nonevents,n_reclassified,events_up,events_down,nonevents_up,nonevents_down,NRI,NRI_events,NRI_nonevents,NRI_se,NRI_p,ref_high_risk_rate,new_high_risk_rate,outcome,ref_method,new_method,subset,ref_mean_abnormal,new_mean_abnormal
refit,1690,22,1668,392,1,0,256,135,-0.0271,0.0455,-0.0725,0.0448,0.5174,0.5,0.5722,mortality,PopRI,Gaussian_trunc,all,,
refit,1690,22,1668,239,0,0,149,90,-0.0354,0.0,-0.0354,0.0097,0.0002,0.5,0.5349,mortality,PopRI,Gaussian_mle,all,,
refit,1690,22,1668,265,1,1,159,104,-0.033,0.0,-0.033,0.0661,0.59,0.5,0.5325,mortality,PopRI,Cohen_m4,all,,
refit,1690,22,1668,241,1,1,149,90,-0.0354,0.0,-0.0354,0.066,0.5717,0.5,0.5349,mortality,PopRI,Cohen_m3,all,,
refit,1690,22,1668,234,0,1,143,90,-0.0772,-0.0455,-0.0318,0.0453,0.0869,0.5,0.5308,mortality,PopRI,Cohen_m2,all,,
refit,1690,22,1668,206,0,1,124,81,-0.0712,-0.0455,-0.0258,0.0452,0.1114,0.5,0.5249,mortality,PopRI,NORMA_q_age_set_co,all,,
swap,1690,243,1447,844,140,0,704,0,0.0896,0.5761,-0.4865,0.0343,0.01,,,unplanned_icu,PopRI,NORMA_q_age_set,all,5.27,5.98
swap,1690,243,1447,1251,152,22,986,91,-0.0835,0.535,-0.6185,0.0454,0.0593,,,unplanned_icu,PopRI,Gaussian_eb,all,5.27,6.42
swap,1690,243,1447,1616,233,0,1383,0,0.0031,0.9588,-0.9558,0.014,0.8475,,,unplanned_icu,PopRI,Gaussian_trunc,all,5.27,8.24
swap,1690,243,1447,1299,198,0,1101,0,0.0539,0.8148,-0.7609,0.0271,0.0457,,,unplanned_icu,PopRI,Cohen_m2,all,5.27,6.66
swap,1690,243,1447,1264,186,0,1078,0,0.0204,0.7654,-0.745,0.0289,0.488,,,unplanned_icu,PopRI,Cohen_m4,all,5.27,6.64
swap,1690,243,1447,1413,207,0,1206,0,0.0184,0.8519,-0.8334,0.0246,0.4263,,,unplanned_icu,PopRI,Cohen_m3,all,5.27,6.9
swap,1690,243,1447,894,149,0,745,0,0.0983,0.6132,-0.5149,0.0336,0.0035,,,unplanned_icu,PopRI,NORMA_334f7e21,all,5.27,6.03
swap,1690,243,1447,1214,170,0,1044,0,-0.0219,0.6996,-0.7215,0.0314,0.4654,,,unplanned_icu,PopRI,Gaussian_mle,all,5.27,6.58
swap,1690,243,1447,904,148,0,756,0,0.0866,0.6091,-0.5225,0.0344,0.0119,,,unplanned_icu,PopRI,NORMA_q_age,all,5.27,6.09
swap,1672,28,1644,851,20,0,831,0,0.2088,0.7143,-0.5055,0.0875,0.0152,,,periop_infection,PopRI,NORMA_334f7e21,all,5.16,5.9
swap,1672,28,1644,1620,26,0,1594,0,-0.041,0.9286,-0.9696,0.0489,0.4416,,,periop_infection,PopRI,PerRI,all,5.16,8.73
swap,1672,28,1644,1266,25,0,1241,0,0.138,0.8929,-0.7549,0.0602,0.0249,,,periop_infection,PopRI,Cohen_m2,all,5.16,6.51
