analyte,age,method,ri_low,ri_high,ri_mid,n
PLT,30,NORMA_q_age_set_co,199.74,358.19,278.97,65
PLT,35,NORMA_q_age_set_co,181.57,309.24,245.41,89
PLT,40,NORMA_q_age_set_co,187.53,319.82,253.67,90
PLT,45,NORMA_q_age_set_co,193.04,331.32,262.18,124
PLT,50,NORMA_q_age_set_co,192.8,336.01,264.41,140
PLT,55,NORMA_q_age_set_co,190.38,321.3,255.84,221
PLT,60,NORMA_q_age_set_co,183.5,309.67,246.59,267
PLT,65,NORMA_q_age_set_co,179.42,307.62,243.52,264
PLT,70,NORMA_q_age_set_co,187.38,318.32,252.85,265
PLT,75,NORMA_q_age_set_co,185.29,310.97,248.13,219
PLT,80,NORMA_q_age_set_co,187.56,315.16,251.36,136
PLT,85,NORMA_q_age_set_co,203.78,354.56,279.17,35
TBIL,20,NORMA,0.26,0.94,0.6,36
TBIL,25,NORMA,0.27,0.99,0.63,36
TBIL,30,NORMA,0.25,1.03,0.64,53
TBIL,35,NORMA,0.26,0.97,0.62,54
TBIL,40,NORMA,0.24,0.97,0.61,108
TBIL,45,NORMA,0.23,0.97,0.6,118
TBIL,50,NORMA,0.25,0.98,0.62,180
TBIL,55,NORMA,0.28,1.01,0.64,225
TBIL,60,NORMA,0.28,1.02,0.65,256
TBIL,65,NORMA,0.26,1.02,0.64,313
TBIL,70,NORMA,0.28,0.99,0.63,248
TBIL,75,NORMA,0.3,1.01,0.66,214
TBIL,80,NORMA,0.31,1.03,0.67,110
TBIL,85,NORMA,0.35,1.05,0.7,38
TBIL,90,NORMA,0.27,0.96,0.61,11
TBIL,20,NORMA_334f7e21,0.28,0.92,0.6,36
TBIL,25,NORMA_334f7e21,0.29,1.01,0.65,36
TBIL,30,NORMA_334f7e21,0.29,1.03,0.66,53
TBIL,35,NORMA_334f7e21,0.3,0.98,0.64,54
TBIL,40,NORMA_334f7e21,0.28,0.99,0.64,108
TBIL,45,NORMA_334f7e21,0.27,0.99,0.63,118
TBIL,50,NORMA_334f7e21,0.29,0.99,0.64,180
TBIL,55,NORMA_334f7e21,0.3,1.02,0.66,225
TBIL,60,NORMA_334f7e21,0.31,1.03,0.67,256
TBIL,65,NORMA_334f7e21,0.3,1.02,0.66,313
TBIL,70,NORMA_334f7e21,0.31,1.01,0.66,248
TBIL,75,NORMA_334f7e21,0.32,1.02,0.67,214
TBIL,80,NORMA_334f7e21,0.33,1.05,0.69,110
TBIL,85,NORMA_334f7e21,0.38,1.07,0.73,38
TBIL,90,NORMA_334f7e21,0.28,0.98,0.63,11
TBIL,20,NORMA_q_age,0.29,0.92,0.6,36
TBIL,25,NORMA_q_age,0.32,1.0,0.66,36
TBIL,30,NORMA_q_age,0.3,1.02,0.66,53
TBIL,35,NORMA_q_age,0.31,0.97,0.64,54
TBIL,40,NORMA_q_age,0.29,0.97,0.63,108
TBIL,45,NORMA_q_age,0.27,0.97,0.62,118
TBIL,50,NORMA_q_age,0.29,0.97,0.63,180
TBIL,55,NORMA_q_age,0.31,1.0,0.65,225
TBIL,60,NORMA_q_age,0.32,1.01,0.66,256
TBIL,65,NORMA_q_age,0.31,1.01,0.66,313
TBIL,70,NORMA_q_age,0.33,0.99,0.66,248
TBIL,75,NORMA_q_age,0.35,1.0,0.68,214
TBIL,80,NORMA_q_age,0.34,1.03,0.69,110
TBIL,85,NORMA_q_age,0.4,1.05,0.73,38
TBIL,90,NORMA_q_age,0.3,0.96,0.63,11
TBIL,20,NORMA_q_age_set_co,0.28,0.96,0.62,36
TBIL,25,NORMA_q_age_set_co,0.28,1.04,0.66,36
TBIL,30,NORMA_q_age_set_co,0.28,1.06,0.67,53
TBIL,35,NORMA_q_age_set_co,0.28,1.02,0.65,54
TBIL,40,NORMA_q_age_set_co,0.31,0.99,0.65,108
TBIL,45,NORMA_q_age_set_co,0.29,0.99,0.64,118
TBIL,50,NORMA_q_age_set_co,0.3,1.01,0.65,180
TBIL,55,NORMA_q_age_set_co,0.32,1.03,0.67,225
TBIL,60,NORMA_q_age_set_co,0.31,1.04,0.68,256
TBIL,65,NORMA_q_age_set_co,0.3,1.03,0.66,313
TBIL,70,NORMA_q_age_set_co,0.32,1.02,0.67,248
TBIL,75,NORMA_q_age_set_co,0.33,1.03,0.68,214
TBIL,80,NORMA_q_age_set_co,0.34,1.06,0.7,110
TBIL,85,NORMA_q_age_set_co,0.38,1.09,0.74,38
TBIL,90,NORMA_q_age_set_co,0.31,0.99,0.65,11
TP,20,NORMA,5.84,7.74,6.79,36
TP,25,NORMA,5.9,7.79,6.85,55
TP,30,NORMA,5.95,8.02,6.99,54
TP,35,NORMA,5.8,7.82,6.81,63
TP,40,NORMA,5.75,7.51,6.63,86
TP,45,NORMA,5.82,7.7,6.76,93
TP,50,NORMA,5.85,7.75,6.8,149
TP,55,NORMA,5.81,7.69,6.75,228
TP,60,NORMA,5.78,7.64,6.71,256
TP,65,NORMA,5.82,7.58,6.7,265
TP,70,NORMA,5.8,7.56,6.68,293
TP,75,NORMA,5.79,7.49,6.64,255
TP,80,NORMA,5.81,7.51,6.66,119
TP,85,NORMA,5.8,7.29,6.55,44
TP,20,NORMA_334f7e21,5.88,7.84,6.86,36
TP,25,NORMA_334f7e21,5.9,7.88,6.89,55
TP,30,NORMA_334f7e21,5.96,8.07,7.01,54
TP,35,NORMA_334f7e21,5.86,7.83,6.84,63
TP,40,NORMA_334f7e21,5.76,7.63,6.7,86
TP,45,NORMA_334f7e21,5.84,7.85,6.85,93
TP,50,NORMA_334f7e21,5.86,7.8,6.83,149
TP,55,NORMA_334f7e21,5.82,7.73,6.78,228
TP,60,NORMA_334f7e21,5.8,7.7,6.75,256
TP,65,NORMA_334f7e21,5.85,7.67,6.76,265
TP,70,NORMA_334f7e21,5.83,7.62,6.72,293
TP,75,NORMA_334f7e21,5.82,7.55,6.68,255
TP,80,NORMA_334f7e21,5.85,7.57,6.71,119
TP,85,NORMA_334f7e21,5.85,7.4,6.63,44
TP,20,NORMA_q_age,5.83,7.77,6.8,36
TP,25,NORMA_q_age,5.85,7.78,6.82,55
TP,30,NORMA_q_age,5.89,7.99,6.94,54
TP,35,NORMA_q_age,5.8,7.78,6.79,63
TP,40,NORMA_q_age,5.7,7.61,6.66,86
TP,45,NORMA_q_age,5.79,7.82,6.8,93
TP,50,NORMA_q_age,5.8,7.83,6.81,149
TP,55,NORMA_q_age,5.77,7.73,6.75,228
TP,60,NORMA_q_age,5.72,7.71,6.72,256
TP,65,NORMA_q_age,5.78,7.69,6.73,265
TP,70,NORMA_q_age,5.75,7.6,6.68,293
TP,75,NORMA_q_age,5.74,7.52,6.63,255
TP,80,NORMA_q_age,5.75,7.6,6.67,119
TP,85,NORMA_q_age,5.76,7.38,6.57,44
TP,20,NORMA_q_age_set_co,5.92,7.84,6.88,36
TP,25,NORMA_q_age_set_co,5.99,7.85,6.92,55
TP,30,NORMA_q_age_set_co,6.1,8.08,7.09,54
TP,35,NORMA_q_age_set_co,5.93,7.89,6.91,63
TP,40,NORMA_q_age_set_co,5.84,7.54,6.69,86
TP,45,NORMA_q_age_set_co,5.93,7.79,6.86,93
TP,50,NORMA_q_age_set_co,5.94,7.89,6.92,149
TP,55,NORMA_q_age_set_co,5.9,7.81,6.86,228
TP,60,NORMA_q_age_set_co,5.89,7.73,6.81,256
TP,65,NORMA_q_age_set_co,5.9,7.67,6.78,265
TP,70,NORMA_q_age_set_co,5.88,7.69,6.78,293
TP,75,NORMA_q_age_set_co,5.85,7.63,6.74,255
TP,80,NORMA_q_age_set_co,5.91,7.66,6.78,119
TP,85,NORMA_q_age_set_co,5.89,7.47,6.68,44
WBC,20,NORMA,4.32,10.0,7.16,39
WBC,25,NORMA,3.88,9.81,6.84,41
WBC,30,NORMA,4.18,10.27,7.22,57
WBC,35,NORMA,4.55,10.35,7.45,72
WBC,40,NORMA,4.22,9.89,7.05,101
WBC,45,NORMA,4.36,10.48,7.42,99
WBC,50,NORMA,4.23,9.96,7.09,169
WBC,55,NORMA,4.13,10.09,7.11,229
WBC,60,NORMA,4.19,10.29,7.24,260
WBC,65,NORMA,4.33,10.22,7.27,262
WBC,70,NORMA,4.29,10.11,7.2,277
WBC,75,NORMA,4.31,10.21,7.26,225
WBC,80,NORMA,4.15,10.43,7.29,128
WBC,85,NORMA,4.57,10.55,7.56,38
WBC,20,NORMA_334f7e21,4.56,9.85,7.2,39
WBC,25,NORMA_334f7e21,4.22,9.73,6.97,41
WBC,30,NORMA_334f7e21,4.51,10.04,7.28,57
WBC,35,NORMA_334f7e21,4.99,10.2,7.6,72
WBC,40,NORMA_334f7e21,4.65,9.94,7.3,101
WBC,45,NORMA_334f7e21,4.75,10.43,7.59,99
WBC,50,NORMA_334f7e21,4.71,9.82,7.27,169
WBC,55,NORMA_334f7e21,4.52,9.98,7.25,229
WBC,60,NORMA_334f7e21,4.6,10.11,7.35,260
WBC,65,NORMA_334f7e21,4.73,10.11,7.42,262
WBC,70,NORMA_334f7e21,4.74,9.99,7.37,277
WBC,75,NORMA_334f7e21,4.78,10.09,7.44,225
WBC,80,NORMA_334f7e21,4.61,10.29,7.45,128
WBC,85,NORMA_334f7e21,5.02,10.32,7.67,38
WBC,20,NORMA_q_age,4.69,10.02,7.35,39
WBC,25,NORMA_q_age,4.18,10.03,7.11,41
WBC,30,NORMA_q_age,4.7,10.22,7.46,57
WBC,35,NORMA_q_age,5.0,10.42,7.71,72
WBC,40,NORMA_q_age,4.63,10.17,7.4,101
WBC,45,NORMA_q_age,4.76,10.69,7.72,99
WBC,50,NORMA_q_age,4.57,10.1,7.33,169
WBC,55,NORMA_q_age,4.39,10.3,7.34,229
WBC,60,NORMA_q_age,4.53,10.3,7.42,260
WBC,65,NORMA_q_age,4.71,10.32,7.52,262
WBC,70,NORMA_q_age,4.77,10.24,7.5,277
WBC,75,NORMA_q_age,4.84,10.31,7.57,225
WBC,80,NORMA_q_age,4.38,10.57,7.47,128
WBC,85,NORMA_q_age,4.84,10.5,7.67,38
WBC,20,NORMA_q_age_set_co,4.81,10.13,7.47,39
WBC,25,NORMA_q_age_set_co,4.48,10.09,7.28,41
WBC,30,NORMA_q_age_set_co,4.76,10.37,7.57,57
WBC,35,NORMA_q_age_set_co,5.11,10.53,7.82,72
WBC,40,NORMA_q_age_set_co,5.06,10.15,7.6,101
WBC,45,NORMA_q_age_set_co,5.17,10.66,7.92,99
WBC,50,NORMA_q_age_set_co,4.83,10.17,7.5,169
WBC,55,NORMA_q_age_set_co,4.69,10.34,7.52,229
WBC,60,NORMA_q_age_set_co,4.76,10.39,7.58,260
WBC,65,NORMA_q_age_set_co,4.83,10.31,7.57,262
WBC,70,NORMA_q_age_set_co,4.85,10.3,7.58,277
WBC,75,NORMA_q_age_set_co,4.92,10.48,7.7,225
WBC,80,NORMA_q_age_set_co,4.7,10.54,7.62,128
WBC,85,NORMA_q_age_set_co,5.2,10.58,7.89,38
