method,state,analyte,n,coverage95,width_rel,inside_pop,n_analytes
PopRI,all,WBC,214523,0.5824,1.0,1.0,
PerRI,high,ALP,14524,0.4442,0.6136,0.4743,
PerRI,high,ALT,13268,0.4075,0.8219,0.3831,
PerRI,high,AST,13031,0.4637,0.9874,0.2903,
PerRI,high,BUN,126256,0.5699,1.6811,0.128,
PerRI,high,CA,1045,0.311,1.0181,0.6609,
PerRI,high,CL,68884,0.6531,1.227,0.2928,
PerRI,high,CO2,116368,0.5275,1.8061,0.3506,
PerRI,high,CRE,62706,0.6802,1.4401,0.0998,
PerRI,high,DBIL,1815,0.6656,3.8545,0.0,
PerRI,high,GLU,847762,0.8157,3.4362,0.1334,
PerRI,high,HCT,154,0.3636,0.7035,0.7845,
PerRI,high,HGB,60,0.25,0.4119,0.8477,
PerRI,high,K,10722,0.3921,1.0485,0.7113,
PerRI,high,MCH,21229,0.701,0.3621,0.0,
PerRI,high,MCHC,378,0.4286,0.7313,0.823,
PerRI,high,MCV,19266,0.5887,0.2632,0.3158,
PerRI,high,NA,22064,0.5137,1.1643,0.5292,
PerRI,high,PLT,3045,0.1796,0.4756,0.9346,
PerRI,high,RBC,296,0.5878,0.738,0.6541,
PerRI,high,RDW,143680,0.6055,0.2898,0.0,
PerRI,high,TBIL,6673,0.5877,1.249,0.3637,
PerRI,high,TGL,339,0.4602,0.6288,0.12,
PerRI,high,TP,879,0.3993,0.9794,0.6326,
PerRI,high,WBC,76280,0.6232,1.2314,0.3023,
PerRI,low,ALB,69030,0.7591,0.4467,0.0,
PerRI,low,ALP,186,0.5054,0.1619,0.5206,
PerRI,low,ALT,2970,0.6327,0.2753,0.5602,
PerRI,low,AST,1266,0.6477,0.3714,0.6927,
PerRI,low,BUN,19698,0.602,0.7597,0.453,
PerRI,low,CA,138820,0.789,0.8194,0.1173,
PerRI,low,CL,43667,0.5537,1.2566,0.4139,
PerRI,low,CO2,75898,0.6842,1.5699,0.2923,
PerRI,low,CRE,44621,0.8418,0.6128,0.3723,
PerRI,low,DBIL,381,0.9764,0.0,0.0851,
PerRI,low,GLU,19941,0.4312,4.427,0.1513,
PerRI,low,HCT,256361,0.7109,0.9599,0.0,
PerRI,low,HDL,29,0.4138,0.1606,0.0,
PerRI,low,HGB,260837,0.742,0.7417,0.0,
PerRI,low,K,42680,0.7034,0.964,0.6294,
PerRI,low,MCH,38019,0.7037,0.337,0.0,
PerRI,low,MCHC,124070,0.7187,0.6958,0.1999,
PerRI,low,MCV,5859,0.6206,0.1638,0.0924,
PerRI,low,NA,72940,0.6211,0.9491,0.4413,
PerRI,low,PLT,59891,0.5967,0.2033,0.0,
PerRI,low,RBC,206724,0.7831,0.8104,0.0,
PerRI,low,TBIL,4092,0.7991,0.4537,0.5295,
PerRI,low,TC,45,0.6222,0.1824,0.001,
PerRI,low,TP,31767,0.7237,0.6567,0.0245,
PerRI,low,WBC,13297,0.6507,0.6374,0.4252,
