analyte,outcome,method,anchor,n_patients,n_events,n_nonevents,meas_flag_rate,alerts_per_100_patient_days,nonevents_flagged_frac,events_flagged_frac,events_flagged_before_frac,median_lead_h,iqr25_lead_h,iqr75_lead_h,median_lead_h_early,iqr25_lead_h_early,iqr75_lead_h_early,median_lead_tests_early,median_lead_tests,median_tests_per_day,detected_0h_before,detected_6h_before,detected_12h_before,detected_24h_before,detected_48h_before,detected_72h_before,median_lead_h_low_intensity,detected_24h_low_intensity,median_lead_h_mid_intensity,detected_24h_mid_intensity,median_lead_h_high_intensity,detected_24h_high_intensity,lm_n,lm_events,lm_tp,lm_fp,rr_landmark,direction,window_hours,age_band,n_early,n_24h,n_nonevents_flagged,target_rate
ALB,pop_abnormal,PerRI,early_sens,2014.0,1107,907,0.3373352855051244,32.77751114348045,0.3384785005512679,0.5356820234869015,0.050587172538392,0.0,0.0,0.0,24.366666666666656,23.354166666666675,47.97083333333339,0.0,0.0,1.0082621679307395,0.5356820234869015,0.049683830171635,0.04516711833785,0.028906955736224,0.012646793134598,0.004516711833785,0.0,0.0485436893203883,0.0,0.0303951367781155,0.0,0.0149253731343283,1191.0,284.0,52.0,255.0,0.7103271092352158,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,PerRI,native,2014.0,1107,907,0.0866764275256222,8.421999391033172,0.0970231532524807,0.1391147244805781,0.010840108401084,0.0,0.0,0.0,24.76666666666668,24.35416666666668,52.14583333333336,0.0,0.0,1.0082621679307395,0.1391147244805781,0.010840108401084,0.010840108401084,0.00903342366757,0.003613369467028,0.0,0.0,0.0194174757281553,0.0,0.0060790273556231,0.0,0.0042643923240938,1191.0,284.0,9.0,53.0,0.6087573830077239,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,Cohen_m2,soc_rate,2014.0,1107,907,0.330307467057101,32.09464632799128,0.4421168687982359,0.3188798554652213,0.069557362240289,0.0,0.0,0.0,24.700000000000045,11.333333333333345,51.2166666666667,1.0,0.0,1.0082621679307395,0.3188798554652213,0.059620596205962,0.049683830171635,0.038843721770551,0.021680216802168,0.007226738934056,0.0,0.0258899676375404,0.0,0.0395136778115501,0.0,0.0469083155650319,1191.0,284.0,65.0,298.0,0.7509312070771739,any,168.0,all,,,,all
ALB,pop_abnormal,Cohen_m2,native,2014.0,1107,907,0.2489019033674963,24.184795548574986,0.3340683572216097,0.2402890695573622,0.047877145438121,0.0,0.0,0.0,25.983333333333235,9.666666666666655,60.46666666666664,1.0,0.0,1.0082621679307395,0.2402890695573622,0.039747064137308,0.032520325203252,0.026196928635953,0.016260162601626,0.007226738934056,0.0,0.0161812297734627,0.0,0.0273556231003039,0.0,0.0319829424307036,1191.0,284.0,43.0,216.0,0.6962450377943336,any,168.0,all,,,,all
ALB,pop_abnormal,Cohen_m2,soc_rate,2014.0,1107,907,0.330307467057101,32.09464632799128,0.2579933847850055,0.6630532971996387,0.024390243902439,0.0,0.0,0.0,24.5,21.958333333333343,46.60833333333335,0.0,0.0,1.0082621679307395,0.6630532971996387,0.024390243902439,0.021680216802168,0.012646793134598,0.006323396567299,0.002710027100271,0.0,0.0323624595469255,0.0,0.0060790273556231,0.0,0.0042643923240938,1191.0,284.0,24.0,189.0,0.4725252926006745,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,Cohen_m2,native,2014.0,1107,907,0.1071742313323572,10.413688436209934,0.093715545755237,0.2095754290876242,0.006323396567299,0.0,0.0,0.0,51.2166666666667,20.03333333333336,57.25833333333336,0.0,0.0,1.0082621679307395,0.2095754290876242,0.006323396567299,0.005420054200542,0.004516711833785,0.003613369467028,0.000903342366757,0.0,0.0097087378640776,0.0,0.0030395136778115,0.0,0.0021321961620469,1191.0,284.0,6.0,55.0,0.4124913414915724,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,Cohen_m3,soc_rate,2014.0,1107,907,0.330307467057101,32.09464632799128,0.3076074972436604,0.5636856368563685,0.037940379403794,0.0,0.0,0.0,30.90833333333336,13.099999999999987,54.116666666666674,1.0,0.0,1.0082621679307395,0.5636856368563685,0.031616982836495,0.028906955736224,0.020776874435411,0.012646793134598,0.006323396567299,0.0,0.0097087378640776,0.0,0.0182370820668693,0.0,0.0298507462686567,1191.0,284.0,32.0,198.0,0.5834660134721372,any,168.0,all,,,,all
ALB,pop_abnormal,Cohen_m3,native,2014.0,1107,907,0.339385065885798,32.97668004799813,0.3186328555678059,0.5772357723577236,0.038843721770551,0.0,0.0,0.0,29.58333333333337,13.149999999999991,53.3,1.0,0.0,1.0082621679307395,0.5772357723577236,0.032520325203252,0.029810298102981,0.021680216802168,0.012646793134598,0.006323396567299,0.0,0.0097087378640776,0.0,0.0212765957446808,0.0,0.0298507462686567,1191.0,284.0,33.0,207.0,0.5766285211267607,any,168.0,all,,,,all
ALB,pop_abnormal,Cohen_m3,soc_rate,2014.0,1107,907,0.330307467057101,32.09464632799128,0.1786108048511576,0.7570009033423668,0.028906955736224,0.0,0.0,0.0,24.500000000000043,15.520833333333352,48.0,0.0,0.0,1.0082621679307395,0.7570009033423668,0.026196928635953,0.023486901535682,0.017163504968383,0.008130081300813,0.001806684733514,0.0,0.0323624595469255,0.0,0.0151975683890577,0.0,0.0085287846481876,1191.0,284.0,26.0,120.0,0.7468165155315454,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,Cohen_m3,early_sens,2014.0,1107,907,0.3967789165446559,38.55340937449306,0.2524807056229327,0.8509485094850948,0.050587172538392,0.0,0.0,0.0,24.500000000000043,21.09166666666668,48.0,0.0,0.0,1.0082621679307395,0.8509485094850948,0.046973803071364,0.042457091237579,0.032520325203252,0.013550135501355,0.004516711833785,0.0,0.0453074433656957,0.0,0.0425531914893617,0.0,0.0170575692963752,1191.0,284.0,48.0,172.0,0.9149807938540332,toward_bound,168.0,all,,,,all
