subset,analyte,method,outcome,exposure,encoding,n,n_events,level,HR,HR_lower,HR_upper,p_value,p_fdr
all,ALP,PerRI,mortality,first,category,15806,2047,high,1.151,1.047,1.265,0.00352,0.0063937688530132
all,ALP,Cohen_m2,mortality,first,binary,15806,2047,abnormal,1.102,1.008,1.206,0.0335,0.0463896216706565
all,ALP,Cohen_m2,mortality,first,z,15806,2047,z,1.064,1.021,1.109,0.00344,0.0044385592152968
all,ALP,Cohen_m2,mortality,first,category,15806,2047,low,0.962,0.747,1.24,0.76512,0.7850151568841548
all,ALP,Cohen_m2,mortality,first,category,15806,2047,high,1.117,1.018,1.225,0.01893,0.0308708622038504
all,ALP,Cohen_m3,mortality,first,binary,15806,2047,abnormal,1.197,1.095,1.309,8e-05,0.0001280570330869
all,ALP,Cohen_m3,mortality,first,z,15806,2047,z,1.066,1.004,1.132,0.03596,0.0429913143465757
all,ALP,Cohen_m3,mortality,first,category,15806,2047,low,1.203,1.082,1.338,0.00066,0.0013376511691705
all,ALP,Cohen_m3,mortality,first,category,15806,2047,high,1.192,1.074,1.323,0.00098,0.001954344227679
all,ALP,Cohen_m4,mortality,first,binary,15806,2047,abnormal,1.154,1.057,1.259,0.00133,0.0020478713854428
all,ALP,Cohen_m4,mortality,first,z,15806,2047,z,1.004,0.928,1.087,0.9133,0.9312083635508543
all,ALP,Cohen_m4,mortality,first,category,15806,2047,low,1.163,1.037,1.304,0.00985,0.0170432535622412
all,ALP,Cohen_m4,mortality,first,category,15806,2047,high,1.148,1.038,1.268,0.00696,0.0123296025268733
all,ALP,Gaussian_mle,mortality,first,binary,15786,2043,abnormal,1.178,1.079,1.286,0.00026,0.0004240086327602
all,ALP,Gaussian_mle,mortality,first,z,15786,2043,z,1.032,1.008,1.058,0.0099,0.0124016377037903
all,ALP,Gaussian_mle,mortality,first,category,15786,2043,low,1.433,1.168,1.757,0.00057,0.0011615229465708
all,ALP,Gaussian_mle,mortality,first,category,15786,2043,high,1.152,1.051,1.261,0.00241,0.0045324505151155
all,ALP,Gaussian_trunc,mortality,first,binary,15786,2043,abnormal,1.173,1.075,1.28,0.00033,0.0005363997581126
all,ALP,Gaussian_trunc,mortality,first,z,15786,2043,z,1.035,1.012,1.058,0.00295,0.0038524357053759
all,ALP,Gaussian_trunc,mortality,first,category,15786,2043,low,1.212,1.025,1.433,0.02454,0.0386321153372261
all,ALP,Gaussian_trunc,mortality,first,category,15786,2043,high,1.166,1.064,1.278,0.00103,0.0020401339175218
all,ALP,Gaussian_eb,mortality,first,binary,15806,2047,abnormal,1.158,1.06,1.266,0.0012,0.001858085912917
