subset,analyte,method,outcome,exposure,encoding,n,n_events,level,HR,HR_lower,HR_upper,p_value,p_fdr
all,GLU,NORMA_q_age_set,mortality,first,category,105389,9509,high,1.389,1.31,1.472,0.0,7.097949487181382e-28
all,GLU,NORMA_334f7e21,mortality,first,binary,105389,9509,abnormal,1.422,1.342,1.506,0.0,9.651045175622484e-33
all,GLU,NORMA_334f7e21,mortality,first,z,105389,9509,z,1.038,1.027,1.049,0.0,1.7273062096788192e-11
all,GLU,NORMA_334f7e21,mortality,first,category,105389,9509,low,2.85,2.544,3.192,0.0,2.67638372239268e-72
all,GLU,NORMA_334f7e21,mortality,first,category,105389,9509,high,1.387,1.309,1.469,0.0,4.194418092560522e-28
all,GLU,NORMA_q_age,mortality,first,binary,105389,9509,abnormal,1.41,1.33,1.494,0.0,1.1077036992169905e-30
all,GLU,NORMA_q_age,mortality,first,z,105389,9509,z,1.031,1.02,1.042,0.0,3.04945705469775e-08
all,GLU,NORMA_q_age,mortality,first,category,105389,9509,low,3.005,2.678,3.371,0.0,1.8281199819989653e-77
all,GLU,NORMA_q_age,mortality,first,category,105389,9509,high,1.374,1.297,1.457,0.0,3.77770954180545e-26
all,GLU,NORMA_q_age_set_co,mortality,first,binary,105389,9509,abnormal,1.429,1.348,1.514,0.0,9.721546112391043e-33
all,GLU,NORMA_q_age_set_co,mortality,first,z,105389,9509,z,1.033,1.023,1.044,0.0,8.569038707129365e-11
all,GLU,NORMA_q_age_set_co,mortality,first,category,105389,9509,low,2.365,2.126,2.631,0.0,1.0373050257395522e-55
all,GLU,NORMA_q_age_set_co,mortality,first,category,105389,9509,high,1.396,1.316,1.48,0.0,2.3649397839123474e-28
all,HCT,PopRI,mortality,first,binary,71097,6678,abnormal,1.068,0.957,1.192,0.24268,0.2845269952661684
all,HCT,PopRI,mortality,first,z,71097,6678,z,1.123,1.1,1.147,0.0,6.476979720879188e-27
all,HCT,PopRI,mortality,first,category,71097,6678,low,1.068,0.956,1.192,0.24377,0.2915438647594808
all,HCT,PopRI,mortality,first,category,71097,6678,high,1.258,0.469,3.373,0.64786,0.6836563694241328
all,HCT,PerRI,mortality,first,binary,71096,6678,abnormal,1.193,1.03,1.381,0.01859,0.0267041094267103
all,HCT,PerRI,mortality,first,z,71096,6678,z,1.104,1.09,1.118,0.0,2.6582794028928184e-51
all,HCT,PerRI,mortality,first,category,71096,6678,low,1.205,1.04,1.395,0.01303,0.0220366460485634
all,HCT,PerRI,mortality,first,category,71096,6678,high,1.11,0.945,1.304,0.20498,0.2507230467440539
all,HCT,Cohen_m2,mortality,first,binary,71097,6678,abnormal,1.058,0.945,1.183,0.32737,0.3696462051634351
all,HCT,Cohen_m2,mortality,first,z,71097,6678,z,1.163,1.132,1.194,0.0,8.375144962605361e-28
all,HCT,Cohen_m2,mortality,first,category,71097,6678,low,1.058,0.946,1.184,0.32259,0.3722646914115724
all,HCT,Cohen_m2,mortality,first,category,71097,6678,high,0.857,0.518,1.416,0.54639,0.5859829469046596
all,HCT,Cohen_m3,mortality,first,binary,71097,6678,abnormal,1.081,0.964,1.213,0.18313,0.2223702690639612
all,HCT,Cohen_m3,mortality,first,z,71097,6678,z,1.165,1.137,1.195,0.0,7.90483915299035e-34
all,HCT,Cohen_m3,mortality,first,category,71097,6678,low,1.082,0.964,1.214,0.18019,0.2250448151686694
all,HCT,Cohen_m3,mortality,first,category,71097,6678,high,0.934,0.616,1.417,0.74943,0.770242875055245
all,HCT,Cohen_m4,mortality,first,binary,71097,6678,abnormal,1.066,0.945,1.203,0.29537,0.3397859335113391
all,HCT,Cohen_m4,mortality,first,z,71097,6678,z,1.178,1.149,1.208,0.0,4.28883993869359e-37
all,HCT,Cohen_m4,mortality,first,category,71097,6678,low,1.068,0.947,1.205,0.28169,0.3308770749246654
all,HCT,Cohen_m4,mortality,first,category,71097,6678,high,0.878,0.663,1.164,0.36527,0.4148503066730989
all,HCT,Gaussian_mle,mortality,first,binary,70921,6665,abnormal,1.106,0.983,1.245,0.09462,0.1242664046173093
all,HCT,Gaussian_mle,mortality,first,z,70921,6665,z,1.045,1.031,1.059,0.0,3.5383880097644444e-10
all,HCT,Gaussian_mle,mortality,first,category,70921,6665,low,1.105,0.982,1.244,0.09724,0.1293572504316074
all,HCT,Gaussian_mle,mortality,first,category,70921,6665,high,1.265,0.873,1.834,0.21357,0.2596213015294871
all,HCT,Gaussian_trunc,mortality,first,binary,70921,6665,abnormal,1.047,0.922,1.189,0.47553,0.523426395937256
all,HCT,Gaussian_trunc,mortality,first,z,70921,6665,z,1.046,1.032,1.059,0.0,1.9594213027348678e-11
all,HCT,Gaussian_trunc,mortality,first,category,70921,6665,low,1.055,0.929,1.198,0.4123,0.459661328615701
all,HCT,Gaussian_trunc,mortality,first,category,70921,6665,high,0.874,0.72,1.061,0.17265,0.2165386260363071
all,HCT,Gaussian_eb,mortality,first,binary,71097,6678,abnormal,1.118,0.996,1.255,0.05865,0.0787150588296786
all,HCT,Gaussian_eb,mortality,first,z,71097,6678,z,1.112,1.09,1.134,0.0,1.2858784760514156e-25
all,HCT,Gaussian_eb,mortality,first,category,71097,6678,low,1.119,0.996,1.256,0.05758,0.0821668829764103
all,HCT,Gaussian_eb,mortality,first,category,71097,6678,high,0.931,0.523,1.659,0.80908,0.8252464253715144
all,HCT,NORMA_q_age_set,mortality,first,binary,71097,6678,abnormal,1.088,0.972,1.218,0.14102,0.17905121011557
all,HCT,NORMA_q_age_set,mortality,first,z,71097,6678,z,1.242,1.189,1.298,0.0,9.996676174033466e-22
all,HCT,NORMA_q_age_set,mortality,first,category,71097,6678,low,1.087,0.972,1.217,0.14502,0.1846286530788496
all,HCT,NORMA_q_age_set,mortality,first,category,71097,6678,high,1.507,0.898,2.529,0.12042,0.1567576125243005
all,HCT,NORMA_334f7e21,mortality,first,binary,71097,6678,abnormal,1.095,0.978,1.226,0.11546,0.1484539680189845
all,HCT,NORMA_334f7e21,mortality,first,z,71097,6678,z,1.173,1.122,1.226,0.0,2.550152680786689e-12
all,HCT,NORMA_334f7e21,mortality,first,category,71097,6678,low,1.094,0.977,1.226,0.11814,0.1543898923222045
all,HCT,NORMA_334f7e21,mortality,first,category,71097,6678,high,1.379,0.835,2.279,0.20984,0.2556129562932109
all,HCT,NORMA_q_age,mortality,first,binary,71097,6678,abnormal,1.097,0.979,1.228,0.1109,0.1440256629264463
all,HCT,NORMA_q_age,mortality,first,z,71097,6678,z,1.273,1.218,1.33,0.0,2.197515748964596e-26
all,HCT,NORMA_q_age,mortality,first,category,71097,6678,low,1.096,0.979,1.228,0.11187,0.1474956556190192
all,HCT,NORMA_q_age,mortality,first,category,71097,6678,high,1.203,0.704,2.054,0.49908,0.5401400894054681
all,HCT,NORMA_q_age_set_co,mortality,first,binary,71097,6678,abnormal,1.086,0.967,1.221,0.16386,0.2021812709079901
all,HCT,NORMA_q_age_set_co,mortality,first,z,71097,6678,z,1.142,1.103,1.182,0.0,5.3879259878857484e-14
all,HCT,NORMA_q_age_set_co,mortality,first,category,71097,6678,low,1.086,0.966,1.22,0.16723,0.2101917458313837
all,HCT,NORMA_q_age_set_co,mortality,first,category,71097,6678,high,1.335,0.83,2.149,0.2336,0.2805038464213459
all,HGB,PopRI,mortality,first,binary,71423,6801,abnormal,1.059,0.952,1.177,0.2894,0.3341801080865517
all,HGB,PopRI,mortality,first,z,71423,6801,z,1.159,1.127,1.193,0.0,1.2422435033049678e-23
all,HGB,PopRI,mortality,first,category,71423,6801,low,1.058,0.952,1.177,0.29362,0.3421709956727916
all,HGB,PopRI,mortality,first,category,71423,6801,high,3.058,0.982,9.526,0.05384,0.077361806256737
all,HGB,PerRI,mortality,first,binary,71423,6801,abnormal,1.17,1.025,1.337,0.02048,0.0291488496504512
all,HGB,PerRI,mortality,first,z,71423,6801,z,1.111,1.095,1.127,0.0,2.5670695106995567e-46
all,HGB,PerRI,mortality,first,category,71423,6801,low,1.18,1.033,1.349,0.01474,0.0246098318346498
all,HGB,PerRI,mortality,first,category,71423,6801,high,1.09,0.936,1.268,0.26737,0.3159391690274002
all,HGB,Cohen_m2,mortality,first,binary,71423,6801,abnormal,1.072,0.96,1.197,0.21879,0.2605056834546896
all,HGB,Cohen_m2,mortality,first,z,71423,6801,z,1.243,1.202,1.285,0.0,1.700994887761188e-36
all,HGB,Cohen_m2,mortality,first,category,71423,6801,low,1.072,0.96,1.197,0.21817,0.2641200381506124
all,HGB,Cohen_m2,mortality,first,category,71423,6801,high,1.046,0.719,1.52,0.81561,0.8296259329555411
all,HGB,Cohen_m3,mortality,first,binary,71423,6801,abnormal,1.065,0.954,1.188,0.2606,0.3043643452047132
all,HGB,Cohen_m3,mortality,first,z,71423,6801,z,1.222,1.18,1.266,0.0,2.0121667524333542e-28
all,HGB,Cohen_m3,mortality,first,category,71423,6801,low,1.065,0.954,1.189,0.26058,0.3085324980188363
all,HGB,Cohen_m3,mortality,first,category,71423,6801,high,1.063,0.708,1.596,0.76862,0.7872402835741651
all,HGB,Cohen_m4,mortality,first,binary,71423,6801,abnormal,1.055,0.946,1.176,0.33586,0.3750807465156004
all,HGB,Cohen_m4,mortality,first,z,71423,6801,z,1.25,1.203,1.297,0.0,7.805627291054251e-31
all,HGB,Cohen_m4,mortality,first,category,71423,6801,low,1.055,0.946,1.176,0.33542,0.3848215468150311
all,HGB,Cohen_m4,mortality,first,category,71423,6801,high,1.036,0.673,1.595,0.87196,0.8823964229912105
all,HGB,Gaussian_mle,mortality,first,binary,71083,6779,abnormal,1.101,0.983,1.234,0.09683,0.1266255020762328
all,HGB,Gaussian_mle,mortality,first,z,71083,6779,z,1.033,1.018,1.048,1e-05,1.916674903265144e-05
all,HGB,Gaussian_mle,mortality,first,category,71083,6779,low,1.103,0.984,1.236,0.09189,0.1230744383821921
all,HGB,Gaussian_mle,mortality,first,category,71083,6779,high,0.771,0.473,1.256,0.29632,0.3446406829148969
all,HGB,Gaussian_trunc,mortality,first,binary,71083,6779,abnormal,1.034,0.915,1.168,0.59562,0.6272408140291184
all,HGB,Gaussian_trunc,mortality,first,z,71083,6779,z,1.033,1.019,1.048,0.0,6.090948904897019e-06
all,HGB,Gaussian_trunc,mortality,first,category,71083,6779,low,1.051,0.93,1.188,0.42778,0.4730073636804752
all,HGB,Gaussian_trunc,mortality,first,category,71083,6779,high,0.745,0.623,0.892,0.00137,0.0026724935043718
all,HGB,Gaussian_eb,mortality,first,binary,71423,6801,abnormal,1.101,0.984,1.231,0.09207,0.1219585460561613
all,HGB,Gaussian_eb,mortality,first,z,71423,6801,z,1.093,1.068,1.118,0.0,2.7966354746179964e-14
all,HGB,Gaussian_eb,mortality,first,category,71423,6801,low,1.1,0.984,1.23,0.09437,0.1258228886176652
all,HGB,Gaussian_eb,mortality,first,category,71423,6801,high,1.408,0.839,2.363,0.19469,0.2406200888692858
all,HGB,NORMA_q_age_set,mortality,first,binary,71423,6801,abnormal,1.092,0.979,1.218,0.11381,0.1469474335812971
all,HGB,NORMA_q_age_set,mortality,first,z,71423,6801,z,1.235,1.182,1.291,0.0,1.384697774659891e-20
all,HGB,NORMA_q_age_set,mortality,first,category,71423,6801,low,1.09,0.978,1.216,0.12048,0.1567576125243005
all,HGB,NORMA_q_age_set,mortality,first,category,71423,6801,high,2.093,1.286,3.406,0.00295,0.0054776669669812
all,HGB,NORMA_334f7e21,mortality,first,binary,71423,6801,abnormal,1.098,0.984,1.226,0.0938,0.1237212682908885
all,HGB,NORMA_334f7e21,mortality,first,z,71423,6801,z,1.181,1.129,1.235,0.0,6.516848196479623e-13
all,HGB,NORMA_334f7e21,mortality,first,category,71423,6801,low,1.097,0.983,1.224,0.09901,0.131417143555816
all,HGB,NORMA_334f7e21,mortality,first,category,71423,6801,high,1.899,1.182,3.05,0.00804,0.0139923544462037
all,HGB,NORMA_q_age,mortality,first,binary,71423,6801,abnormal,1.085,0.973,1.21,0.1434,0.1805833227344633
all,HGB,NORMA_q_age,mortality,first,z,71423,6801,z,1.289,1.231,1.35,0.0,6.612625359769916e-27
all,HGB,NORMA_q_age,mortality,first,category,71423,6801,low,1.084,0.972,1.209,0.14838,0.188101382470671
all,HGB,NORMA_q_age,mortality,first,category,71423,6801,high,1.639,0.978,2.749,0.06091,0.086065408941142
all,HGB,NORMA_q_age_set_co,mortality,first,binary,71423,6801,abnormal,1.088,0.972,1.219,0.14201,0.1795628753792245
all,HGB,NORMA_q_age_set_co,mortality,first,z,71423,6801,z,1.192,1.149,1.237,0.0,1.8372253030037914e-20
all,HGB,NORMA_q_age_set_co,mortality,first,category,71423,6801,low,1.087,0.971,1.218,0.14749,0.1873694440052839
all,HGB,NORMA_q_age_set_co,mortality,first,category,71423,6801,high,1.554,0.978,2.469,0.06183,0.0867408193935822
all,K,PopRI,mortality,first,binary,79066,7328,abnormal,1.387,1.312,1.465,0.0,6.16217606501296e-31
all,K,PopRI,mortality,first,z,79066,7328,z,1.359,1.294,1.428,0.0,2.4747463471297833e-34
all,K,PopRI,mortality,first,category,79066,7328,low,1.188,1.115,1.266,0.0,2.3335101196919974e-07
all,K,PopRI,mortality,first,category,79066,7328,high,2.297,2.093,2.52,0.0,2.8111684341937207e-68
all,K,PerRI,mortality,first,binary,79066,7328,abnormal,1.385,1.32,1.452,0.0,1.2092385972752858e-40
all,K,PerRI,mortality,first,z,79066,7328,z,1.157,1.136,1.178,0.0,1.4898490638541075e-54
all,K,PerRI,mortality,first,category,79066,7328,low,1.242,1.172,1.317,0.0,7.782306221262808e-13
all,K,PerRI,mortality,first,category,79066,7328,high,1.616,1.517,1.722,0.0,3.446003873052598e-49
all,K,Cohen_m2,mortality,first,binary,79066,7328,abnormal,1.313,1.253,1.377,0.0,4.2330925150632464e-29
all,K,Cohen_m2,mortality,first,z,79066,7328,z,1.283,1.234,1.333,0.0,1.1886197021527822e-36
all,K,Cohen_m2,mortality,first,category,79066,7328,low,1.165,1.103,1.23,0.0,1.0917034542314357e-07
all,K,Cohen_m2,mortality,first,category,79066,7328,high,1.744,1.625,1.871,0.0,3.1747077834634803e-53
all,K,Cohen_m3,mortality,first,binary,79066,7328,abnormal,1.348,1.282,1.417,0.0,1.995650783254505e-31
all,K,Cohen_m3,mortality,first,z,79066,7328,z,1.32,1.26,1.384,0.0,1.1046512210659914e-30
all,K,Cohen_m3,mortality,first,category,79066,7328,low,1.165,1.101,1.232,0.0,3.056924278120504e-07
all,K,Cohen_m3,mortality,first,category,79066,7328,high,2.184,2.013,2.37,0.0,1.6844157090214146e-77
all,K,Cohen_m4,mortality,first,binary,79066,7328,abnormal,1.296,1.237,1.358,0.0,3.133870601595876e-27
all,K,Cohen_m4,mortality,first,z,79066,7328,z,1.261,1.219,1.304,0.0,1.1188327126487987e-40
all,K,Cohen_m4,mortality,first,category,79066,7328,low,1.176,1.117,1.239,0.0,2.69336884868003e-09
all,K,Cohen_m4,mortality,first,category,79066,7328,high,1.718,1.597,1.847,0.0,2.171213576859144e-47
all,K,Gaussian_mle,mortality,first,binary,78796,7297,abnormal,1.395,1.328,1.466,0.0,5.103845589379763e-39
all,K,Gaussian_mle,mortality,first,z,78796,7297,z,1.26,1.228,1.294,0.0,2.014950809575933e-66
all,K,Gaussian_mle,mortality,first,category,78796,7297,low,1.239,1.167,1.315,0.0,4.888826882580182e-12
all,K,Gaussian_mle,mortality,first,category,78796,7297,high,1.736,1.617,1.865,0.0,4.202043077490783e-51
all,K,Gaussian_trunc,mortality,first,binary,78796,7297,abnormal,1.306,1.248,1.368,0.0,1.3737758903912444e-29
all,K,Gaussian_trunc,mortality,first,z,78796,7297,z,1.07,1.052,1.088,0.0,1.6865943997859249e-15
all,K,Gaussian_trunc,mortality,first,category,78796,7297,low,1.415,1.33,1.507,0.0,5.259709026786925e-27
all,K,Gaussian_trunc,mortality,first,category,78796,7297,high,1.246,1.182,1.314,0.0,1.3813583788843948e-15
all,K,Gaussian_eb,mortality,first,binary,79066,7328,abnormal,1.381,1.311,1.454,0.0,3.910630476412053e-34
all,K,Gaussian_eb,mortality,first,z,79066,7328,z,1.443,1.375,1.513,0.0,6.67172582456063e-51
all,K,Gaussian_eb,mortality,first,category,79066,7328,low,1.212,1.141,1.288,0.0,1.5390197018674744e-09
all,K,Gaussian_eb,mortality,first,category,79066,7328,high,1.861,1.72,2.014,0.0,7.777124161910907e-53
all,K,NORMA_q_age_set,mortality,first,binary,79066,7328,abnormal,1.364,1.295,1.437,0.0,3.4950076171594594e-31
all,K,NORMA_q_age_set,mortality,first,z,79066,7328,z,1.284,1.227,1.344,0.0,2.3809074331855648e-26
all,K,NORMA_q_age_set,mortality,first,category,79066,7328,low,1.192,1.121,1.267,0.0,5.756106573785593e-08
all,K,NORMA_q_age_set,mortality,first,category,79066,7328,high,1.864,1.721,2.02,0.0,8.222177938409009e-52
all,K,NORMA_334f7e21,mortality,first,binary,79066,7328,abnormal,1.368,1.299,1.44,0.0,2.481201355697267e-32
all,K,NORMA_334f7e21,mortality,first,z,79066,7328,z,1.288,1.232,1.347,0.0,1.3851029060024123e-28
all,K,NORMA_334f7e21,mortality,first,category,79066,7328,low,1.195,1.125,1.27,0.0,2.116562938047307e-08
all,K,NORMA_334f7e21,mortality,first,category,79066,7328,high,1.875,1.733,2.03,0.0,6.465422817601123e-54
all,K,NORMA_q_age,mortality,first,binary,79066,7328,abnormal,1.362,1.293,1.434,0.0,1.6156752687696943e-31
all,K,NORMA_q_age,mortality,first,z,79066,7328,z,1.278,1.222,1.337,0.0,1.4914543903277272e-26
all,K,NORMA_q_age,mortality,first,category,79066,7328,low,1.186,1.117,1.259,0.0,6.875099604510509e-08
all,K,NORMA_q_age,mortality,first,category,79066,7328,high,1.934,1.785,2.096,0.0,2.414919169331293e-57
all,K,NORMA_q_age_set_co,mortality,first,binary,79066,7328,abnormal,1.327,1.261,1.396,0.0,2.2043281692236837e-27
all,K,NORMA_q_age_set_co,mortality,first,z,79066,7328,z,1.222,1.172,1.274,0.0,8.018346955212837e-21
all,K,NORMA_q_age_set_co,mortality,first,category,79066,7328,low,1.159,1.092,1.229,0.0,2.296489884260832e-06
all,K,NORMA_q_age_set_co,mortality,first,category,79066,7328,high,1.895,1.749,2.052,0.0,1.0763793089929075e-54
all,MCH,PopRI,mortality,first,binary,57165,5449,abnormal,1.107,1.046,1.173,0.00048,0.0007562949182911
all,MCH,PopRI,mortality,first,z,57165,5449,z,1.065,1.022,1.109,0.00246,0.0032290083871552
all,MCH,PopRI,mortality,first,category,57165,5449,low,1.034,0.965,1.108,0.34543,0.3940123175956518
all,MCH,PopRI,mortality,first,category,57165,5449,high,1.235,1.139,1.339,0.0,7.871989648159239e-07
all,MCH,PerRI,mortality,first,binary,56704,5395,abnormal,1.208,1.145,1.274,0.0,8.116301090873698e-12
all,MCH,PerRI,mortality,first,z,56704,5395,z,1.036,1.023,1.05,0.0,1.1516084253113355e-07
all,MCH,PerRI,mortality,first,category,56704,5395,low,1.145,1.075,1.219,2e-05,4.8588682952565726e-05
all,MCH,PerRI,mortality,first,category,56704,5395,high,1.305,1.218,1.398,0.0,1.2824529739065714e-13
all,MCH,Cohen_m2,mortality,first,binary,57165,5449,abnormal,1.096,1.036,1.16,0.00152,0.0023388705302546
all,MCH,Cohen_m2,mortality,first,z,57165,5449,z,1.049,0.988,1.115,0.11939,0.1395814711327754
all,MCH,Cohen_m2,mortality,first,category,57165,5449,low,1.031,0.962,1.104,0.38946,0.4366717803182589
all,MCH,Cohen_m2,mortality,first,category,57165,5449,high,1.208,1.115,1.309,0.0,8.409594530789465e-06
all,MCH,Cohen_m3,mortality,first,binary,57165,5449,abnormal,1.151,1.091,1.215,0.0,5.478797533327244e-07
all,MCH,Cohen_m3,mortality,first,z,57165,5449,z,1.038,0.993,1.086,0.0951,0.1119710620547213
all,MCH,Cohen_m3,mortality,first,category,57165,5449,low,1.121,1.054,1.191,0.00026,0.0005430449969012
all,MCH,Cohen_m3,mortality,first,category,57165,5449,high,1.218,1.125,1.319,0.0,3.01659150200334e-06
all,MCH,Cohen_m4,mortality,first,binary,57165,5449,abnormal,1.143,1.082,1.208,0.0,2.8262259494448136e-06
all,MCH,Cohen_m4,mortality,first,z,57165,5449,z,1.047,0.992,1.104,0.09383,0.1108935781399774
all,MCH,Cohen_m4,mortality,first,category,57165,5449,low,1.113,1.045,1.185,0.00085,0.0017079903704309
all,MCH,Cohen_m4,mortality,first,category,57165,5449,high,1.208,1.113,1.311,1e-05,1.3430348212266044e-05
all,MCH,Gaussian_mle,mortality,first,binary,55927,5310,abnormal,1.172,1.11,1.238,0.0,2.5025392199464933e-08
all,MCH,Gaussian_mle,mortality,first,z,55927,5310,z,1.037,1.014,1.061,0.00161,0.0021440036161315
all,MCH,Gaussian_mle,mortality,first,category,55927,5310,low,1.101,1.031,1.175,0.00405,0.0072846844384951
all,MCH,Gaussian_mle,mortality,first,category,55927,5310,high,1.292,1.199,1.392,0.0,4.600715819806503e-11
all,MCH,Gaussian_trunc,mortality,first,binary,55927,5310,abnormal,1.128,1.069,1.191,1e-05,1.992587124049564e-05
all,MCH,Gaussian_trunc,mortality,first,z,55927,5310,z,1.01,0.99,1.031,0.31906,0.3593745360037888
all,MCH,Gaussian_trunc,mortality,first,category,55927,5310,low,1.101,1.032,1.175,0.00353,0.0063937688530132
all,MCH,Gaussian_trunc,mortality,first,category,55927,5310,high,1.164,1.085,1.248,2e-05,4.591143874013936e-05
all,MCH,Gaussian_eb,mortality,first,binary,57165,5449,abnormal,1.129,1.069,1.194,2e-05,2.709096579613509e-05
all,MCH,Gaussian_eb,mortality,first,z,57165,5449,z,1.039,1.004,1.075,0.02709,0.0328914370868941
all,MCH,Gaussian_eb,mortality,first,category,57165,5449,low,1.062,0.993,1.135,0.07771,0.1055191489375336
all,MCH,Gaussian_eb,mortality,first,category,57165,5449,high,1.245,1.152,1.344,0.0,6.544505255290723e-08
all,MCH,NORMA_q_age_set,mortality,first,binary,57165,5449,abnormal,1.16,1.097,1.227,0.0,3.1106954156621974e-07
all,MCH,NORMA_q_age_set,mortality,first,z,57165,5449,z,1.092,1.042,1.143,0.0002,0.0002695533149208
all,MCH,NORMA_q_age_set,mortality,first,category,57165,5449,low,1.083,1.012,1.159,0.02057,0.0331827618627639
all,MCH,NORMA_q_age_set,mortality,first,category,57165,5449,high,1.288,1.192,1.391,0.0,3.82299301344825e-10
all,MCH,NORMA_334f7e21,mortality,first,binary,57165,5449,abnormal,1.144,1.082,1.21,0.0,4.32535984618122e-06
all,MCH,NORMA_334f7e21,mortality,first,z,57165,5449,z,1.105,1.059,1.152,0.0,4.782458874730964e-06
all,MCH,NORMA_334f7e21,mortality,first,category,57165,5449,low,1.076,1.006,1.151,0.03406,0.0509158637116333
all,MCH,NORMA_334f7e21,mortality,first,category,57165,5449,high,1.259,1.164,1.361,0.0,2.170651835509944e-08
all,MCH,NORMA_q_age,mortality,first,binary,57165,5449,abnormal,1.15,1.088,1.216,0.0,1.4665810147250064e-06
all,MCH,NORMA_q_age,mortality,first,z,57165,5449,z,1.106,1.059,1.155,0.0,6.692793022977345e-06
all,MCH,NORMA_q_age,mortality,first,category,57165,5449,low,1.076,1.006,1.151,0.03342,0.0501730407262337
all,MCH,NORMA_q_age,mortality,first,category,57165,5449,high,1.274,1.179,1.376,0.0,2.108403822817883e-09
all,MCH,NORMA_q_age_set_co,mortality,first,binary,57165,5449,abnormal,1.142,1.081,1.206,0.0,3.648040396745035e-06
all,MCH,NORMA_q_age_set_co,mortality,first,z,57165,5449,z,1.074,1.037,1.112,7e-05,9.438785651969422e-05
all,MCH,NORMA_q_age_set_co,mortality,first,category,57165,5449,low,1.085,1.016,1.158,0.01504,0.0249469338822346
all,MCH,NORMA_q_age_set_co,mortality,first,category,57165,5449,high,1.235,1.145,1.331,0.0,1.0803088044853457e-07
all,MCHC,PopRI,mortality,first,binary,61140,5781,abnormal,1.017,0.965,1.072,0.52081,0.5669450501643656
all,MCHC,PopRI,mortality,first,z,61140,5781,z,1.017,0.984,1.052,0.31119,0.3517833427391021
all,MCHC,PopRI,mortality,first,category,61140,5781,low,1.012,0.96,1.067,0.6522,0.6870131484260718
all,MCHC,PopRI,mortality,first,category,61140,5781,high,2.634,1.789,3.878,0.0,2.202963257497718e-06
all,MCHC,PerRI,mortality,first,binary,60968,5765,abnormal,1.147,1.084,1.214,0.0,3.508335842128696e-06
all,MCHC,PerRI,mortality,first,z,60968,5765,z,1.053,1.041,1.064,0.0,1.1412671874331583e-19
all,MCHC,PerRI,mortality,first,category,60968,5765,low,1.093,1.031,1.158,0.00299,0.0055277197778631
all,MCHC,PerRI,mortality,first,category,60968,5765,high,1.48,1.357,1.615,0.0,2.576169173356853e-18
all,MCHC,Cohen_m2,mortality,first,binary,61140,5781,abnormal,1.143,1.078,1.211,1e-05,1.1080328427164944e-05
all,MCHC,Cohen_m2,mortality,first,z,61140,5781,z,1.146,1.11,1.183,0.0,8.059979801623846e-17
all,MCHC,Cohen_m2,mortality,first,category,61140,5781,low,1.105,1.041,1.173,0.00108,0.002129880001795
all,MCHC,Cohen_m2,mortality,first,category,61140,5781,high,1.344,1.233,1.464,0.0,3.891856958186854e-11
all,MCHC,Cohen_m3,mortality,first,binary,61140,5781,abnormal,1.089,1.033,1.149,0.00173,0.0026471622396011
all,MCHC,Cohen_m3,mortality,first,z,61140,5781,z,1.145,1.103,1.189,0.0,3.764086951155981e-12
all,MCHC,Cohen_m3,mortality,first,category,61140,5781,low,1.059,1.003,1.118,0.03801,0.0562479964036215
all,MCHC,Cohen_m3,mortality,first,category,61140,5781,high,1.705,1.5,1.938,0.0,1.047692331348649e-15
all,MCHC,Cohen_m4,mortality,first,binary,61140,5781,abnormal,1.064,1.009,1.123,0.02248,0.0318450485331935
all,MCHC,Cohen_m4,mortality,first,z,61140,5781,z,1.138,1.098,1.18,0.0,4.743798514880715e-12
all,MCHC,Cohen_m4,mortality,first,category,61140,5781,low,1.044,0.988,1.102,0.12311,0.1598308472723168
all,MCHC,Cohen_m4,mortality,first,category,61140,5781,high,1.398,1.232,1.586,0.0,4.899212225654428e-07
all,MCHC,Gaussian_mle,mortality,first,binary,59433,5587,abnormal,1.071,1.015,1.131,0.01297,0.0189937414723409
all,MCHC,Gaussian_mle,mortality,first,z,59433,5587,z,1.012,0.995,1.029,0.16487,0.1898173070248227
all,MCHC,Gaussian_mle,mortality,first,category,59433,5587,low,1.051,0.994,1.11,0.07881,0.1066211041680255
all,MCHC,Gaussian_mle,mortality,first,category,59433,5587,high,1.567,1.355,1.811,0.0,3.3011000710169766e-09
all,MCHC,Gaussian_trunc,mortality,first,binary,59433,5587,abnormal,1.036,0.978,1.098,0.23186,0.273932229922499
all,MCHC,Gaussian_trunc,mortality,first,z,59433,5587,z,1.013,0.997,1.03,0.11945,0.1395814711327754
all,MCHC,Gaussian_trunc,mortality,first,category,59433,5587,low,1.087,1.022,1.155,0.00771,0.0134597800739617
all,MCHC,Gaussian_trunc,mortality,first,category,59433,5587,high,0.913,0.843,0.988,0.02309,0.0366487115022436
all,MCHC,Gaussian_eb,mortality,first,binary,61140,5781,abnormal,1.048,0.994,1.105,0.08005,0.1069726904272684
all,MCHC,Gaussian_eb,mortality,first,z,61140,5781,z,1.064,1.033,1.097,5e-05,6.635874139873044e-05
all,MCHC,Gaussian_eb,mortality,first,category,61140,5781,low,1.036,0.982,1.092,0.19436,0.2406200888692858
all,MCHC,Gaussian_eb,mortality,first,category,61140,5781,high,1.866,1.511,2.303,0.0,1.680592900972077e-08
all,MCHC,NORMA_q_age_set,mortality,first,binary,61140,5781,abnormal,1.034,0.981,1.091,0.20841,0.2500914685490487
all,MCHC,NORMA_q_age_set,mortality,first,z,61140,5781,z,1.031,0.992,1.071,0.12336,0.1436094750186158
