analyte,landmark_h,subset,outcome,method,score,n,n_events,prevalence,auc,auc_lo,auc_hi,auprc,auprc_lo,auprc_hi,auprc_norm,auprc_norm_lo,auprc_norm_hi,flag_rate_05,ppv_at_05,ppv_at_05_lo,ppv_at_05_hi,npv_at_05,lift_at_05,lift_at_05_lo,lift_at_05_hi,rr_at_05,rr_at_05_lo,rr_at_05_hi,sens_at_05,spec_at_05,npv_at_05_lo,npv_at_05_hi,sens_at_05_lo,sens_at_05_hi,spec_at_05_lo,spec_at_05_hi,flag_rate_10,ppv_at_10,ppv_at_10_lo,ppv_at_10_hi,npv_at_10,lift_at_10,lift_at_10_lo,lift_at_10_hi,rr_at_10,rr_at_10_lo,rr_at_10_hi,sens_at_10,spec_at_10,npv_at_10_lo,npv_at_10_hi,sens_at_10_lo,sens_at_10_hi,spec_at_10_lo,spec_at_10_hi,flag_rate_20,ppv_at_20,ppv_at_20_lo,ppv_at_20_hi,npv_at_20,lift_at_20,lift_at_20_lo,lift_at_20_hi,rr_at_20,rr_at_20_lo,rr_at_20_hi,sens_at_20,spec_at_20,npv_at_20_lo,npv_at_20_hi,sens_at_20_lo,sens_at_20_hi,spec_at_20_lo,spec_at_20_hi,flag_rate_native,ppv_at_native,npv_at_native,sens_at_native,spec_at_native,lift_at_native,rr_at_native,rr_at_native_lo,rr_at_native_hi,ppv_at_native_lo,ppv_at_native_hi,npv_at_native_lo,npv_at_native_hi,sens_at_native_lo,sens_at_native_hi,spec_at_native_lo,spec_at_native_hi,flag_rate_pop,ppv_at_pop,ppv_at_pop_lo,ppv_at_pop_hi,npv_at_pop,lift_at_pop,lift_at_pop_lo,lift_at_pop_hi,rr_at_pop,rr_at_pop_lo,rr_at_pop_hi,sens_at_pop,spec_at_pop,npv_at_pop_lo,npv_at_pop_hi,sens_at_pop_lo,sens_at_pop_hi,spec_at_pop_lo,spec_at_pop_hi
all,0.0,all,mortality,PopRI,any,97614,9754,0.0999241912020816,0.5903007374305712,0.5848402673811511,0.5957612074799913,0.1219057991281594,0.1193713982775745,0.1262467311686757,1.2199828456116628,1.194619609541436,1.2634250990669589,0.05,0.1120671993443966,0.1035207543583671,0.121223810542161,0.9007149558409627,1.1215222059466818,1.0359929173608418,1.213157785755845,1.128742000304544,1.0405929939709972,1.2243581406305457,0.0560795571047775,0.9506715228773048,0.8987735737634883,0.9026231388888432,0.051685893376459,0.0608227581269635,0.9492197750974488,0.9520838619609155,0.1,0.1091076733941194,0.1030756250059227,0.1154472847768637,0.9010961492493142,1.0919044936122182,1.0315382468041976,1.155348703732702,1.1031691139018962,1.0388220514554485,1.1715019835803775,0.1091859749846217,0.901024356931482,0.8991044727019971,0.903052749394182,0.1031498403143025,0.1155298316328215,0.899032125978614,0.9029815205542276,0.2,0.1092557496286431,0.104956335929072,0.1137089089408407,0.9024087282785468,1.093386379357225,1.0503596242957187,1.1379517569562465,1.119523782213669,1.0698576412127203,1.1714955809646803,0.2186795160959606,0.80207147735033,0.9003074559466054,0.9044704104573132,0.2105879363330465,0.2269926040192378,0.7994236551092128,0.8046928851354832,0.9782510705431596,0.1009414499795792,0.945831370701837,0.9882099651425056,0.0228545413157295,1.01018030534208,1.863466941796928,1.5584345526196437,2.2282033193712865,0.0990467255880268,0.1028682813059161,0.935372571435651,0.9546796073443764,0.9858674393212704,0.9901680806650344,0.0218870466943645,0.0238637596304979,,,,,,,,,,,,,,,,,,,
all,0.0,all,mortality,PopRI,toward,97614,9754,0.0999241912020816,0.5903007374305712,0.5848402673811511,0.5957612074799913,0.1219057991281594,0.1193713982775745,0.1262467311686757,1.2199828456116628,1.194619609541436,1.2634250990669589,0.05,0.1120671993443966,0.1035207543583671,0.121223810542161,0.9007149558409627,1.1215222059466818,1.0359929173608418,1.213157785755845,1.128742000304544,1.0405929939709972,1.2243581406305457,0.0560795571047775,0.9506715228773048,0.8987735737634883,0.9026231388888432,0.051685893376459,0.0608227581269635,0.9492197750974488,0.9520838619609155,0.1,0.1091076733941194,0.1030756250059227,0.1154472847768637,0.9010961492493142,1.0919044936122182,1.0315382468041976,1.155348703732702,1.1031691139018962,1.0388220514554485,1.1715019835803775,0.1091859749846217,0.901024356931482,0.8991044727019971,0.903052749394182,0.1031498403143025,0.1155298316328215,0.899032125978614,0.9029815205542276,0.2,0.1092557496286431,0.104956335929072,0.1137089089408407,0.9024087282785468,1.093386379357225,1.0503596242957187,1.1379517569562465,1.119523782213669,1.0698576412127203,1.1714955809646803,0.2186795160959606,0.80207147735033,0.9003074559466054,0.9044704104573132,0.2105879363330465,0.2269926040192378,0.7994236551092128,0.8046928851354832,0.9782510705431596,0.1009414499795792,0.945831370701837,0.9882099651425056,0.0228545413157295,1.01018030534208,1.863466941796928,1.5584345526196437,2.2282033193712865,0.0990467255880268,0.1028682813059161,0.935372571435651,0.9546796073443764,0.9858674393212704,0.9901680806650344,0.0218870466943645,0.0238637596304979,,,,,,,,,,,,,,,,,,,
all,0.0,pop_normal,mortality,PopRI,any,82928,8361,0.1008224001543507,0.4986844577206619,0.4933281453029717,0.504040770138352,0.098315979068688,0.095878408221534,0.1014465436853555,0.9751402358818514,0.950963358090584,1.0061905244275997,0.05,0.0952725518572117,0.0867066560501766,0.1045877779349662,0.8988855322281739,0.9449542136604304,0.8599939687751528,1.0373466389894606,0.9422247276443456,0.8559038383407862,1.03725137990441,0.0472431527329266,0.949696246328805,0.8967608049955625,0.9009713601197492,0.042899721811217,0.0520024458520654,0.9481041212315556,0.9512420382195936,0.1,0.0858555408175569,0.0800159987508976,0.0920785968600394,0.8975145709117707,0.8515522412293224,0.7936331472807604,0.9132751920116432,0.8377341206586959,0.778470891608697,0.9015089253569184,0.0851572778375792,0.8983330427669076,0.8953181825589268,0.8996700397663243,0.0793632466707852,0.0913323466564093,0.8961433222611316,0.900481722131555,0.2,0.0950198962980827,0.0906503589601688,0.0995769907693186,0.8977269301498296,0.9424482669785198,0.899109313221969,0.987647493184793,0.929080318379868,0.8819160888325547,0.9787668565424332,0.1884941992584619,0.798704520766559,0.8953980899962798,0.9000097114174564,0.1802545339731034,0.197019986084754,0.7958111522223383,0.8015671131183066,0.0,,0.8991775998456493,0.0,1.0,,,,,,,0.8971097674130797,0.9012084505679858,0.0,0.0004592555584077,0.9999484838856906,1.0,0.9782510705431596,0.1005744292687737,0.098523603727792,0.1026630823481752,0.8880266075388027,0.9975405179285812,0.9771995466975651,1.018256678982116,0.8981993584201378,0.7874640037589372,1.024506623306324,0.9758402105011362,0.0214840344924698,0.8726426516171439,0.9017614775941764,0.9723239201227905,0.9789194363563092,0.0204677229078143,0.0225496486434811
all,0.0,pop_normal,mortality,PopRI,toward,82928,8361,0.1008224001543507,0.4986844577206619,0.4933281453029717,0.504040770138352,0.098315979068688,0.095878408221534,0.1014465436853555,0.9751402358818514,0.950963358090584,1.0061905244275997,0.05,0.0952725518572117,0.0867066560501766,0.1045877779349662,0.8988855322281739,0.9449542136604304,0.8599939687751528,1.0373466389894606,0.9422247276443456,0.8559038383407862,1.03725137990441,0.0472431527329266,0.949696246328805,0.8967608049955625,0.9009713601197492,0.042899721811217,0.0520024458520654,0.9481041212315556,0.9512420382195936,0.1,0.0858555408175569,0.0800159987508976,0.0920785968600394,0.8975145709117707,0.8515522412293224,0.7936331472807604,0.9132751920116432,0.8377341206586959,0.778470891608697,0.9015089253569184,0.0851572778375792,0.8983330427669076,0.8953181825589268,0.8996700397663243,0.0793632466707852,0.0913323466564093,0.8961433222611316,0.900481722131555,0.2,0.0950198962980827,0.0906503589601688,0.0995769907693186,0.8977269301498296,0.9424482669785198,0.899109313221969,0.987647493184793,0.929080318379868,0.8819160888325547,0.9787668565424332,0.1884941992584619,0.798704520766559,0.8953980899962798,0.9000097114174564,0.1802545339731034,0.197019986084754,0.7958111522223383,0.8015671131183066,0.0,,0.8991775998456493,0.0,1.0,,,,,,,0.8971097674130797,0.9012084505679858,0.0,0.0004592555584077,0.9999484838856906,1.0,0.9782510705431596,0.1005744292687737,0.098523603727792,0.1026630823481752,0.8880266075388027,0.9975405179285812,0.9771995466975651,1.018256678982116,0.8981993584201378,0.7874640037589372,1.024506623306324,0.9758402105011362,0.0214840344924698,0.8726426516171439,0.9017614775941764,0.9723239201227905,0.9789194363563092,0.0204677229078143,0.0225496486434811
all,0.0,all,aki,PopRI,any,97614,12469,0.1277378244923883,0.6006889390580294,0.5955528182182881,0.6058250598977708,0.1659091134081977,0.1625197208309672,0.1706982440409573,1.2988252623488503,1.2722912847216323,1.3363171380073795,0.05,0.1876664617906167,0.1769599103663245,0.1988642719367413,0.8754165183915111,1.4691534205813823,1.385336810529987,1.556815866615853,1.5063510777485725,1.4174785603493794,1.600795689548208,0.0734621862218301,0.9534323800575488,0.8732753785856503,0.8775265551304102,0.0690130304707791,0.0781740868578013,0.9519964582092328,0.9548273875305546,0.1,0.1767236963425878,0.1692842028878006,0.1844175509634856,0.8777048023402729,1.3834876008328951,1.325247267679026,1.4437192092188376,1.4450583483605148,1.3796239542017443,1.513596240342649,0.138343090865346,0.9056198250044044,0.8755217812413493,0.8798547926417711,0.1323942005328916,0.1445147598117983,0.9036377174778036,0.9075653324060836,0.2,0.1676484146903652,0.1624738512082281,0.1729537481020463,0.8822399508265998,1.3124414429052298,1.271932192785306,1.3539744299649654,1.423644231359864,1.372369526760009,1.4768346702284694,0.2624909776245088,0.8091490985965119,0.8799603992948342,0.8844818964687826,0.2548420600816256,0.2702861993841244,0.8064955750778379,0.811774726793186,0.9782510705431596,0.1292582547046318,0.940650023551578,0.9898949394498356,0.0234541076986317,1.0119027407761596,2.1778990058566143,1.8371446355257768,2.58185664208945,0.1271452719981373,0.1314010660691954,0.9297807790109816,0.9499274230478836,0.9879823362733318,0.9915057701097398,0.0224588449929752,0.024492370371533,,,,,,,,,,,,,,,,,,,
all,0.0,all,aki,PopRI,toward,97614,12469,0.1277378244923883,0.6006889390580294,0.5955528182182881,0.6058250598977708,0.1659091134081977,0.1625197208309672,0.1706982440409573,1.2988252623488503,1.2722912847216323,1.3363171380073795,0.05,0.1876664617906167,0.1769599103663245,0.1988642719367413,0.8754165183915111,1.4691534205813823,1.385336810529987,1.556815866615853,1.5063510777485725,1.4174785603493794,1.600795689548208,0.0734621862218301,0.9534323800575488,0.8732753785856503,0.8775265551304102,0.0690130304707791,0.0781740868578013,0.9519964582092328,0.9548273875305546,0.1,0.1767236963425878,0.1692842028878006,0.1844175509634856,0.8777048023402729,1.3834876008328951,1.325247267679026,1.4437192092188376,1.4450583483605148,1.3796239542017443,1.513596240342649,0.138343090865346,0.9056198250044044,0.8755217812413493,0.8798547926417711,0.1323942005328916,0.1445147598117983,0.9036377174778036,0.9075653324060836,0.2,0.1676484146903652,0.1624738512082281,0.1729537481020463,0.8822399508265998,1.3124414429052298,1.271932192785306,1.3539744299649654,1.423644231359864,1.372369526760009,1.4768346702284694,0.2624909776245088,0.8091490985965119,0.8799603992948342,0.8844818964687826,0.2548420600816256,0.2702861993841244,0.8064955750778379,0.811774726793186,0.9782510705431596,0.1292582547046318,0.940650023551578,0.9898949394498356,0.0234541076986317,1.0119027407761596,2.1778990058566143,1.8371446355257768,2.58185664208945,0.1271452719981373,0.1314010660691954,0.9297807790109816,0.9499274230478836,0.9879823362733318,0.9915057701097398,0.0224588449929752,0.024492370371533,,,,,,,,,,,,,,,,,,,
all,0.0,pop_normal,aki,PopRI,any,82928,11351,0.1368777734902566,0.5497612426007423,0.5454505237846263,0.5540719614168583,0.1518943448397562,0.1481735877720052,0.1569907789267866,1.1097078873113648,1.0825248248398245,1.146941354492165,0.05,0.1705258080077182,0.1593838268855829,0.1822777921988659,0.864892995861999,1.2458254080225584,1.1644244556398224,1.3316829135289885,1.2621537210131588,1.1775062230626976,1.3528862814192872,0.062285261210466,0.9519538399206448,0.8624881390904051,0.8672622682467426,0.0579856610295669,0.0668810390043639,0.9503626638394108,0.953496505092182,0.1,0.1665259857711322,0.1586623685951853,0.1746984129340173,0.8664165605948951,1.2166035545791962,1.1591536342931483,1.2763095751733051,1.2466065143458835,1.1840301251017251,1.3124900867501832,0.1216632895780107,0.903432666918144,0.8639569347113477,0.868838468158356,0.1157771400892563,0.1278054388169963,0.9012470893966076,0.9055749415977864,0.2,0.1635716869649101,0.1580204135376035,0.1692787693551373,0.8697959060625245,1.1950200737050545,1.1544636467136276,1.2367148079537331,1.256271458280397,1.20744882584798,1.3070682111778835,0.239009778874108,0.8061807563882253,0.8672136364817501,0.8723353513179618,0.23125312351727,0.2469430320327995,0.8032684525345991,0.8090601960293765,0.0,,0.8631222265097434,0.0,1.0,,,,,,,0.8607659801115057,0.8654448315389134,0.0,0.0003383226411542,0.9999463320084798,1.0,0.9782510705431596,0.1380602534391795,0.1357035315403352,0.1404512527871205,0.9162971175166296,1.0086389478640012,0.9914212372105468,1.0261070822949814,1.64940859075682,1.4144919180665667,1.9233398681987863,0.9866972072945116,0.0230940106458778,0.902615611831544,0.9282093896508868,0.9844188110359312,0.9886462821838632,0.0220189502811506,0.0242202601837903
all,0.0,pop_normal,aki,PopRI,toward,82928,11351,0.1368777734902566,0.5497612426007423,0.5454505237846263,0.5540719614168583,0.1518943448397562,0.1481735877720052,0.1569907789267866,1.1097078873113648,1.0825248248398245,1.146941354492165,0.05,0.1705258080077182,0.1593838268855829,0.1822777921988659,0.864892995861999,1.2458254080225584,1.1644244556398224,1.3316829135289885,1.2621537210131588,1.1775062230626976,1.3528862814192872,0.062285261210466,0.9519538399206448,0.8624881390904051,0.8672622682467426,0.0579856610295669,0.0668810390043639,0.9503626638394108,0.953496505092182,0.1,0.1665259857711322,0.1586623685951853,0.1746984129340173,0.8664165605948951,1.2166035545791962,1.1591536342931483,1.2763095751733051,1.2466065143458835,1.1840301251017251,1.3124900867501832,0.1216632895780107,0.903432666918144,0.8639569347113477,0.868838468158356,0.1157771400892563,0.1278054388169963,0.9012470893966076,0.9055749415977864,0.2,0.1635716869649101,0.1580204135376035,0.1692787693551373,0.8697959060625245,1.1950200737050545,1.1544636467136276,1.2367148079537331,1.256271458280397,1.20744882584798,1.3070682111778835,0.239009778874108,0.8061807563882253,0.8672136364817501,0.8723353513179618,0.23125312351727,0.2469430320327995,0.8032684525345991,0.8090601960293765,0.0,,0.8631222265097434,0.0,1.0,,,,,,,0.8607659801115057,0.8654448315389134,0.0,0.0003383226411542,0.9999463320084798,1.0,0.9782510705431596,0.1380602534391795,0.1357035315403352,0.1404512527871205,0.9162971175166296,1.0086389478640012,0.9914212372105468,1.0261070822949814,1.64940859075682,1.4144919180665667,1.9233398681987863,0.9866972072945116,0.0230940106458778,0.902615611831544,0.9282093896508868,0.9844188110359312,0.9886462821838632,0.0220189502811506,0.0242202601837903
all,0.0,all,sepsis,PopRI,any,97614,14149,0.1449484705062798,0.5480446695338053,0.5430058387082488,0.5530835003593617,0.1641623645913383,0.1607528043413691,0.1681431896952976,1.132556721833267,1.1090341538609378,1.1600204480116465,0.05,0.183159188690842,0.1725583947997992,0.1942583306391587,0.8570627500458305,1.263615877084448,1.1904809633180862,1.3401888958237926,1.2813957785641534,1.205197977567897,1.362411132348195,0.0631846773623577,0.9522314742706524,0.8547951812942722,0.8593007363307679,0.0592931280539842,0.0673133620518613,0.950763619084775,0.9536577021283372,0.1,0.1726257555578322,0.1652574818866809,0.1802516147483325,0.8581266433701752,1.1909456854210354,1.140111939846383,1.2435565143857326,1.216759507623735,1.1616186628523653,1.274517831658596,0.1190896883171955,0.9032408794105312,0.8558036822893743,0.8604182857901156,0.1138558174145092,0.1245303452625322,0.9012166470817828,0.9052279939326192,0.2,0.1649336679813553,0.159793756383939,0.170205417676038,0.8600478928429652,1.137877946592128,1.1024176786813076,1.174247765992563,1.1785007838166364,1.1367885994097902,1.2217435134179842,0.2275779207011096,0.8046726172647217,0.8575968155326474,0.8624635475835765,0.2207438786943778,0.2345598533844154,0.8019689747060139,0.8073482150990976,0.9782510705431596,0.1459613995036181,0.9006123410268488,0.9850872853205174,0.022907805667046,1.0069882006605542,1.4686068774700536,1.290909691219864,1.670764558684377,0.1437362368184465,0.1482150469669175,0.8871529493653754,0.912624523484507,0.982954407719573,0.9869568219800514,0.0219145555967133,0.0239449714630224,,,,,,,,,,,,,,,,,,,
all,0.0,all,sepsis,PopRI,toward,97614,14149,0.1449484705062798,0.5480446695338053,0.5430058387082488,0.5530835003593617,0.1641623645913383,0.1607528043413691,0.1681431896952976,1.132556721833267,1.1090341538609378,1.1600204480116465,0.05,0.183159188690842,0.1725583947997992,0.1942583306391587,0.8570627500458305,1.263615877084448,1.1904809633180862,1.3401888958237926,1.2813957785641534,1.205197977567897,1.362411132348195,0.0631846773623577,0.9522314742706524,0.8547951812942722,0.8593007363307679,0.0592931280539842,0.0673133620518613,0.950763619084775,0.9536577021283372,0.1,0.1726257555578322,0.1652574818866809,0.1802516147483325,0.8581266433701752,1.1909456854210354,1.140111939846383,1.2435565143857326,1.216759507623735,1.1616186628523653,1.274517831658596,0.1190896883171955,0.9032408794105312,0.8558036822893743,0.8604182857901156,0.1138558174145092,0.1245303452625322,0.9012166470817828,0.9052279939326192,0.2,0.1649336679813553,0.159793756383939,0.170205417676038,0.8600478928429652,1.137877946592128,1.1024176786813076,1.174247765992563,1.1785007838166364,1.1367885994097902,1.2217435134179842,0.2275779207011096,0.8046726172647217,0.8575968155326474,0.8624635475835765,0.2207438786943778,0.2345598533844154,0.8019689747060139,0.8073482150990976,0.9782510705431596,0.1459613995036181,0.9006123410268488,0.9850872853205174,0.022907805667046,1.0069882006605542,1.4686068774700536,1.290909691219864,1.670764558684377,0.1437362368184465,0.1482150469669175,0.8871529493653754,0.912624523484507,0.982954407719573,0.9869568219800514,0.0219145555967133,0.0239449714630224,,,,,,,,,,,,,,,,,,,
