analyte,method,outcome,subset,n_patients,n_events,anchor,sensitivity,specificity,ppv,n_flagged
DBIL,NORMA_q_age_set,mortality,pop_normal,492.0,69.0,rate_of:PerRI,0.2608695652173913,0.7659574468085106,0.1538461538461538,117.0
GLU,PerRI,mortality,pop_normal,52036.0,4095.0,native,0.3892551892551892,0.5964414592937152,0.0761186189771262,20941.0
GLU,PerRI,mortality,pop_normal,52036.0,4095.0,rate_of:PerRI,0.3892551892551892,0.5964414592937152,0.0761186189771262,20941.0
GLU,NORMA_q_age_set,mortality,pop_normal,52036.0,4095.0,native,0.2039072039072039,0.8145220166454601,0.085843528323224,9727.0
GLU,NORMA_q_age_set,mortality,pop_normal,52036.0,4095.0,rate_of:PerRI,0.4119658119658119,0.5983813437350076,0.0805596676376486,20941.0
HCT,PerRI,mortality,pop_normal,6316.0,544.0,native,0.6268382352941176,0.4594594594594595,0.0985264374458249,3461.0
HCT,PerRI,mortality,pop_normal,6316.0,544.0,rate_of:PerRI,0.6268382352941176,0.4594594594594595,0.0985264374458249,3461.0
HCT,NORMA_q_age_set,mortality,pop_normal,6316.0,544.0,native,0.1158088235294117,0.9275814275814276,0.1309771309771309,481.0
HCT,NORMA_q_age_set,mortality,pop_normal,6316.0,544.0,rate_of:PerRI,0.5459558823529411,0.4518364518364518,0.0858133487431378,3461.0
HGB,PerRI,mortality,pop_normal,6849.0,565.0,native,0.552212389380531,0.52466581795035,0.0945741133676871,3299.0
HGB,PerRI,mortality,pop_normal,6849.0,565.0,rate_of:PerRI,0.552212389380531,0.52466581795035,0.0945741133676871,3299.0
HGB,NORMA_q_age_set,mortality,pop_normal,6849.0,565.0,native,0.1256637168141593,0.9267982176957352,0.1337099811676083,531.0
HGB,NORMA_q_age_set,mortality,pop_normal,6849.0,565.0,rate_of:PerRI,0.447787610619469,0.5152768936982813,0.0766899060321309,3299.0
K,PerRI,mortality,pop_normal,64408.0,6461.0,native,0.4152607955424857,0.6305071876024643,0.1113555241968955,24094.0
K,PerRI,mortality,pop_normal,64408.0,6461.0,rate_of:PerRI,0.4152607955424857,0.6305071876024643,0.1113555241968955,24094.0
K,NORMA_q_age_set,mortality,pop_normal,64408.0,6461.0,native,0.2402104937316204,0.8274975408562997,0.1343955663318323,11548.0
K,NORMA_q_age_set,mortality,pop_normal,64408.0,6461.0,rate_of:PerRI,0.4480730537068565,0.6341657031425267,0.1201543952851332,24094.0
MCH,PerRI,mortality,pop_normal,36980.0,3792.0,native,0.5195147679324894,0.5178377726889237,0.1096149565991542,17972.0
MCH,PerRI,mortality,pop_normal,36980.0,3792.0,rate_of:PerRI,0.5195147679324894,0.5178377726889237,0.1096149565991542,17972.0
MCH,NORMA_q_age_set,mortality,pop_normal,36980.0,3792.0,native,0.1542721518987341,0.8968603109557671,0.1459580838323353,4008.0
MCH,NORMA_q_age_set,mortality,pop_normal,36980.0,3792.0,rate_of:PerRI,0.5377109704641351,0.5199168374111125,0.113454262185622,17972.0
MCHC,PerRI,mortality,pop_normal,31506.0,2975.0,native,0.4594957983193277,0.5849076443167082,0.1034822104466313,13210.0
MCHC,PerRI,mortality,pop_normal,31506.0,2975.0,rate_of:PerRI,0.4594957983193277,0.5849076443167082,0.1034822104466313,13210.0
MCHC,NORMA_q_age_set,mortality,pop_normal,31506.0,2975.0,native,0.1132773109243697,0.920998212470646,0.1300656117329216,2591.0
MCHC,NORMA_q_age_set,mortality,pop_normal,31506.0,2975.0,rate_of:PerRI,0.4480672268907563,0.5837159580806842,0.1009084027252081,13210.0
MCV,PerRI,mortality,pop_normal,46506.0,4689.0,native,0.6212412028150992,0.4283186263959633,0.1086170252432976,26819.0
MCV,PerRI,mortality,pop_normal,46506.0,4689.0,rate_of:PerRI,0.6212412028150992,0.4283186263959633,0.1086170252432976,26819.0
MCV,NORMA_q_age_set,mortality,pop_normal,46506.0,4689.0,native,0.2414160801876732,0.8617069612836884,0.163702096890817,6915.0
MCV,NORMA_q_age_set,mortality,pop_normal,46506.0,4689.0,rate_of:PerRI,0.6649605459586265,0.4332209388526197,0.1162608598381744,26819.0
MPV,PerRI,mortality,pop_normal,35566.0,3703.0,native,0.5957331893059681,0.4745943570912971,0.1164300416952551,18947.0
MPV,PerRI,mortality,pop_normal,35566.0,3703.0,rate_of:PerRI,0.5957331893059681,0.4745943570912971,0.1164300416952551,18947.0
MPV,NORMA_q_age_set,mortality,pop_normal,35566.0,3703.0,native,0.6370510396975425,0.4040109217587798,0.1104969787812075,21349.0
MPV,NORMA_q_age_set,mortality,pop_normal,35566.0,3703.0,rate_of:PerRI,0.5773697002430461,0.4724602203182375,0.1128410830210587,18947.0
NA,PerRI,mortality,pop_normal,53278.0,5313.0,native,0.5063052889139845,0.5186281663713124,0.1043485007176383,25779.0
NA,PerRI,mortality,pop_normal,53278.0,5313.0,rate_of:PerRI,0.5063052889139845,0.5186281663713124,0.1043485007176383,25779.0
NA,NORMA_q_age_set,mortality,pop_normal,53278.0,5313.0,native,0.2128740824392998,0.8521838840821432,0.1375745043182094,8221.0
NA,NORMA_q_age_set,mortality,pop_normal,53278.0,5313.0,rate_of:PerRI,0.5211744776962168,0.5202752006671532,0.1074130105900151,25779.0
PLT,PerRI,mortality,pop_normal,43751.0,3282.0,native,0.6901279707495429,0.2579011094912155,0.0701303526643341,32297.0
PLT,PerRI,mortality,pop_normal,43751.0,3282.0,rate_of:PerRI,0.6901279707495429,0.2579011094912155,0.0701303526643341,32297.0
PLT,NORMA_q_age_set,mortality,pop_normal,43751.0,3282.0,native,0.3781230956733699,0.6724653438434357,0.0856098233995585,14496.0
