model_type,method,outcome,subset,panel,n_test,n_events_test,concordance_test,concordance_lower,concordance_upper,time_window
penalized_cox,Cohen_m3,aki,all,all,1657.0,238.0,0.5988,0.5645,0.6344,30
penalized_cox,Cohen_m3,aki,all,all,1657.0,238.0,0.5988,0.5645,0.6344,7
penalized_cox,Cohen_m3,aki,all,all,1657.0,238.0,0.5988,0.5645,0.6344,all
penalized_cox,Cohen_m3,aki,all_eval_pop_normal,all,1657.0,238.0,0.5988,0.5645,0.6344,1
penalized_cox,Cohen_m3,aki,all_eval_pop_normal,all,1657.0,238.0,0.5988,0.5645,0.6344,14
penalized_cox,Cohen_m3,aki,all_eval_pop_normal,all,1657.0,238.0,0.5988,0.5645,0.6344,2
penalized_cox,Cohen_m3,aki,all_eval_pop_normal,all,1657.0,238.0,0.5988,0.5645,0.6344,30
penalized_cox,Cohen_m3,aki,all_eval_pop_normal,all,1657.0,238.0,0.5988,0.5645,0.6344,7
penalized_cox,Cohen_m3,aki,all_eval_pop_normal,all,1657.0,238.0,0.5988,0.5645,0.6344,all
penalized_cox,Cohen_m3,mortality,all,all,1660.0,207.0,0.6921,0.6476,0.7288,1
penalized_cox,Cohen_m3,mortality,all,all,1660.0,207.0,0.6921,0.6476,0.7288,14
penalized_cox,Cohen_m3,mortality,all,all,1660.0,207.0,0.6921,0.6476,0.7288,2
penalized_cox,Cohen_m3,mortality,all,all,1660.0,207.0,0.6921,0.6476,0.7288,30
penalized_cox,Cohen_m3,mortality,all,all,1660.0,207.0,0.6921,0.6476,0.7288,7
penalized_cox,Cohen_m3,mortality,all,all,1660.0,207.0,0.6921,0.6476,0.7288,all
penalized_cox,Cohen_m3,mortality,all_eval_pop_normal,all,1660.0,207.0,0.6921,0.6476,0.7288,1
penalized_cox,Cohen_m3,mortality,all_eval_pop_normal,all,1660.0,207.0,0.6921,0.6476,0.7288,14
penalized_cox,Cohen_m3,mortality,all_eval_pop_normal,all,1660.0,207.0,0.6921,0.6476,0.7288,2
penalized_cox,Cohen_m3,mortality,all_eval_pop_normal,all,1660.0,207.0,0.6921,0.6476,0.7288,30
penalized_cox,Cohen_m3,mortality,all_eval_pop_normal,all,1660.0,207.0,0.6921,0.6476,0.7288,7
penalized_cox,Cohen_m3,mortality,all_eval_pop_normal,all,1660.0,207.0,0.6921,0.6476,0.7288,all
penalized_cox,Cohen_m3,prolonged_los,all,all,1657.0,292.0,0.5156,0.473,0.5587,1
penalized_cox,Cohen_m3,prolonged_los,all,all,1657.0,292.0,0.5156,0.473,0.5587,14
penalized_cox,Cohen_m3,prolonged_los,all,all,1657.0,292.0,0.5156,0.473,0.5587,2
penalized_cox,Cohen_m3,prolonged_los,all,all,1657.0,292.0,0.5156,0.473,0.5587,30
