subset,outcome,analyte,method,n,n_events,auc,auc_lo,auc_hi,auc_base,auc_adj,auc_gain,prevalence,ap,ap_lift,delta_vs_norma,p_vs_norma
all,aki,RBC,NORMA_q_age_set_co,53548,8265,0.5347,0.5281,0.5413,0.5177,0.5346,0.0169,0.1543,0.1661,1.076,-0.0215,0.0
all,aki,RBC,PerRI,53548,8265,0.5096,0.5029,0.5162,0.5177,0.5186,0.0009,0.1543,0.154,0.998,-0.0466,0.0
all,aki,RBC,PopRI,53548,8265,0.5861,0.5795,0.5928,0.5177,0.5895,0.0718,0.1543,0.204,1.322,0.03,0.0
all,aki,RDW,Cohen_m2,48688,7577,0.5933,0.5865,0.6002,0.5193,0.5922,0.0729,0.1556,0.2021,1.298,0.0047,0.123807
all,aki,RDW,Cohen_m3,48688,7577,0.5754,0.5684,0.5824,0.5193,0.5761,0.0568,0.1556,0.193,1.24,-0.0133,0.000553
all,aki,RDW,Cohen_m4,48688,7577,0.575,0.568,0.5821,0.5193,0.5779,0.0586,0.1556,0.1931,1.241,-0.0136,0.001178
all,aki,RDW,Gaussian_eb,48688,7577,0.5898,0.5829,0.5966,0.5193,0.591,0.0718,0.1556,0.1996,1.282,0.0011,0.691447
all,aki,RDW,Gaussian_mle,48046,7473,0.5782,0.5714,0.5851,0.5203,0.5674,0.0471,0.1555,0.1883,1.21,-0.0107,9.2e-05
all,aki,RDW,Gaussian_trunc,48046,7473,0.5695,0.5626,0.5763,0.5203,0.5576,0.0373,0.1555,0.1826,1.174,-0.0195,0.0
all,aki,RDW,NORMA_334f7e21,48688,7577,0.59,0.5832,0.5968,0.5193,0.5867,0.0675,0.1556,0.1968,1.265,0.0013,0.125059
all,aki,RDW,NORMA_q_age,48688,7577,0.5913,0.5845,0.5982,0.5193,0.5882,0.0689,0.1556,0.2002,1.286,0.0027,0.002469
all,aki,RDW,NORMA_q_age_set,48688,7577,0.5887,0.5819,0.5955,0.5193,0.5843,0.065,0.1556,0.196,1.26,,
all,aki,RDW,NORMA_q_age_set_co,48688,7577,0.5924,0.5856,0.5993,0.5193,0.5891,0.0699,0.1556,0.1998,1.284,0.0038,0.003758
all,aki,RDW,PerRI,48636,7576,0.529,0.5219,0.536,0.5174,0.5298,0.0124,0.1558,0.1668,1.071,-0.0593,0.0
all,aki,RDW,PopRI,48688,7577,0.5979,0.5912,0.6047,0.5193,0.6005,0.0812,0.1556,0.204,1.311,0.0093,0.001507
all,aki,TBIL,Cohen_m2,12694,2522,0.5668,0.5544,0.5792,0.5109,0.56,0.0491,0.1987,0.2352,1.184,0.0273,4.9e-05
all,aki,TBIL,Cohen_m3,12694,2522,0.5499,0.5372,0.5625,0.5109,0.5508,0.04,0.1987,0.2326,1.171,0.0104,0.080487
all,aki,TBIL,Cohen_m4,12694,2522,0.558,0.5455,0.5706,0.5109,0.5563,0.0454,0.1987,0.2355,1.185,0.0185,0.001187
all,aki,TBIL,Gaussian_eb,12694,2522,0.5485,0.5359,0.5611,0.5109,0.547,0.0361,0.1987,0.2286,1.151,0.009,0.038739
all,aki,TBIL,Gaussian_mle,12297,2439,0.5402,0.5273,0.5531,0.5083,0.5286,0.0203,0.1983,0.2214,1.116,0.0012,0.772613
all,aki,TBIL,Gaussian_trunc,12297,2439,0.5022,0.4895,0.5148,0.5083,0.5082,-0.0,0.1983,0.1966,0.991,-0.0368,0.0
all,aki,TBIL,NORMA_334f7e21,12694,2522,0.5426,0.5299,0.5554,0.5109,0.5469,0.036,0.1987,0.2293,1.154,0.0031,0.029363
all,aki,TBIL,NORMA_q_age,12694,2522,0.5406,0.5278,0.5535,0.5109,0.5449,0.0341,0.1987,0.2283,1.149,0.0011,0.392298
all,aki,TBIL,NORMA_q_age_set,12694,2522,0.5395,0.5267,0.5523,0.5109,0.5442,0.0333,0.1987,0.2256,1.136,,
all,aki,TBIL,NORMA_q_age_set_co,12694,2522,0.5447,0.5319,0.5574,0.5109,0.5433,0.0324,0.1987,0.2286,1.15,0.0052,0.034337
all,aki,TBIL,PerRI,12655,2515,0.5211,0.5086,0.5335,0.512,0.5149,0.0029,0.1987,0.206,1.036,-0.0183,0.00895
all,aki,TBIL,PopRI,12694,2522,0.5234,0.5104,0.5363,0.5109,0.5345,0.0237,0.1987,0.2224,1.119,-0.0161,0.002282
all,aki,TGL,Cohen_m2,305,87,0.6013,0.5308,0.6718,0.4317,0.603,0.1713,0.2852,0.3549,1.244,0.0029,0.908364
all,aki,TGL,Cohen_m3,305,87,0.5882,0.5158,0.6605,0.4317,0.5846,0.1529,0.2852,0.3437,1.205,-0.0102,0.735346
all,aki,TGL,Cohen_m4,305,87,0.58,0.5055,0.6546,0.4317,0.5888,0.1571,0.2852,0.3408,1.195,-0.0183,0.591688
all,aki,TGL,Gaussian_eb,305,87,0.59,0.5173,0.6627,0.4317,0.5934,0.1617,0.2852,0.351,1.23,-0.0084,0.660533
all,aki,TGL,Gaussian_mle,305,87,0.5823,0.5108,0.6538,0.4317,0.5028,0.0711,0.2852,0.3451,1.21,-0.0161,0.436078
all,aki,TGL,Gaussian_trunc,305,87,0.5935,0.5215,0.6654,0.4317,0.5947,0.1631,0.2852,0.3606,1.264,-0.0049,0.854827
all,aki,TGL,NORMA_334f7e21,305,87,0.5912,0.5207,0.6618,0.4317,0.6187,0.187,0.2852,0.3524,1.235,-0.0072,0.396483
all,aki,TGL,NORMA_q_age,305,87,0.5947,0.5241,0.6654,0.4317,0.6227,0.191,0.2852,0.3696,1.296,-0.0036,0.64947
all,aki,TGL,NORMA_q_age_set,305,87,0.5984,0.5285,0.6683,0.4317,0.6335,0.2018,0.2852,0.3654,1.281,,
all,aki,TGL,NORMA_q_age_set_co,305,87,0.5834,0.513,0.6537,0.4317,0.6171,0.1854,0.2852,0.3484,1.221,-0.015,0.237915
all,aki,TGL,PerRI,305,87,0.5388,0.4648,0.6128,0.4317,0.5553,0.1236,0.2852,0.3378,1.184,-0.0596,0.13916
all,aki,TGL,PopRI,305,87,0.6063,0.536,0.6766,0.4317,0.6072,0.1755,0.2852,0.3577,1.254,0.0079,0.705227
all,aki,TP,Cohen_m2,15062,3212,0.5389,0.5278,0.5501,0.5176,0.553,0.0354,0.2133,0.235,1.102,0.0012,0.78632
all,aki,TP,Cohen_m3,15062,3212,0.537,0.5259,0.5481,0.5176,0.5526,0.035,0.2133,0.2315,1.085,-0.0007,0.880177
all,aki,TP,Cohen_m4,15062,3212,0.5335,0.5223,0.5446,0.5176,0.5465,0.0289,0.2133,0.2303,1.08,-0.0042,0.375929
all,aki,TP,Gaussian_eb,15062,3212,0.5402,0.5291,0.5513,0.5176,0.5527,0.0352,0.2133,0.2379,1.115,0.0025,0.541845
all,aki,TP,Gaussian_mle,14890,3180,0.5416,0.5304,0.5527,0.5114,0.5338,0.0224,0.2136,0.2356,1.103,0.0031,0.481859
all,aki,TP,Gaussian_trunc,14890,3180,0.5384,0.5272,0.5495,0.5114,0.5284,0.017,0.2136,0.2336,1.094,-0.0001,0.991969
all,aki,TP,NORMA_334f7e21,15062,3212,0.5374,0.5264,0.5485,0.5176,0.5359,0.0183,0.2133,0.2321,1.088,-0.0002,0.839463
all,aki,TP,NORMA_q_age,15062,3212,0.5341,0.5231,0.5452,0.5176,0.533,0.0154,0.2133,0.2297,1.077,-0.0035,0.002311
all,aki,TP,NORMA_q_age_set,15062,3212,0.5377,0.5266,0.5488,0.5176,0.5369,0.0193,0.2133,0.2325,1.09,,
all,aki,TP,NORMA_q_age_set_co,15062,3212,0.5283,0.5172,0.5393,0.5176,0.5321,0.0145,0.2133,0.2253,1.056,-0.0094,3e-06
all,aki,TP,PerRI,15062,3212,0.5121,0.5009,0.5233,0.5176,0.5223,0.0047,0.2133,0.2186,1.025,-0.0256,0.000757
all,aki,TP,PopRI,15062,3212,0.5384,0.5273,0.5496,0.5176,0.5524,0.0348,0.2133,0.234,1.097,0.0008,0.854378
all,aki,WBC,Cohen_m2,52112,7912,0.5601,0.5532,0.5671,0.5128,0.5605,0.0477,0.1518,0.1821,1.2,0.0014,0.68004
all,aki,WBC,Cohen_m3,52112,7912,0.5629,0.5561,0.5697,0.5128,0.5581,0.0453,0.1518,0.1791,1.18,0.0042,0.112053
all,aki,WBC,Cohen_m4,52112,7912,0.5584,0.5517,0.5652,0.5128,0.5484,0.0356,0.1518,0.1729,1.139,-0.0003,0.918832
all,aki,WBC,Gaussian_eb,52112,7912,0.5626,0.5556,0.5695,0.5128,0.5618,0.049,0.1518,0.1847,1.217,0.0039,0.030107
all,aki,WBC,Gaussian_mle,51972,7898,0.5518,0.545,0.5586,0.522,0.5494,0.0273,0.152,0.1727,1.136,-0.0072,0.000621
all,aki,WBC,Gaussian_trunc,51972,7898,0.5359,0.5291,0.5428,0.522,0.5353,0.0133,0.152,0.1656,1.09,-0.0231,0.0
all,aki,WBC,NORMA_334f7e21,52112,7912,0.5607,0.5538,0.5676,0.5128,0.5538,0.041,0.1518,0.1818,1.197,0.002,0.001045
all,aki,WBC,NORMA_q_age,52112,7912,0.5601,0.5532,0.567,0.5128,0.5537,0.0409,0.1518,0.1817,1.197,0.0014,0.020194
all,aki,WBC,NORMA_q_age_set,52112,7912,0.5587,0.5518,0.5656,0.5128,0.5525,0.0398,0.1518,0.1808,1.191,,
all,aki,WBC,NORMA_q_age_set_co,52112,7912,0.5587,0.5518,0.5656,0.5128,0.5517,0.0389,0.1518,0.1798,1.184,0.0,0.969899
all,aki,WBC,PerRI,52112,7912,0.4961,0.4893,0.5028,0.5128,0.5152,0.0024,0.1518,0.1486,0.979,-0.0626,0.0
all,aki,WBC,PopRI,52112,7912,0.5608,0.5539,0.5678,0.5128,0.561,0.0482,0.1518,0.1848,1.217,0.0022,0.262973
all,mortality,ALB,Cohen_m2,18907,2638,0.6388,0.6275,0.6501,0.5394,0.6323,0.0929,0.1395,0.2233,1.601,0.0578,0.0
all,mortality,ALB,Cohen_m3,18907,2638,0.6376,0.6262,0.6489,0.5394,0.6331,0.0937,0.1395,0.2248,1.611,0.0566,0.0
all,mortality,ALB,Cohen_m4,18907,2638,0.6321,0.6206,0.6436,0.5394,0.6288,0.0893,0.1395,0.2206,1.581,0.0511,0.0
all,mortality,ALB,Gaussian_eb,18907,2638,0.6181,0.6068,0.6295,0.5394,0.6168,0.0773,0.1395,0.1971,1.413,0.0372,0.0
all,mortality,ALB,Gaussian_mle,18665,2602,0.6191,0.6078,0.6303,0.544,0.6043,0.0603,0.1394,0.1886,1.353,0.0366,0.0
all,mortality,ALB,Gaussian_trunc,18665,2602,0.5969,0.5854,0.6084,0.544,0.5788,0.0348,0.1394,0.1751,1.256,0.0144,0.036079
all,mortality,ALB,NORMA_334f7e21,18907,2638,0.5826,0.5707,0.5945,0.5394,0.5873,0.0479,0.1395,0.1935,1.387,0.0016,0.390944
all,mortality,ALB,NORMA_q_age,18907,2638,0.5925,0.5806,0.6044,0.5394,0.5952,0.0558,0.1395,0.197,1.412,0.0115,0.0
all,mortality,ALB,NORMA_q_age_set,18907,2638,0.581,0.5691,0.5929,0.5394,0.5832,0.0438,0.1395,0.1925,1.38,,
all,mortality,ALB,NORMA_q_age_set_co,18907,2638,0.5697,0.5578,0.5817,0.5394,0.5818,0.0423,0.1395,0.1837,1.316,-0.0112,0.000783
all,mortality,ALB,PerRI,18907,2638,0.5633,0.5515,0.5751,0.5394,0.5643,0.0248,0.1395,0.169,1.212,-0.0177,0.02582
all,mortality,ALB,PopRI,18907,2638,0.6303,0.6188,0.6418,0.5394,0.6277,0.0883,0.1395,0.2131,1.527,0.0494,0.0
all,mortality,ALP,Cohen_m2,13536,1903,0.5774,0.564,0.5909,0.5416,0.5826,0.041,0.1406,0.1705,1.213,0.0049,0.365351
all,mortality,ALP,Cohen_m3,13536,1903,0.569,0.5552,0.5829,0.5416,0.5753,0.0338,0.1406,0.168,1.195,-0.0035,0.65852
all,mortality,ALP,Cohen_m4,13536,1903,0.5739,0.5602,0.5876,0.5416,0.5764,0.0348,0.1406,0.1692,1.203,0.0014,0.861437
