outcome,analyte,method,n,n_flagged,flag_rate,logrank_p,rr_24h,rr_72h,rr_168h,rr_720h,landmark_hours,anchor,target_sensitivity
aki,ALB,Cohen_m2,719,117,0.1627260083449235,0.6177269903284872,2.192867785460712,0.998971978548955,1.725881739161132,0.7587527281377215,0.0,sensitivity,0.25
aki,ALB,Cohen_m2,502,130,0.2589641434262948,0.9823637893367916,1.2443019680344367,1.2653475683005224,1.2379183605912003,0.6162901766687418,24.0,sensitivity,0.25
aki,ALB,Cohen_m2,502,115,0.2290836653386454,0.7691943571376438,0.0,0.9917662684053632,1.257348836918292,0.6492939009457706,24.0,soc_rate,0.25
aki,ALB,Cohen_m2,218,71,0.3256880733944954,0.8038095461493587,,4.457478005865075,1.2093932574052657,0.416202030098219,72.0,soc_rate,0.25
aki,ALB,Cohen_m3,719,134,0.1863699582753824,0.6368135043375871,1.9339576259707127,0.9605869307854532,1.6970793987600632,0.7684041884058047,0.0,sensitivity,0.25
aki,ALB,Cohen_m3,502,182,0.3625498007968127,0.5786040693503414,0.0,0.5740312864040908,0.7242738753523403,2.824159932555093,24.0,sensitivity,0.25
aki,ALB,Cohen_m3,502,115,0.2290836653386454,0.9028390870184214,0.0,1.0493337262005524,1.3207986983271744,0.7117278045281581,24.0,soc_rate,0.25
aki,ALB,Cohen_m3,218,71,0.3256880733944954,0.5505252961677549,,4.938239835306363,1.460606148470874,0.5207936549475541,72.0,soc_rate,0.25
aki,ALB,Cohen_m4,719,250,0.3477051460361613,0.3259842706052208,0.8782169806687948,0.4449451918749264,0.93600069328037,0.4473442884094279,0.0,sensitivity,0.25
aki,ALB,Cohen_m4,502,223,0.4442231075697211,0.2727248667613631,0.0,0.6794659840973236,0.7248786702788962,0.4031620807210548,24.0,sensitivity,0.25
aki,ALB,Cohen_m4,502,115,0.2290836653386454,0.5274427990497604,0.0,0.648414134101541,1.233038311842565,0.6767803102774652,24.0,soc_rate,0.25
aki,ALB,Cohen_m4,218,71,0.3256880733944954,0.4509317386973969,,5.533577533577287,1.6409919582333237,0.5993547454504604,72.0,soc_rate,0.25
aki,ALB,Gaussian_eb,719,97,0.1349095966620306,0.8670561001239393,0.7382518015265193,0.8807081143763367,1.70502706342985,0.7486953573443198,0.0,sensitivity,0.25
