dataset,target_state,analyte,method,n,mae,mape,rmse,r2,bias,n_analytes,n_targets
ehrshot,normal,A1C,NORMA_normal,30.0,0.1395096143086751,2.774534441793709,0.1983856089302715,0.6555701590084484,0.0112997563680012,,
ehrshot,normal,A1C,NORMA_marginal,30.0,0.1787002746716452,3.502196653257552,0.2504547371845024,0.4510422224781956,0.1178787901259759,,
ehrshot,normal,A1C,NORMA_marginal_freq,30.0,0.3977029037879266,7.896495988895519,0.4744165442698242,-0.9697000362624452,0.3977029037879266,,
ehrshot,normal,A1C,NORMA_oracle,30.0,0.1395096143086751,2.774534441793709,0.1983856089302715,0.6555701590084484,0.0112997563680012,,
ehrshot,normal,A1C,Mean,30.0,0.5062520883248467,9.844640319088274,0.8215304574897226,-4.906466971265517,0.4202520826557828,,
ehrshot,normal,A1C,Last,30.0,0.1866667207082112,3.631065978305666,0.2516611592109388,0.4457409067497651,0.0733333619435628,,
ehrshot,normal,A1C,ARIMA,30.0,0.3242488803179584,6.158293395484917,0.4855486225633374,-1.0632216879214202,0.1375131524289331,,
ehrshot,normal,A1C,PopRI,30.0,0.4466666666666669,8.441147502177007,0.5085928299402841,-1.263710618436407,-0.3800000000000001,,
ehrshot,normal,A1C,PerRI,30.0,0.4854387462237534,9.347351373894687,0.8699371498251673,-5.623021977648213,0.3930895398745433,,
ehrshot,normal,A1C,Gaussian_mle,30.0,0.2647672735760972,5.06836196627001,0.3660414629897171,-0.1725760148277633,-0.1049152661064425,,
ehrshot,normal,A1C,Gaussian_trunc,30.0,0.4910514879367449,9.500112147667354,1.0108982381712,-7.943248960947807,0.0337982597115846,,
ehrshot,normal,A1C,Gaussian_eb,30.0,0.1957540507465799,3.843907140933113,0.2723405200984068,0.3509099280559739,0.0092965979963018,,
ehrshot,normal,A1C,Cohen_m2,30.0,0.3977797031402588,7.817842546308413,0.5179672051061911,-1.347929045205826,0.295395154953003,,
ehrshot,normal,A1C,Cohen_m3,30.0,0.475395148595174,9.58168617134924,0.6057200164233133,-2.21088160702327,0.4445142777760822,,
ehrshot,normal,A1C,Cohen_m4,30.0,0.3006016508738199,6.0336945331174165,0.3892675016818716,-0.3261014107261897,0.2392605177561442,,
ehrshot,all_states,A1C,NORMA_normal,107.0,0.9176694468917134,12.443318620576868,1.3392119877126047,-0.1286493287699681,-0.8592113806822591,,
ehrshot,all_states,A1C,NORMA_marginal,107.0,0.3775990249356223,5.3592934762292845,0.6541742347018757,0.7306932484860877,-0.1485229181029445,,
ehrshot,all_states,A1C,NORMA_marginal_freq,107.0,0.5879637316555271,8.451362185642623,0.8589598213413137,0.5356921023938472,-0.3000856692838311,,
ehrshot,all_states,A1C,NORMA_oracle,107.0,0.3509285695084901,4.939641989878958,0.6241322304217432,0.7548603329722765,-0.0764105725511212,,
ehrshot,all_states,A1C,Mean,107.0,0.5857274904820576,8.767683920779497,0.9045993886915816,0.4850406462174425,0.0003065155529701,,
ehrshot,all_states,A1C,Last,107.0,0.3859813467364444,5.50984148671414,0.663536263873561,0.7229298770129298,-0.0028037249484909,,
ehrshot,all_states,A1C,ARIMA,107.0,0.5086853913876702,7.345933578137012,0.8491017271670549,0.5462884659420215,0.01092446403719,,
ehrshot,all_states,A1C,PopRI,107.0,1.721495327102804,24.014154561541208,2.118631192737689,-1.8246919714705343,-1.7028037383177572,,
ehrshot,all_states,A1C,PerRI,107.0,0.6101398640923504,9.007781387169825,0.977974822900571,0.398111951048004,-0.0232461064599953,,
ehrshot,all_states,A1C,Gaussian_mle,107.0,1.5584821562439763,21.33783825587151,2.027727521795835,-1.587495259549772,-1.513663836392671,,
ehrshot,all_states,A1C,Gaussian_trunc,107.0,1.7945991342936127,25.37397506300549,2.291970547558333,-2.30581416582346,-1.1143133233283518,,
ehrshot,all_states,A1C,Gaussian_eb,107.0,1.4844465126152726,20.17622321148864,1.976337470220682,-1.4580039738469357,-1.4269556765191376,,
ehrshot,all_states,A1C,Cohen_m2,107.0,0.950841278004869,12.96407447946241,1.3501084816401785,-0.1470905513590064,-0.728139501197316,,
ehrshot,all_states,A1C,Cohen_m3,107.0,0.9488353666858138,13.087749796112046,1.3488728436027762,-0.1449918457661627,-0.6662971487669186,,
ehrshot,all_states,A1C,Cohen_m4,107.0,0.9993172048408294,13.48730097632088,1.4237972141137498,-0.2757237739159111,-0.8417326383501571,,
ehrshot,normal,ALB,NORMA_normal,260.0,0.1982277140250573,4.913419897320288,0.2556392507153966,0.5409563989142712,0.0127023150370671,,
ehrshot,normal,ALB,NORMA_marginal,260.0,0.2258511674095221,5.568130937835483,0.2993633452499717,0.3704994521568935,-0.090706261861584,,
ehrshot,normal,ALB,NORMA_marginal_freq,260.0,0.2359184686090171,5.632562373981463,0.3038517571658993,0.3514814987594494,-0.1633726209579295,,
ehrshot,normal,ALB,NORMA_oracle,260.0,0.1982277140250573,4.913419897320288,0.2556392507153966,0.5409563989142712,0.0127023150370671,,
ehrshot,normal,ALB,Mean,260.0,0.3691351365758069,9.042726086131104,0.485155513690785,-0.6533348066146134,-0.2671903422071305,,
ehrshot,normal,ALB,Last,260.0,0.2588461665006784,6.421060874171884,0.3542597928173148,0.118458840357336,-0.0649999990830054,,
ehrshot,normal,ALB,ARIMA,260.0,0.3185938686864058,7.901546007251984,0.4930599434687146,-0.7076478242038267,-0.0869471902325934,,
ehrshot,normal,ALB,PopRI,260.0,0.5059615384615385,13.229097245141825,0.5897603815892585,-1.4431495680902429,0.4532692307692307,,
ehrshot,normal,ALB,PerRI,260.0,0.368107187993861,9.075574275562785,0.5060261008337719,-0.7986418849893218,-0.2487559854253149,,
ehrshot,normal,ALB,Gaussian_mle,260.0,0.239969260762463,5.920515020299449,0.31160208822053,0.3179761140235002,-0.0236264950344721,,
ehrshot,normal,ALB,Gaussian_trunc,260.0,1.0051788988753323,25.816578635925875,2.048795264582555,-28.48465084660869,-0.8474362619328892,,
ehrshot,normal,ALB,Gaussian_eb,260.0,0.2309429426225217,5.638112233572986,0.2938961391554234,0.3932823520301702,-0.050858606483898,,
ehrshot,normal,ALB,Cohen_m2,260.0,0.3593876875363863,8.773680889642629,0.4608481719373483,-0.4918137446117476,-0.2451733860602745,,
ehrshot,normal,ALB,Cohen_m3,260.0,0.2665927542172945,6.414630144275285,0.3524082240063103,0.1276496581971937,-0.1336342826256384,,
ehrshot,normal,ALB,Cohen_m4,260.0,0.2326070968921367,5.674048339368048,0.2968468123294868,0.3810384873028944,-0.0521520115778995,,
ehrshot,all_states,ALB,NORMA_normal,525.0,0.5434505939483643,22.38542172644518,0.7638862725360568,0.178772413516612,0.4512685153597877,,
ehrshot,all_states,ALB,NORMA_marginal,525.0,0.2316026655456147,7.433543568832084,0.3080322484096592,0.866463960872767,0.0192109703883346,,
ehrshot,all_states,ALB,NORMA_marginal_freq,525.0,0.48032993964961,19.28517176952548,0.6596533501777447,0.3875965010636008,0.2818590045606488,,
ehrshot,all_states,ALB,NORMA_oracle,525.0,0.1933415834790184,6.196528517226961,0.252194629411082,0.9104887161506142,0.0048852618535359,,
ehrshot,all_states,ALB,Mean,525.0,0.3954157114137597,13.51174297331436,0.5144864775758436,0.6274761801319155,0.0051226802556595,,
ehrshot,all_states,ALB,Last,525.0,0.2483809631892612,7.754419482503676,0.3421500678477868,0.8352447056429955,-0.0026666677565801,,
ehrshot,all_states,ALB,ARIMA,525.0,0.2951954552180054,9.136660264780348,0.4474733704657735,0.7182003114110784,-0.0156204379219787,,
ehrshot,all_states,ALB,PopRI,525.0,1.180857142857143,46.48596695976511,1.4296936068696011,-1.8766834103500225,1.1547619047619049,,
ehrshot,all_states,ALB,PerRI,525.0,0.4090310726728793,14.072079219626229,0.550700612928084,0.5731873937297318,0.0210591850549845,,
ehrshot,all_states,ALB,Gaussian_mle,525.0,0.8171016812224478,34.2815207465678,1.144333638936465,-0.8429410676998808,0.6865590212087275,,
ehrshot,all_states,ALB,Gaussian_trunc,525.0,1.41148547242655,50.90789487375132,2.1503157002113027,-5.507445959380102,-0.203705627316376,,
ehrshot,all_states,ALB,Gaussian_eb,525.0,0.7934481193770883,33.156247562302326,1.1038530784230012,-0.7148599781270772,0.6538892569624803,,
ehrshot,all_states,ALB,Cohen_m2,525.0,0.5659551551455544,22.607147324263146,0.7463145319026886,0.2161194030567989,0.2638877332778204,,
ehrshot,all_states,ALB,Cohen_m3,525.0,0.6470176946549189,26.45844759225756,0.8589752134608654,-0.0384064631692198,0.4488100192660377,,
ehrshot,all_states,ALB,Cohen_m4,525.0,0.669569946743193,27.65169080291488,0.8941587156931499,-0.1252145692475563,0.5285463882627941,,
ehrshot,normal,ALP,NORMA_normal,337.0,9.600165766141536,12.885415031161346,12.755806898846366,0.6560988599530472,0.0648907285062071,,
ehrshot,normal,ALP,NORMA_marginal,337.0,10.802517954339928,14.47583761918052,14.986446308079868,0.5253045517218013,3.030669728322976,,
ehrshot,normal,ALP,NORMA_marginal_freq,337.0,10.836923842272258,15.598268821556946,13.859629205871403,0.5940047371360415,5.329401282992571,,
