Dataset,Outcome,Subset,Method,N,Events,NRI,NRI (events),NRI (non-events),SE,p-value
eICU-CRD,Prolonged LOS (>7d),refit,Per$_{RI}$,"1,657",292,-0.0005,0.0068,-0.0073,nan,---
eICU-CRD,Prolonged LOS (>7d),refit,Cohen,"1,657",292,-0.0687,-0.0548,-0.0139,nan,---
eICU-CRD,Prolonged LOS (>7d),refit,Gaussian,"1,657",292,0.0230,0.0171,0.0059,nan,---
eICU-CRD,Prolonged LOS (>7d),refit,Trunc. Gaussian,"1,657",292,-0.0105,0.0137,-0.0242,nan,---
eICU-CRD,Prolonged LOS (>7d),refit,Empirical Bayes,"1,657",292,0.0257,0.0103,0.0154,nan,---
eICU-CRD,Prolonged LOS (>7d),refit,NORMA$_{RI}$,"1,657",292,0.0381,0.0205,0.0176,nan,---
eICU-CRD,Prolonged LOS (>7d),refit,NORMA | sex,"1,657",292,0.0618,0.0377,0.0242,nan,---
eICU-CRD,Prolonged LOS (>7d),refit,"NORMA | sex, age","1,657",292,0.0257,0.0103,0.0154,nan,---
eICU-CRD,Prolonged LOS (>7d),refit,"NORMA | sex, age, setting, analytes","1,657",292,-0.0044,-0.0205,0.0161,nan,---
eICU-CRD,Mortality,swap,Per$_{RI}$,"1,660",207,-0.0243,0.9227,-0.9470,0.0195,0.21
eICU-CRD,Mortality,swap,Cohen,"1,660",207,-0.0279,0.8502,-0.8782,0.0262,0.30
eICU-CRD,Mortality,swap,Gaussian,"1,660",207,-0.0801,0.6667,-0.7467,0.0337,0.02
eICU-CRD,Mortality,swap,Trunc. Gaussian,"1,660",207,-0.0187,0.9565,-0.9752,0.0145,0.21
eICU-CRD,Mortality,swap,Empirical Bayes,"1,660",207,-0.0850,0.3913,-0.4763,0.0355,0.02
eICU-CRD,Mortality,swap,NORMA$_{RI}$,"1,660",207,-0.0631,0.3285,-0.3916,0.0338,0.06
eICU-CRD,Mortality,swap,NORMA | sex,"1,660",207,-0.0340,0.3913,-0.4253,0.0352,0.32
eICU-CRD,Mortality,swap,"NORMA | sex, age","1,660",207,-0.0368,0.3768,-0.4136,0.0369,0.31
eICU-CRD,Mortality,swap,"NORMA | sex, age, setting, analytes","1,660",207,-0.0569,0.5700,-0.6270,0.0360,0.11
eICU-CRD,Acute Kidney Injury,swap,Per$_{RI}$,"1,657",238,-0.0333,0.9202,-0.9535,0.0184,0.07
eICU-CRD,Acute Kidney Injury,swap,Cohen,"1,657",238,0.0330,0.9034,-0.8703,0.0213,0.12
eICU-CRD,Acute Kidney Injury,swap,Gaussian,"1,657",238,-0.0060,0.7227,-0.7287,0.0299,0.81
eICU-CRD,Acute Kidney Injury,swap,Trunc. Gaussian,"1,657",238,-0.0040,0.9664,-0.9704,0.0128,0.76
eICU-CRD,Acute Kidney Injury,swap,Empirical Bayes,"1,657",238,-0.0205,0.4496,-0.4700,0.0334,0.56
eICU-CRD,Acute Kidney Injury,swap,NORMA$_{RI}$,"1,657",238,-0.0459,0.3529,-0.3989,0.0330,0.17
