method,state,analyte,n,coverage95,width_rel,inside_pop,n_analytes
Cohen_m2,normal,TBIL,32,0.7188,1.2354,0.7878,
Cohen_m2,normal,WBC,47,1.0,1.5191,0.6583,
Cohen_m2,all,A1C,46,0.1957,0.6374,0.1328,
Cohen_m2,all,ALB,39,0.4103,0.5035,1.0,
Cohen_m2,all,ALP,34,0.5294,0.753,1.0,
Cohen_m2,all,ALT,45,0.6889,1.2336,0.7591,
Cohen_m2,all,AST,26,0.5769,0.9165,0.9506,
Cohen_m2,all,BUN,28,0.7857,1.1983,0.8263,
Cohen_m2,all,CA,27,0.5185,0.907,0.8445,
Cohen_m2,all,CL,33,0.5758,1.2736,0.7852,
Cohen_m2,all,CO2,38,0.7895,1.7712,0.5646,
Cohen_m2,all,CRE,27,0.5556,0.7902,0.8042,
Cohen_m2,all,DBIL,27,0.8889,1.7422,0.574,
Cohen_m2,all,GLU,39,0.1795,1.7181,0.5821,
Cohen_m2,all,HCT,22,0.6818,1.2737,0.7558,
Cohen_m2,all,HDL,37,0.7027,0.5835,1.0,
Cohen_m2,all,HGB,29,0.3793,0.9082,0.6349,
Cohen_m2,all,K,31,0.6452,0.9975,0.7577,
Cohen_m2,all,LDL,37,0.7297,0.6615,0.688,
Cohen_m2,all,MCH,35,0.4286,0.9421,0.7261,
Cohen_m2,all,MCHC,44,0.75,1.2401,0.5832,
Cohen_m2,all,MCV,28,0.3929,0.5865,1.0,
Cohen_m2,all,NA,25,0.72,1.0203,0.7869,
Cohen_m2,all,PLT,38,0.4737,0.5804,1.0,
Cohen_m2,all,RBC,51,0.451,0.7543,0.7972,
Cohen_m2,all,RDW,43,0.5349,0.5058,0.8904,
Cohen_m2,all,TBIL,54,0.5926,1.2354,0.8061,
Cohen_m2,all,TC,24,0.5833,0.9498,0.6438,
Cohen_m2,all,TGL,28,0.7857,1.3406,0.66,
Cohen_m2,all,TP,24,0.4167,0.7844,1.0,
Cohen_m2,all,WBC,59,0.9831,1.5191,0.6583,
Cohen_m3,high,A1C,29,0.1379,0.6104,0.3861,
Cohen_m3,high,GLU,33,0.0909,1.6922,0.591,
Cohen_m3,normal,ALB,28,0.5,0.5203,1.0,
Cohen_m3,normal,ALP,31,0.4839,0.7439,1.0,
Cohen_m3,normal,ALT,24,0.8333,1.1877,0.6543,
Cohen_m3,normal,HDL,30,0.6333,0.5823,1.0,
Cohen_m3,normal,K,22,0.8636,1.0521,0.7335,
Cohen_m3,normal,LDL,24,0.9167,0.6272,0.8037,
Cohen_m3,normal,MCHC,22,1.0,1.2063,0.5719,
Cohen_m3,normal,PLT,33,0.5758,0.59,1.0,
Cohen_m3,normal,RBC,25,0.68,0.7628,0.8743,
Cohen_m3,normal,RDW,28,0.4643,0.4878,0.8533,
Cohen_m3,normal,TBIL,32,0.8438,1.0824,0.8775,
Cohen_m3,normal,WBC,47,0.9787,1.5302,0.6535,
Cohen_m3,all,A1C,46,0.1522,0.6104,0.3536,
Cohen_m3,all,ALB,39,0.3846,0.5203,1.0,
Cohen_m3,all,ALP,34,0.5,0.7439,0.9745,
Cohen_m3,all,ALT,45,0.7111,1.1877,0.6043,
Cohen_m3,all,AST,26,0.6154,0.9399,0.9328,
Cohen_m3,all,BUN,28,0.6429,1.1816,0.8131,
Cohen_m3,all,CA,27,0.5185,0.9201,0.872,
Cohen_m3,all,CL,33,0.5758,1.2675,0.789,
Cohen_m3,all,CO2,38,0.6316,1.7061,0.5861,
Cohen_m3,all,CRE,27,0.6296,0.7661,0.8674,
Cohen_m3,all,DBIL,27,1.0,2.0412,0.4899,
Cohen_m3,all,GLU,39,0.2051,1.6922,0.591,
Cohen_m3,all,HCT,22,0.5455,1.2713,0.7086,
Cohen_m3,all,HDL,37,0.6216,0.5823,0.9723,
Cohen_m3,all,HGB,29,0.4138,0.8812,0.6872,
Cohen_m3,all,K,31,0.7097,1.0521,0.7335,
Cohen_m3,all,LDL,37,0.7568,0.6272,0.7664,
Cohen_m3,all,MCH,35,0.4286,0.9034,0.79,
Cohen_m3,all,MCHC,44,0.75,1.2063,0.615,
Cohen_m3,all,MCV,28,0.3929,0.5964,1.0,
Cohen_m3,all,NA,25,0.72,1.0231,0.8485,
Cohen_m3,all,PLT,38,0.5,0.59,1.0,
Cohen_m3,all,RBC,51,0.3922,0.7628,0.811,
