subset,analyte,n,n_patients,PopRI_pct,PopRI_valid,PopRI_abn,PopRI_pct_lo,PopRI_pct_hi,PerRI_pct,PerRI_valid,PerRI_abn,PerRI_pct_lo,PerRI_pct_hi,PerRI_reclass_pct,PerRI_reclass_valid,PerRI_reclass_abn,PerRI_reclass_pct_lo,PerRI_reclass_pct_hi,Cohen_m2_pct,Cohen_m2_valid,Cohen_m2_abn,Cohen_m2_pct_lo,Cohen_m2_pct_hi,Cohen_m2_reclass_pct,Cohen_m2_reclass_valid,Cohen_m2_reclass_abn,Cohen_m2_reclass_pct_lo,Cohen_m2_reclass_pct_hi,Cohen_m3_pct,Cohen_m3_valid,Cohen_m3_abn,Cohen_m3_pct_lo,Cohen_m3_pct_hi,Cohen_m3_reclass_pct,Cohen_m3_reclass_valid,Cohen_m3_reclass_abn,Cohen_m3_reclass_pct_lo,Cohen_m3_reclass_pct_hi,Cohen_m4_pct,Cohen_m4_valid,Cohen_m4_abn,Cohen_m4_pct_lo,Cohen_m4_pct_hi,Cohen_m4_reclass_pct,Cohen_m4_reclass_valid,Cohen_m4_reclass_abn,Cohen_m4_reclass_pct_lo,Cohen_m4_reclass_pct_hi,Gaussian_mle_pct,Gaussian_mle_valid,Gaussian_mle_abn,Gaussian_mle_pct_lo,Gaussian_mle_pct_hi,Gaussian_mle_reclass_pct,Gaussian_mle_reclass_valid,Gaussian_mle_reclass_abn,Gaussian_mle_reclass_pct_lo,Gaussian_mle_reclass_pct_hi,Gaussian_trunc_pct,Gaussian_trunc_valid,Gaussian_trunc_abn,Gaussian_trunc_pct_lo,Gaussian_trunc_pct_hi,Gaussian_trunc_reclass_pct,Gaussian_trunc_reclass_valid,Gaussian_trunc_reclass_abn,Gaussian_trunc_reclass_pct_lo,Gaussian_trunc_reclass_pct_hi,Gaussian_eb_pct,Gaussian_eb_valid,Gaussian_eb_abn,Gaussian_eb_pct_lo,Gaussian_eb_pct_hi,Gaussian_eb_reclass_pct,Gaussian_eb_reclass_valid,Gaussian_eb_reclass_abn,Gaussian_eb_reclass_pct_lo,Gaussian_eb_reclass_pct_hi,NORMA_q_age_set_pct,NORMA_q_age_set_valid,NORMA_q_age_set_abn,NORMA_q_age_set_pct_lo,NORMA_q_age_set_pct_hi,NORMA_q_age_set_reclass_pct,NORMA_q_age_set_reclass_valid,NORMA_q_age_set_reclass_abn,NORMA_q_age_set_reclass_pct_lo,NORMA_q_age_set_reclass_pct_hi,n_popri_normal,PopRI_per_1000,PerRI_per_1000,Cohen_m2_per_1000,Cohen_m3_per_1000,Cohen_m4_per_1000,Gaussian_mle_per_1000,Gaussian_trunc_per_1000,Gaussian_eb_per_1000,NORMA_q_age_set_per_1000,PopRI_pct_median,PopRI_pct_q25,PopRI_pct_q75,PerRI_pct_median,PerRI_pct_q25,PerRI_pct_q75,PerRI_reclass_pct_median,PerRI_reclass_pct_q25,PerRI_reclass_pct_q75,Cohen_m2_pct_median,Cohen_m2_pct_q25,Cohen_m2_pct_q75,Cohen_m2_reclass_pct_median,Cohen_m2_reclass_pct_q25,Cohen_m2_reclass_pct_q75,Cohen_m3_pct_median,Cohen_m3_pct_q25,Cohen_m3_pct_q75,Cohen_m3_reclass_pct_median,Cohen_m3_reclass_pct_q25,Cohen_m3_reclass_pct_q75,Cohen_m4_pct_median,Cohen_m4_pct_q25,Cohen_m4_pct_q75,Cohen_m4_reclass_pct_median,Cohen_m4_reclass_pct_q25,Cohen_m4_reclass_pct_q75,Gaussian_mle_pct_median,Gaussian_mle_pct_q25,Gaussian_mle_pct_q75,Gaussian_mle_reclass_pct_median,Gaussian_mle_reclass_pct_q25,Gaussian_mle_reclass_pct_q75,Gaussian_trunc_pct_median,Gaussian_trunc_pct_q25,Gaussian_trunc_pct_q75,Gaussian_trunc_reclass_pct_median,Gaussian_trunc_reclass_pct_q25,Gaussian_trunc_reclass_pct_q75,Gaussian_eb_pct_median,Gaussian_eb_pct_q25,Gaussian_eb_pct_q75,Gaussian_eb_reclass_pct_median,Gaussian_eb_reclass_pct_q25,Gaussian_eb_reclass_pct_q75,NORMA_q_age_set_pct_median,NORMA_q_age_set_pct_q25,NORMA_q_age_set_pct_q75,NORMA_q_age_set_reclass_pct_median,NORMA_q_age_set_reclass_pct_q25,NORMA_q_age_set_reclass_pct_q75
all,DBIL,28,11,35.71,28,10,20.71,54.17,35.71,28,10,20.71,54.17,0.0,18,0,0.0,17.59,33.33,27,9,18.64,52.18,0.0,18.0,0.0,0.0,17.59,33.33,27,9,18.64,52.18,0.0,18.0,0.0,0.0,17.59,33.33,27,9,18.64,52.18,0.0,18.0,0.0,0.0,17.59,57.14,28,16,39.07,73.49,33.33,18,6,16.28,56.25,53.57,28,15,35.81,70.47,27.78,18,5,12.5,50.87,35.71,28,10,20.71,54.17,0.0,18,0,0.0,17.59,40.74,27,11,24.51,59.27,11.11,18,2,3.1,32.8,18,357.0,357.0,333.0,333.0,333.0,571.0,536.0,357.0,407.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,GLU,39,18,87.18,39,34,73.29,94.4,89.74,39,35,76.42,95.94,20.0,5,1,3.62,62.45,87.18,39,34,73.29,94.4,0.0,5.0,0.0,-0.0,43.45,87.18,39,34,73.29,94.4,0.0,5.0,0.0,-0.0,43.45,89.74,39,35,76.42,95.94,20.0,5.0,1.0,3.62,62.45,87.18,39,34,73.29,94.4,0.0,5,0,-0.0,43.45,87.18,39,34,73.29,94.4,0.0,5,0,-0.0,43.45,87.18,39,34,73.29,94.4,0.0,5,0,-0.0,43.45,87.18,39,34,73.29,94.4,0.0,5,0,-0.0,43.45,5,872.0,897.0,872.0,872.0,897.0,872.0,872.0,872.0,872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,HCT,22,11,50.0,22,11,30.72,69.28,50.0,22,11,30.72,69.28,0.0,11,0,0.0,25.88,54.55,22,12,34.66,73.08,9.09,11.0,1.0,1.62,37.74,54.55,22,12,34.66,73.08,9.09,11.0,1.0,1.62,37.74,54.55,22,12,34.66,73.08,9.09,11.0,1.0,1.62,37.74,63.64,22,14,42.95,80.27,27.27,11,3,9.75,56.57,77.27,22,17,56.56,89.88,54.55,11,6,28.01,78.73,50.0,22,11,30.72,69.28,0.0,11,0,0.0,25.88,54.55,22,12,34.66,73.08,9.09,11,1,1.62,37.74,11,500.0,500.0,545.0,545.0,545.0,636.0,773.0,500.0,545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,HDL,37,18,18.92,37,7,9.48,34.21,27.03,37,10,15.4,42.98,10.0,30,3,3.46,25.62,43.24,37,16,28.67,59.09,30.0,30.0,9.0,16.66,47.88,48.65,37,18,33.45,64.11,36.67,30.0,11.0,21.87,54.49,48.65,37,18,33.45,64.11,36.67,30.0,11.0,21.87,54.49,27.03,37,10,15.4,42.98,10.0,30,3,3.46,25.62,43.24,37,16,28.67,59.09,30.0,30,9,16.66,47.88,18.92,37,7,9.48,34.21,0.0,30,0,-0.0,11.35,18.92,37,7,9.48,34.21,0.0,30,0,-0.0,11.35,30,189.0,270.0,432.0,486.0,486.0,270.0,432.0,189.0,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,HGB,29,12,41.38,29,12,25.51,59.26,44.83,29,13,28.41,62.45,5.88,17,1,1.05,26.98,72.41,29,21,54.28,85.3,52.94,17.0,9.0,30.96,73.84,68.97,29,20,50.77,82.72,47.06,17.0,8.0,26.16,69.04,82.76,29,24,65.45,92.4,70.59,17.0,12.0,46.87,86.72,48.28,29,14,31.39,65.57,11.76,17,2,3.29,34.34,65.52,29,19,47.34,80.06,41.18,17,7,21.61,63.99,41.38,29,12,25.51,59.26,0.0,17,0,0.0,18.43,48.28,29,14,31.39,65.57,11.76,17,2,3.29,34.34,17,414.0,448.0,724.0,690.0,828.0,483.0,655.0,414.0,483.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,K,31,13,29.03,31,9,16.1,46.59,32.26,31,10,18.57,49.86,4.55,22,1,0.81,21.8,45.16,31,14,29.16,62.23,22.73,22.0,5.0,10.12,43.44,38.71,31,12,23.73,56.18,13.64,22.0,3.0,4.75,33.34,38.71,31,12,23.73,56.18,13.64,22.0,3.0,4.75,33.34,48.39,31,15,31.97,65.16,27.27,22,6,13.15,48.15,80.65,31,25,63.72,90.81,72.73,22,16,51.85,86.85,29.03,31,9,16.1,46.59,0.0,22,0,0.0,14.87,32.26,31,10,18.57,49.86,4.55,22,1,0.81,21.8,22,290.0,323.0,452.0,387.0,387.0,484.0,806.0,290.0,323.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,LDL,37,20,35.14,37,13,21.83,51.24,37.84,37,14,24.06,53.9,4.17,24,1,0.74,20.24,54.05,37,20,38.38,68.96,29.17,24.0,7.0,14.91,49.17,40.54,37,15,26.35,56.51,8.33,24.0,2.0,2.32,25.85,43.24,37,16,28.67,59.09,12.5,24.0,3.0,4.34,31.0,37.84,37,14,24.06,53.9,4.17,24,1,0.74,20.24,40.54,37,15,26.35,56.51,8.33,24,2,2.32,25.85,35.14,37,13,21.83,51.24,0.0,24,0,0.0,13.8,37.84,37,14,24.06,53.9,4.17,24,1,0.74,20.24,24,351.0,378.0,541.0,405.0,432.0,378.0,405.0,351.0,378.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,MCH,35,16,51.43,35,18,35.57,67.01,54.29,35,19,38.19,69.53,5.88,17,1,1.05,26.98,60.0,35,21,43.57,74.45,17.65,17.0,3.0,6.19,41.03,60.0,35,21,43.57,74.45,17.65,17.0,3.0,6.19,41.03,65.71,35,23,49.15,79.17,29.41,17.0,5.0,13.28,53.13,62.86,35,22,46.34,76.83,23.53,17,4,9.55,47.26,68.57,35,24,52.02,81.45,35.29,17,6,17.31,58.7,51.43,35,18,35.57,67.01,0.0,17,0,0.0,18.43,54.29,35,19,38.19,69.53,5.88,17,1,1.05,26.98,17,514.0,543.0,600.0,600.0,657.0,629.0,686.0,514.0,543.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,MCHC,46,20,50.0,46,23,36.12,63.88,50.0,46,23,36.12,63.88,0.0,23,0,-0.0,14.31,50.0,44,22,35.83,64.17,0.0,22.0,0.0,0.0,14.87,50.0,44,22,35.83,64.17,0.0,22.0,0.0,0.0,14.87,52.27,44,23,37.94,66.25,4.55,22.0,1.0,0.81,21.8,52.17,46,24,38.14,65.88,4.35,23,1,0.77,20.99,60.87,46,28,46.46,73.61,21.74,23,5,9.66,41.9,50.0,46,23,36.12,63.88,0.0,23,0,-0.0,14.31,50.0,44,22,35.83,64.17,0.0,22,0,0.0,14.87,23,500.0,500.0,500.0,500.0,523.0,522.0,609.0,500.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,MCV,28,15,32.14,28,9,17.93,50.66,35.71,28,10,20.71,54.17,5.26,19,1,0.94,24.64,60.71,28,17,42.41,76.43,42.11,19.0,8.0,23.14,63.72,60.71,28,17,42.41,76.43,42.11,19.0,8.0,23.14,63.72,75.0,28,21,56.64,87.32,63.16,19.0,12.0,41.04,80.85,46.43,28,13,29.53,64.19,21.05,19,4,8.51,43.33,53.57,28,15,35.81,70.47,31.58,19,6,15.36,53.99,32.14,28,9,17.93,50.66,0.0,19,0,0.0,16.82,35.71,28,10,20.71,54.17,5.26,19,1,0.94,24.64,19,321.0,357.0,607.0,607.0,750.0,464.0,536.0,321.0,357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
