age_band,PopRI,PerRI,Gaussian_mle,Gaussian_trunc,Gaussian_eb,NORMA
20.0,3.69,1.32,1.83,1.55,1.76,2.0
30.0,4.07,1.26,1.83,1.44,1.73,2.04
40.0,4.51,1.3,1.78,1.3,1.55,1.99
50.0,4.55,1.14,1.57,1.21,1.41,1.94
60.0,4.24,1.11,1.64,1.24,1.46,1.97
70.0,4.15,1.19,1.79,1.34,1.61,2.09
80.0,3.3,1.09,1.57,1.32,1.49,1.73
