method,state,analyte,coverage95,width_rel,n,inside_pop
PerRI,all,TC,,0.467,,0.853
PerRI,all,TP,,0.527,,1.0
PerRI,all,WBC,,0.455,,1.0
PerRI,all,median,0.674,0.522,18300000.0,
PerRI,high,median,0.508,0.659,2170000.0,
PerRI,low,median,0.497,0.553,3040000.0,
PerRI,normal,A1C,0.675,,,
PerRI,normal,ALB,0.8,,,
PerRI,normal,ALP,0.642,,,
PerRI,normal,ALT,0.673,,,
PerRI,normal,AST,0.671,,,
PerRI,normal,BUN,0.709,,,
PerRI,normal,CA,0.805,,,
PerRI,normal,CL,0.726,,,
PerRI,normal,CO2,0.819,,,
PerRI,normal,CRE,0.845,,,
PerRI,normal,GLU,0.682,,,
PerRI,normal,HCT,0.721,,,
PerRI,normal,HDL,0.646,,,
PerRI,normal,HGB,0.769,,,
PerRI,normal,K,0.81,,,
PerRI,normal,LDL,0.638,,,
PerRI,normal,MCH,0.752,,,
PerRI,normal,MCHC,0.755,,,
PerRI,normal,MCV,0.695,,,
PerRI,normal,MPV,0.747,,,
PerRI,normal,NA,0.728,,,
PerRI,normal,PLT,0.634,,,
PerRI,normal,RBC,0.668,,,
PerRI,normal,RDW,0.789,,,
PerRI,normal,TBIL,0.86,,,
PerRI,normal,TC,0.641,,,
PerRI,normal,TP,0.776,,,
PerRI,normal,WBC,0.722,,,
PerRI,normal,median,0.724,0.496,13100000.0,
PopRI,all,A1C,,1.0,,1.0
PopRI,all,ALB,,1.0,,1.0
PopRI,all,ALP,,1.0,,1.0
PopRI,all,ALT,,1.0,,1.0
PopRI,all,AST,,1.0,,1.0
PopRI,all,BUN,,1.0,,1.0
PopRI,all,CA,,1.0,,1.0
PopRI,all,CL,,1.0,,1.0
PopRI,all,CO2,,1.0,,1.0
PopRI,all,CRE,,1.0,,1.0
PopRI,all,GLU,,1.0,,1.0
PopRI,all,HCT,,1.0,,1.0
PopRI,all,HDL,,1.0,,1.0
PopRI,all,HGB,,1.0,,1.0
PopRI,all,K,,1.0,,1.0
PopRI,all,LDL,,1.0,,1.0
PopRI,all,MCH,,1.0,,1.0
PopRI,all,MCHC,,1.0,,1.0
PopRI,all,MCV,,1.0,,1.0
PopRI,all,MPV,,1.0,,1.0
PopRI,all,NA,,1.0,,1.0
PopRI,all,PLT,,1.0,,1.0
PopRI,all,RBC,,1.0,,1.0
PopRI,all,RDW,,1.0,,1.0
PopRI,all,TBIL,,1.0,,1.0
PopRI,all,TC,,1.0,,1.0
PopRI,all,TP,,1.0,,1.0
PopRI,all,WBC,,1.0,,1.0
PopRI,all,median,0.794,1.0,18300000.0,
PopRI,high,median,0.0,1.0,2170000.0,
PopRI,low,median,0.0,1.0,3040000.0,
PopRI,normal,A1C,1.0,,,
PopRI,normal,ALB,1.0,,,
PopRI,normal,ALP,1.0,,,
PopRI,normal,ALT,1.0,,,
PopRI,normal,AST,1.0,,,
PopRI,normal,BUN,1.0,,,
PopRI,normal,CA,1.0,,,
PopRI,normal,CL,1.0,,,
PopRI,normal,CO2,1.0,,,
PopRI,normal,CRE,1.0,,,
PopRI,normal,GLU,1.0,,,
PopRI,normal,HCT,1.0,,,
PopRI,normal,HDL,1.0,,,
PopRI,normal,HGB,1.0,,,
PopRI,normal,K,1.0,,,
PopRI,normal,LDL,1.0,,,
PopRI,normal,MCH,1.0,,,
PopRI,normal,MCHC,1.0,,,
PopRI,normal,MCV,1.0,,,
PopRI,normal,MPV,1.0,,,
PopRI,normal,NA,1.0,,,
PopRI,normal,PLT,1.0,,,
PopRI,normal,RBC,1.0,,,
PopRI,normal,RDW,1.0,,,
PopRI,normal,TBIL,1.0,,,
PopRI,normal,TC,1.0,,,
PopRI,normal,TP,1.0,,,
PopRI,normal,WBC,1.0,,,
PopRI,normal,median,1.0,1.0,13100000.0,
