subset,analyte,PopRI_pct,PopRI_pct_lo,PopRI_pct_hi,PerRI_pct,PerRI_pct_lo,PerRI_pct_hi,Cohen_m4_pct,Cohen_m4_pct_lo,Cohen_m4_pct_hi,Gaussian_eb_pct,Gaussian_eb_pct_lo,Gaussian_eb_pct_hi,NORMA_pct,NORMA_pct_lo,NORMA_pct_hi,PerRI_reclass_pct,PerRI_reclass_pct_lo,PerRI_reclass_pct_hi,Gaussian_eb_reclass_pct,Gaussian_eb_reclass_pct_lo,Gaussian_eb_reclass_pct_hi,NORMA_reclass_pct,NORMA_reclass_pct_lo,NORMA_reclass_pct_hi,PopRI_pct_median,PopRI_pct_q25,PopRI_pct_q75,PerRI_pct_median,PerRI_pct_q25,PerRI_pct_q75,Gaussian_eb_pct_median,Gaussian_eb_pct_q25,Gaussian_eb_pct_q75,NORMA_pct_median,NORMA_pct_q25,NORMA_pct_q75,PerRI_reclass_pct_median,PerRI_reclass_pct_q25,PerRI_reclass_pct_q75,Gaussian_eb_reclass_pct_median,Gaussian_eb_reclass_pct_q25,Gaussian_eb_reclass_pct_q75,NORMA_reclass_pct_median,NORMA_reclass_pct_q25,NORMA_reclass_pct_q75
all,ALT,17.1,16.9,17.3,44.3,44.0,44.5,,,,31.1,30.9,31.4,24.6,24.4,24.8,32.8,32.5,33.0,16.9,16.7,17.2,9.04,8.87,9.21,,,,,,,,,,,,,,,,,,,,,
all,AST,7.63,7.49,7.78,37.3,37.1,37.6,,,,23.1,22.9,23.4,15.1,14.9,15.3,32.1,31.9,32.4,16.8,16.6,17.0,8.05,7.9,8.21,,,,,,,,,,,,,,,,,,,,,
all,K,14.7,14.6,14.9,30.8,30.6,31.0,,,,27.4,27.2,27.6,21.3,21.1,21.5,18.8,18.6,19.1,14.9,14.8,15.1,7.71,7.58,7.85,,,,,,,,,,,,,,,,,,,,,
all,CA,15.4,15.1,15.6,31.7,31.4,32.0,,,,28.7,28.4,29.1,21.4,21.1,21.7,19.2,18.9,19.6,15.8,15.5,16.1,7.07,6.88,7.27,,,,,,,,,,,,,,,,,,,,,
all,BUN,36.1,35.9,36.4,54.7,54.4,54.9,,,,45.4,45.1,45.6,39.2,39.0,39.4,29.0,28.7,29.3,14.7,14.5,14.9,4.76,4.64,4.9,,,,,,,,,,,,,,,,,,,,,
all,CO2,69.2,59.2,77.6,75.5,66.0,83.1,,,,79.8,70.6,86.7,70.2,60.3,78.5,20.7,9.85,38.4,34.5,19.9,52.7,3.45,0.61,17.2,,,,,,,,,,,,,,,,,,,,,
all,CRE,22.5,22.3,22.7,34.2,34.0,34.4,,,,41.2,41.0,41.4,27.5,27.3,27.7,15.1,15.0,15.3,24.2,24.0,24.4,6.41,6.29,6.54,,,,,,,,,,,,,,,,,,,,,
all,GLB,,,,21.0,20.2,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,GLU,60.1,59.9,60.3,72.6,72.4,72.8,,,,65.8,65.6,66.0,61.8,61.6,62.0,31.3,31.0,31.7,14.6,14.3,14.8,4.25,4.11,4.4,,,,,,,,,,,,,,,,,,,,,
all,HCT,49.3,49.1,49.5,63.4,63.2,63.6,,,,57.8,57.5,58.0,53.6,53.4,53.9,27.8,27.6,28.1,16.9,16.7,17.1,8.58,8.42,8.75,,,,,,,,,,,,,,,,,,,,,
all,HDL,30.4,30.1,30.7,55.5,55.2,55.8,,,,42.7,42.4,43.0,35.6,35.3,35.9,36.1,35.7,36.5,17.9,17.6,18.2,7.52,7.31,7.73,,,,,,,,,,,,,,,,,,,,,
all,CL,26.5,25.5,27.5,43.9,42.8,45.0,,,,39.2,38.0,40.3,32.5,31.4,33.6,23.7,22.6,24.9,17.1,16.1,18.1,8.22,7.51,8.98,,,,,,,,,,,,,,,,,,,,,
