subset,analyte,method,outcome,exposure,encoding,level,n,n_events,HR,HR_lower,HR_upper,p_value,p_fdr
all,MCH,PerRI,mortality,first,binary,abnormal,46912.0,11640.0,0.98,0.91,1.07,0.6248783644104096,0.6495446156371363
all,MCH,NORMA,mortality,first,binary,abnormal,46912.0,11640.0,2.18,1.9,2.5,8.792455593483927e-29,1.8773080861762982e-28
all,MCHC,PopRI,mortality,first,binary,abnormal,51682.0,12633.0,1.2,0.89,1.61,0.2279330999519571,0.2572387842314944
all,MCHC,PerRI,mortality,first,binary,abnormal,51682.0,12633.0,0.96,0.9,1.03,0.2355991548492099,0.2585046282373275
all,MCHC,NORMA,mortality,first,binary,abnormal,51682.0,12633.0,0.99,0.76,1.28,0.9397567664606762,0.9397567664606762
all,MCV,PopRI,mortality,first,binary,abnormal,51414.0,12577.0,1.7,1.62,1.78,4.470013951992447e-108,2.942759185061694e-107
all,MCV,PerRI,mortality,first,binary,abnormal,51414.0,12577.0,0.9,0.83,0.97,0.0080557918777093,0.0109725441092937
all,MCV,NORMA,mortality,first,binary,abnormal,51414.0,12577.0,1.95,1.77,2.16,1.7769186495741547e-39,4.253835555041157e-39
all,MPV,PopRI,mortality,first,binary,abnormal,47799.0,11823.0,1.28,1.22,1.35,1.2110891930355485e-21,2.45323195512329e-21
all,MPV,PerRI,mortality,first,binary,abnormal,47799.0,11823.0,0.93,0.87,0.99,0.0276910766588697,0.0364599176008451
all,MPV,NORMA,mortality,first,binary,abnormal,47799.0,11823.0,0.1,0.04,0.23,2.4675210998194506e-07,3.898683337714732e-07
all,NA,PopRI,mortality,first,binary,abnormal,43295.0,11889.0,2.17,2.04,2.31,7.683736613437517e-132,8.67164560659377e-131
all,NA,PerRI,mortality,first,binary,abnormal,43295.0,11889.0,1.03,0.95,1.12,0.4815211814734903,0.5072023111520765
all,NA,NORMA,mortality,first,binary,abnormal,43295.0,11889.0,2.02,1.88,2.16,1.0649243543914316e-87,5.258063999807693e-87
all,PLT,PopRI,mortality,first,binary,abnormal,51628.0,12607.0,1.98,1.89,2.08,5.900623606082514e-172,1.165373162201296e-170
all,PLT,PerRI,mortality,first,binary,abnormal,51628.0,12607.0,0.92,0.83,1.01,0.0958620882143748,0.116509307214394
all,PLT,NORMA,mortality,first,binary,abnormal,51628.0,12607.0,1.88,1.77,1.98,5.952417342344242e-108,3.6172382311168856e-107
all,RBC,PerRI,mortality,first,binary,abnormal,51577.0,12594.0,0.78,0.71,0.85,6.239548340132519e-08,1.0269256643134772e-07
all,RDW,PopRI,mortality,first,binary,abnormal,51457.0,12546.0,3.09,2.82,3.39,1.6068310891030432e-127,1.5867457004892552e-126
all,RDW,PerRI,mortality,first,binary,abnormal,51457.0,12546.0,0.9,0.83,0.97,0.0080557918777093,0.0109725441092937
all,RDW,NORMA,mortality,first,binary,abnormal,51457.0,12546.0,2.23,1.96,2.52,6.614577631878603e-36,1.4930046654811706e-35
all,TBIL,PopRI,mortality,first,binary,abnormal,22511.0,6481.0,1.61,1.5,1.72,2.297411251915056e-42,5.671734028165293e-42
all,TBIL,PerRI,mortality,first,binary,abnormal,22511.0,6481.0,1.13,1.04,1.22,0.0026885631762196,0.0037927944807383
all,TBIL,NORMA,mortality,first,binary,abnormal,22511.0,6481.0,1.09,0.98,1.21,0.109073802654339,0.1305580365104967
all,TC,PopRI,mortality,first,binary,abnormal,43009.0,10891.0,0.93,0.87,0.99,0.0276910766588697,0.0364599176008451
all,TC,PerRI,mortality,first,binary,abnormal,43009.0,10891.0,0.8,0.75,0.86,1.6436637446285192e-10,2.9511235414921137e-10
all,TC,NORMA,mortality,first,binary,abnormal,43009.0,10891.0,0.96,0.9,1.03,0.2355991548492099,0.2585046282373275
all,TP,PopRI,mortality,first,binary,abnormal,22730.0,7029.0,2.23,2.08,2.38,2.004949839070734e-120,1.58391037286588e-119
all,TP,PerRI,mortality,first,binary,abnormal,22730.0,7029.0,1.07,0.98,1.16,0.1157485159286957,0.1364795934084621
all,TP,NORMA,mortality,first,binary,abnormal,22730.0,7029.0,2.73,2.46,3.04,3.4133801871476158e-77,1.3482851739233083e-76
all,WBC,PopRI,mortality,first,binary,abnormal,51755.0,12638.0,1.86,1.75,1.97,8.883802560977197e-94,4.678802682114657e-93
all,WBC,PerRI,mortality,first,binary,abnormal,51755.0,12638.0,0.98,0.89,1.07,0.6672278168515616,0.6757820196317098
all,WBC,NORMA,mortality,first,binary,abnormal,51755.0,12638.0,1.9,1.75,2.07,9.543615191305405e-51,2.899790769665873e-50
all,A1C,PopRI,ckd,first,binary,abnormal,10631.0,2552.0,1.93,1.21,3.08,0.0058031873952096,0.0062867863448105
all,A1C,PerRI,ckd,first,binary,abnormal,10631.0,2552.0,1.09,0.95,1.24,0.2047772506328639,0.2101661256495182
all,A1C,NORMA,ckd,first,binary,abnormal,10631.0,2552.0,2.15,1.35,3.41,0.0012024419080842,0.0013209925187404
