subset,analyte,method,outcome,exposure,encoding,level,n,n_events,HR,HR_lower,HR_upper,p_value,p_fdr
all,LDL,PopRI,t2d,first,binary,abnormal,16089.0,5722.0,0.74,0.69,0.8,1.4690080826595202e-15,2.546280676609836e-15
all,LDL,PerRI,t2d,first,binary,abnormal,16089.0,5722.0,1.24,1.12,1.38,5.359641261686127e-05,6.334121491083604e-05
all,LDL,NORMA,t2d,first,binary,abnormal,16089.0,5722.0,1.01,0.93,1.09,0.8059104843235398,0.8059104843235398
all,MCH,PopRI,t2d,first,binary,abnormal,20249.0,7642.0,1.49,1.39,1.61,1.9608746599905696e-26,4.369949242264698e-26
all,MCH,PerRI,t2d,first,binary,abnormal,20249.0,7642.0,1.28,1.17,1.41,2.145084441365243e-07,2.788609773774816e-07
all,MCH,NORMA,t2d,first,binary,abnormal,20249.0,7642.0,1.82,1.62,2.04,2.3599059702357048e-24,4.974936910226621e-24
all,MCHC,PopRI,t2d,first,binary,abnormal,22406.0,8435.0,1.53,1.2,1.96,0.0006792450678613,0.0007568730756169
all,MCHC,PerRI,t2d,first,binary,abnormal,22406.0,8435.0,1.37,1.27,1.49,1.1230422592010547e-14,1.8637722599506867e-14
all,MCHC,NORMA,t2d,first,binary,abnormal,22406.0,8435.0,1.49,1.17,1.91,0.0014248890252608,0.0015436297773659
all,MCV,PopRI,t2d,first,binary,abnormal,22279.0,8383.0,1.39,1.32,1.47,3.8421634496911705e-33,1.0392999945989403e-32
all,MCV,PerRI,t2d,first,binary,abnormal,22279.0,8383.0,1.26,1.15,1.38,6.729501502293531e-07,8.331763764744371e-07
all,MCV,NORMA,t2d,first,binary,abnormal,22279.0,8383.0,1.69,1.55,1.84,3.86406408248324e-33,1.0392999945989403e-32
all,MPV,PopRI,t2d,first,binary,abnormal,20460.0,7746.0,1.5,1.41,1.59,5.945100008268504e-40,2.3185890032247168e-39
all,MPV,PerRI,t2d,first,binary,abnormal,20460.0,7746.0,1.23,1.14,1.33,1.407239014110519e-07,1.8604176796715333e-07
all,NA,PopRI,t2d,first,binary,abnormal,17182.0,6604.0,1.83,1.71,1.95,9.966488120694409e-73,1.9434651835354094e-71
all,NA,PerRI,t2d,first,binary,abnormal,17182.0,6604.0,1.59,1.43,1.77,1.564962424673114e-17,2.838769049407044e-17
all,NA,NORMA,t2d,first,binary,abnormal,17182.0,6604.0,2.02,1.89,2.17,1.4895838260900855e-88,1.1618753843502669e-86
all,PLT,PopRI,t2d,first,binary,abnormal,22371.0,8429.0,1.49,1.41,1.58,6.516150465081808e-43,2.989763154566947e-42
all,PLT,PerRI,t2d,first,binary,abnormal,22371.0,8429.0,1.3,1.16,1.46,7.775273833477363e-06,9.330328600172836e-06
all,PLT,NORMA,t2d,first,binary,abnormal,22371.0,8429.0,1.5,1.42,1.59,7.06789304735603e-45,3.675304384625136e-44
all,RBC,PerRI,t2d,first,binary,abnormal,22365.0,8419.0,1.37,1.22,1.55,2.540263743833411e-07,3.2482060986722304e-07
all,RDW,PopRI,t2d,first,binary,abnormal,22293.0,8385.0,1.59,1.49,1.7,3.054461105900344e-43,1.4890497891264174e-42
all,RDW,PerRI,t2d,first,binary,abnormal,22293.0,8385.0,1.42,1.29,1.56,4.726306753344391e-13,7.089460130016587e-13
all,RDW,NORMA,t2d,first,binary,abnormal,22293.0,8385.0,1.74,1.58,1.92,7.993554066279052e-29,1.948428803655519e-28
all,TBIL,PopRI,t2d,first,binary,abnormal,8749.0,3320.0,1.57,1.43,1.71,4.678735356024681e-23,9.123533944248128e-23
all,TBIL,PerRI,t2d,first,binary,abnormal,8749.0,3320.0,1.49,1.35,1.65,6.706822836963232e-15,1.1372438723546347e-14
all,TBIL,NORMA,t2d,first,binary,abnormal,8749.0,3320.0,1.28,1.12,1.47,0.0003728985049498,0.000421537440378
all,TC,PopRI,t2d,first,binary,abnormal,17507.0,6345.0,0.84,0.77,0.92,0.0001230062637979,0.0001410954202388
all,TC,PerRI,t2d,first,binary,abnormal,17507.0,6345.0,1.19,1.07,1.32,0.0011640542763162,0.0012788201908826
all,TC,NORMA,t2d,first,binary,abnormal,17507.0,6345.0,1.04,0.95,1.14,0.399080841672454,0.4042637097461222
all,TP,PopRI,t2d,first,binary,abnormal,8676.0,3241.0,1.86,1.7,2.04,1.3066001313240395e-40,5.363937381225004e-40
all,TP,PerRI,t2d,first,binary,abnormal,8676.0,3241.0,1.49,1.33,1.68,2.2109743655074767e-11,3.135563645628785e-11
all,TP,NORMA,t2d,first,binary,abnormal,8676.0,3241.0,1.67,1.51,1.85,4.200565089092246e-23,8.401130178184492e-23
all,WBC,PopRI,t2d,first,binary,abnormal,22431.0,8441.0,1.82,1.71,1.94,3.1105074017698478e-77,8.087319244601602e-76
all,WBC,PerRI,t2d,first,binary,abnormal,22431.0,8441.0,1.53,1.36,1.71,3.352668217285407e-13,5.127610214671799e-13
all,WBC,NORMA,t2d,first,binary,abnormal,22431.0,8441.0,2.04,1.89,2.21,2.111073381715232e-71,3.293274475475762e-70
