Cohort,Method,RR future abnormal,Early flags (own),Median lead h (own),Alerts/100 pt-d (own),Early flags (matched),Median lead h (matched),Alerts/100 pt-d (matched)
INSPIRE,Pop$_{RI}$,1.65,---,---,---,---,---,---
INSPIRE,Per$_{RI}$,0.85,---,---,---,---,---,---
INSPIRE,Cohen,1.06,---,---,---,---,---,---
INSPIRE,NORMA$_{RI}$,1.21,---,---,---,---,---,---
