Dataset,Outcome,Subset,Method,N,Events,NRI,NRI (events),NRI (non-events),SE,p-value
INSPIRE,Prolonged LOS (>7d),swap,"NORMA | sex, age","1,690","1,272",-0.1116,0.4961,-0.6077,0.0286,$<$0.001
INSPIRE,Prolonged LOS (>7d),swap,"NORMA | sex, age, setting, analytes","1,690","1,272",-0.0985,0.5307,-0.6292,0.0281,$<$0.001
INSPIRE,Unplanned ICU Admission,swap,Per$_{RI}$,"1,690",243,-0.0211,0.9547,-0.9758,0.0142,0.13
INSPIRE,Unplanned ICU Admission,swap,Cohen,"1,690",243,0.0204,0.7654,-0.7450,0.0289,0.49
INSPIRE,Unplanned ICU Admission,swap,Gaussian,"1,690",243,-0.0219,0.6996,-0.7215,0.0314,0.47
INSPIRE,Unplanned ICU Admission,swap,Trunc. Gaussian,"1,690",243,0.0031,0.9588,-0.9558,0.0140,0.85
INSPIRE,Unplanned ICU Admission,swap,Empirical Bayes,"1,690",243,-0.0305,0.4733,-0.5038,0.0356,0.36
INSPIRE,Unplanned ICU Admission,swap,NORMA$_{RI}$,"1,690",243,0.0896,0.5761,-0.4865,0.0343,0.01
INSPIRE,Unplanned ICU Admission,swap,NORMA | sex,"1,690",243,0.0983,0.6132,-0.5149,0.0336,0.004
INSPIRE,Unplanned ICU Admission,swap,"NORMA | sex, age","1,690",243,0.0866,0.6091,-0.5225,0.0344,0.01
INSPIRE,Unplanned ICU Admission,swap,"NORMA | sex, age, setting, analytes","1,690",243,0.0919,0.6337,-0.5418,0.0339,0.007
INSPIRE,Perioperative Infection,swap,Per$_{RI}$,"1,672",28,-0.0410,0.9286,-0.9696,0.0489,0.44
INSPIRE,Perioperative Infection,swap,Cohen,"1,672",28,0.0485,0.7857,-0.7372,0.0798,0.52
INSPIRE,Perioperative Infection,swap,Gaussian,"1,672",28,-0.1088,0.6071,-0.7159,0.0941,0.26
INSPIRE,Perioperative Infection,swap,Trunc. Gaussian,"1,672",28,-0.0185,0.9286,-0.9471,0.0498,0.75
INSPIRE,Perioperative Infection,swap,Empirical Bayes,"1,672",28,0.0830,0.5714,-0.4884,0.0955,0.35
INSPIRE,Perioperative Infection,swap,NORMA$_{RI}$,"1,672",28,0.1629,0.6429,-0.4799,0.0937,0.08
INSPIRE,Perioperative Infection,swap,NORMA | sex,"1,672",28,0.2088,0.7143,-0.5055,0.0875,0.02
INSPIRE,Perioperative Infection,swap,"NORMA | sex, age","1,672",28,0.1524,0.6786,-0.5262,0.0900,0.08
INSPIRE,Perioperative Infection,swap,"NORMA | sex, age, setting, analytes","1,672",28,0.1820,0.7143,-0.5322,0.0886,0.04
